Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SCAR3;06/06/2023;11:10:00;19,78;19,99;19,78;19,99;17.835,00;900
SCAR3;06/06/2023;11:05:00;19,56;19,56;19,56;19,56;1.956,00;100
SCAR3;06/06/2023;10:40:00;19,77;19,79;19,77;19,79;5.934,00;300
SCAR3;05/06/2023;17:30:00;19,50;19,50;19,50;19,50;3.900,00;200
SCAR3;05/06/2023;16:40:00;19,50;19,50;19,44;19,50;9.744,00;500
SCAR3;05/06/2023;15:10:00;19,48;19,48;19,47;19,47;3.895,00;200
SCAR3;05/06/2023;15:05:00;19,51;19,51;19,50;19,50;3.901,00;200
SCAR3;05/06/2023;13:40:00;19,52;19,76;19,52;19,76;5.903,00;300
SCAR3;05/06/2023;13:10:00;19,50;19,50;19,50;19,50;1.950,00;100
SCAR3;05/06/2023;12:40:00;19,50;19,50;19,50;19,50;9.750,00;500
SCAR3;05/06/2023;12:15:00;19,67;19,67;19,46;19,46;3.913,00;200
SCAR3;02/06/2023;17:30:00;19,45;19,45;19,45;19,45;1.945,00;100
SCAR3;02/06/2023;16:50:00;19,66;19,66;19,44;19,44;5.854,00;300
SCAR3;02/06/2023;16:45:00;19,78;19,78;19,78;19,78;3.956,00;200
SCAR3;02/06/2023;14:55:00;19,60;19,83;19,60;19,83;5.903,00;300
SCAR3;02/06/2023;12:20:00;19,84;19,84;19,84;19,84;1.984,00;100
SCAR3;02/06/2023;11:35:00;19,52;19,52;19,48;19,48;9.753,00;500
SCAR3;02/06/2023;11:15:00;19,93;19,93;19,93;19,93;3.986,00;200
SCAR3;02/06/2023;11:05:00;19,93;19,93;19,93;19,93;1.993,00;100
SCAR3;01/06/2023;16:50:00;19,77;19,77;19,60;19,60;5.897,00;300
SCAR3;01/06/2023;16:40:00;19,76;19,76;19,76;19,76;1.976,00;100
SCAR3;01/06/2023;16:15:00;19,76;19,76;19,76;19,76;1.976,00;100
SCAR3;01/06/2023;14:40:00;19,76;19,77;19,76;19,77;5.929,00;300
SCAR3;01/06/2023;12:00:00;19,43;19,43;19,43;19,43;1.943,00;100
SCAR3;01/06/2023;11:35:00;19,40;19,40;19,40;19,40;3.880,00;200
SCAR3;01/06/2023;11:00:00;19,79;19,79;19,79;19,79;3.958,00;200
SCAR3;01/06/2023;10:10:00;19,26;19,26;19,26;19,26;1.926,00;100
SCAR3;31/05/2023;17:30:00;19,55;19,55;19,55;19,55;5.865,00;300
SCAR3;31/05/2023;16:45:00;20,18;20,18;19,54;19,54;64.628,00;3.300
SCAR3;31/05/2023;16:35:00;20,09;20,09;20,09;20,09;2.009,00;100
SCAR3;31/05/2023;16:05:00;19,98;19,98;19,98;19,98;3.996,00;200
SCAR3;31/05/2023;15:40:00;19,77;19,82;19,69;19,69;19.781,00;1.000
SCAR3;31/05/2023;15:00:00;19,64;19,64;19,64;19,64;1.964,00;100
SCAR3;31/05/2023;14:40:00;19,77;19,80;19,58;19,80;15.787,00;800
SCAR3;31/05/2023;14:25:00;19,78;19,78;19,53;19,53;45.041,00;2.300
SCAR3;31/05/2023;14:20:00;19,78;19,78;19,78;19,78;7.912,00;400
SCAR3;31/05/2023;14:10:00;19,80;19,80;19,80;19,80;3.960,00;200
SCAR3;31/05/2023;13:35:00;19,79;19,84;19,79;19,84;9.907,00;500
SCAR3;31/05/2023;13:25:00;19,84;19,84;19,84;19,84;5.952,00;300
SCAR3;31/05/2023;13:15:00;19,52;19,52;19,52;19,52;1.952,00;100
SCAR3;31/05/2023;12:40:00;19,57;19,57;19,42;19,42;9.743,00;500
SCAR3;31/05/2023;12:35:00;19,70;19,70;19,55;19,55;21.617,00;1.100
SCAR3;31/05/2023;12:25:00;19,98;19,99;19,98;19,99;3.997,00;200
SCAR3;31/05/2023;12:20:00;19,99;19,99;19,66;19,66;3.965,00;200
SCAR3;31/05/2023;12:15:00;20,20;20,20;19,55;19,61;29.709,00;1.500
SCAR3;31/05/2023;11:20:00;20,80;20,80;20,80;20,80;2.080,00;100
SCAR3;31/05/2023;11:10:00;20,39;20,80;20,39;20,80;8.279,00;400
SCAR3;31/05/2023;11:05:00;20,80;20,80;20,80;20,80;2.080,00;100
SCAR3;31/05/2023;10:40:00;20,86;20,86;20,86;20,86;2.086,00;100
SCAR3;31/05/2023;10:30:00;20,39;20,39;20,39;20,39;2.039,00;100
