Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SEER3;16/06/2023;17:30:00;4,42;4,43;4,42;4,43;2.653,00;600
SEER3;16/06/2023;16:45:00;4,37;4,42;4,33;4,42;346.436,00;79.200
SEER3;16/06/2023;16:40:00;4,38;4,39;4,37;4,38;10.940,00;2.500
SEER3;16/06/2023;16:35:00;4,38;4,38;4,36;4,37;20.566,00;4.700
SEER3;16/06/2023;16:30:00;4,36;4,39;4,36;4,39;15.302,00;3.500
SEER3;16/06/2023;16:25:00;4,37;4,37;4,36;4,36;13.093,00;3.000
SEER3;16/06/2023;16:20:00;4,38;4,39;4,36;4,37;30.180,00;6.900
SEER3;16/06/2023;16:15:00;4,39;4,39;4,38;4,39;7.455,00;1.700
SEER3;16/06/2023;16:10:00;4,38;4,39;4,38;4,39;7.019,00;1.600
SEER3;16/06/2023;16:05:00;4,38;4,39;4,38;4,38;7.447,00;1.700
SEER3;16/06/2023;16:00:00;4,39;4,40;4,38;4,38;9.651,00;2.200
SEER3;16/06/2023;15:55:00;4,39;4,40;4,39;4,39;27.269,00;6.200
SEER3;16/06/2023;15:50:00;4,40;4,40;4,39;4,40;7.477,00;1.700
SEER3;16/06/2023;15:45:00;4,41;4,41;4,40;4,40;4.846,00;1.100
SEER3;16/06/2023;15:40:00;4,41;4,41;4,41;4,41;11.466,00;2.600
SEER3;16/06/2023;15:35:00;4,41;4,42;4,41;4,42;20.325,00;4.600
SEER3;16/06/2023;15:30:00;4,41;4,42;4,41;4,41;3.529,00;800
SEER3;16/06/2023;15:25:00;4,41;4,41;4,41;4,41;2.205,00;500
SEER3;16/06/2023;15:20:00;4,40;4,41;4,40;4,41;2.644,00;600
SEER3;16/06/2023;15:15:00;4,41;4,42;4,40;4,42;3.083,00;700
SEER3;16/06/2023;15:10:00;4,41;4,42;4,40;4,41;93.100,00;21.100
SEER3;16/06/2023;15:05:00;4,40;4,40;4,40;4,40;3.080,00;700
SEER3;16/06/2023;15:00:00;4,40;4,42;4,40;4,41;20.754,00;4.700
SEER3;16/06/2023;14:55:00;4,40;4,41;4,39;4,41;5.717,00;1.300
SEER3;16/06/2023;14:50:00;4,40;4,41;4,40;4,40;3.521,00;800
SEER3;16/06/2023;14:45:00;4,40;4,41;4,40;4,41;5.731,00;1.300
SEER3;16/06/2023;14:40:00;4,39;4,39;4,39;4,39;1.317,00;300
SEER3;16/06/2023;14:35:00;4,39;4,40;4,39;4,39;12.307,00;2.800
SEER3;16/06/2023;14:30:00;4,39;4,40;4,39;4,40;6.594,00;1.500
SEER3;16/06/2023;14:25:00;4,40;4,40;4,39;4,39;2.196,00;500
SEER3;16/06/2023;14:20:00;4,39;4,40;4,39;4,40;5.715,00;1.300
SEER3;16/06/2023;14:15:00;4,40;4,41;4,39;4,39;4.399,00;1.000
SEER3;16/06/2023;14:10:00;4,39;4,41;4,39;4,41;8.795,00;2.000
SEER3;16/06/2023;14:05:00;4,39;4,40;4,39;4,40;7.474,00;1.700
SEER3;16/06/2023;14:00:00;4,41;4,41;4,39;4,39;39.640,00;9.000
SEER3;16/06/2023;13:55:00;4,41;4,42;4,41;4,42;12.813,00;2.900
SEER3;16/06/2023;13:50:00;4,40;4,41;4,40;4,40;3.964,00;900
SEER3;16/06/2023;13:45:00;4,40;4,40;4,40;4,40;2.640,00;600
SEER3;16/06/2023;13:40:00;4,39;4,40;4,38;4,40;10.101,00;2.300
