Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SEQL3;06/06/2023;11:20:00;1,54;1,54;1,53;1,53;8.129,00;5.300
SEQL3;06/06/2023;11:15:00;1,54;1,54;1,53;1,54;108.864,00;70.700
SEQL3;06/06/2023;11:10:00;1,55;1,56;1,54;1,54;424.404,00;274.800
SEQL3;06/06/2023;11:05:00;1,53;1,56;1,53;1,55;2.256.899,00;1.463.100
SEQL3;06/06/2023;11:00:00;1,53;1,54;1,53;1,54;53.096,00;34.700
SEQL3;06/06/2023;10:55:00;1,53;1,54;1,53;1,54;244.661,00;159.900
SEQL3;06/06/2023;10:50:00;1,53;1,54;1,53;1,53;206.408,00;134.900
SEQL3;06/06/2023;10:45:00;1,52;1,54;1,52;1,54;539.289,00;353.300
SEQL3;06/06/2023;10:40:00;1,52;1,52;1,51;1,52;101.834,00;67.000
SEQL3;06/06/2023;10:35:00;1,51;1,52;1,50;1,52;70.373,00;46.600
SEQL3;06/06/2023;10:30:00;1,51;1,52;1,50;1,51;190.367,00;126.400
SEQL3;06/06/2023;10:25:00;1,50;1,51;1,50;1,50;47.851,00;31.900
SEQL3;06/06/2023;10:20:00;1,49;1,50;1,49;1,50;15.646,00;10.500
SEQL3;06/06/2023;10:15:00;1,51;1,51;1,49;1,50;119.109,00;79.400
SEQL3;06/06/2023;10:10:00;1,51;1,52;1,51;1,51;52.105,00;34.500
SEQL3;06/06/2023;10:05:00;1,51;1,51;1,50;1,51;192.285,00;128.000
SEQL3;06/06/2023;10:00:00;1,51;1,52;1,51;1,51;125.795,00;83.300
SEQL3;05/06/2023;17:30:00;1,49;1,50;1,49;1,49;109.341,00;73.100
SEQL3;05/06/2023;16:50:00;1,49;1,50;1,49;1,50;374.941,00;250.300
SEQL3;05/06/2023;16:45:00;1,49;1,50;1,49;1,49;53.970,00;36.200
SEQL3;05/06/2023;16:40:00;1,50;1,50;1,49;1,49;69.295,00;46.400
SEQL3;05/06/2023;16:35:00;1,49;1,50;1,49;1,49;166.614,00;111.500
SEQL3;05/06/2023;16:30:00;1,49;1,49;1,48;1,49;75.781,00;50.900
SEQL3;05/06/2023;16:25:00;1,49;1,49;1,48;1,49;196.225,00;131.800
SEQL3;05/06/2023;16:20:00;1,48;1,49;1,47;1,49;255.324,00;172.700
SEQL3;05/06/2023;16:15:00;1,48;1,49;1,48;1,49;17.026,00;11.500
SEQL3;05/06/2023;16:10:00;1,48;1,49;1,48;1,48;26.493,00;17.900
SEQL3;05/06/2023;16:05:00;1,49;1,49;1,48;1,48;28.874,00;19.500
SEQL3;05/06/2023;16:00:00;1,49;1,49;1,48;1,48;7.701,00;5.200
