Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SHOW3;16/06/2023;17:30:00;2,74;2,74;2,74;2,74;10.138,00;3.700
SHOW3;16/06/2023;16:45:00;2,77;2,77;2,74;2,74;51.746,00;18.800
SHOW3;16/06/2023;16:40:00;2,78;2,78;2,78;2,78;278,00;100
SHOW3;16/06/2023;16:35:00;2,77;2,77;2,77;2,77;1.662,00;600
SHOW3;16/06/2023;16:30:00;2,78;2,78;2,78;2,78;4.726,00;1.700
SHOW3;16/06/2023;16:25:00;2,78;2,79;2,78;2,78;8.071,00;2.900
SHOW3;16/06/2023;16:20:00;2,78;2,78;2,78;2,78;3.058,00;1.100
SHOW3;16/06/2023;16:15:00;2,77;2,79;2,77;2,79;8.634,00;3.100
SHOW3;16/06/2023;16:10:00;2,78;2,78;2,77;2,77;41.596,00;15.000
SHOW3;16/06/2023;16:05:00;2,78;2,79;2,78;2,79;4.731,00;1.700
SHOW3;16/06/2023;16:00:00;2,78;2,78;2,78;2,78;556,00;200
SHOW3;16/06/2023;15:55:00;2,79;2,79;2,79;2,79;40.734,00;14.600
SHOW3;16/06/2023;15:50:00;2,80;2,80;2,79;2,79;16.780,00;6.000
SHOW3;16/06/2023;15:45:00;2,79;2,79;2,79;2,79;3.348,00;1.200
SHOW3;16/06/2023;15:40:00;2,78;2,78;2,78;2,78;3.058,00;1.100
SHOW3;16/06/2023;15:35:00;2,79;2,79;2,79;2,79;2.232,00;800
SHOW3;16/06/2023;15:30:00;2,79;2,79;2,79;2,79;1.395,00;500
SHOW3;16/06/2023;15:25:00;2,79;2,79;2,79;2,79;279,00;100
SHOW3;16/06/2023;15:15:00;2,79;2,80;2,79;2,80;1.119,00;400
SHOW3;16/06/2023;15:10:00;2,78;2,78;2,78;2,78;278,00;100
SHOW3;16/06/2023;15:00:00;2,78;2,78;2,77;2,78;42.137,00;15.200
SHOW3;16/06/2023;14:55:00;2,78;2,79;2,78;2,79;23.080,00;8.300
SHOW3;16/06/2023;14:50:00;2,83;2,83;2,79;2,79;79.863,00;28.400
SHOW3;16/06/2023;14:35:00;2,84;2,84;2,84;2,84;852,00;300
SHOW3;16/06/2023;14:10:00;2,84;2,84;2,84;2,84;11.928,00;4.200
SHOW3;16/06/2023;13:45:00;2,83;2,83;2,83;2,83;4.811,00;1.700
SHOW3;16/06/2023;13:40:00;2,84;2,85;2,84;2,85;1.138,00;400
SHOW3;16/06/2023;13:35:00;2,83;2,83;2,83;2,83;566,00;200
SHOW3;16/06/2023;13:30:00;2,85;2,85;2,84;2,84;7.409,00;2.600
SHOW3;16/06/2023;13:25:00;2,84;2,84;2,83;2,83;3.123,00;1.100
SHOW3;16/06/2023;13:05:00;2,85;2,85;2,83;2,83;13.620,00;4.800
SHOW3;16/06/2023;12:55:00;2,85;2,85;2,85;2,85;285,00;100
SHOW3;16/06/2023;12:50:00;2,85;2,85;2,85;2,85;570,00;200
SHOW3;16/06/2023;12:40:00;2,85;2,85;2,85;2,85;285,00;100
SHOW3;16/06/2023;12:30:00;2,83;2,83;2,83;2,83;283,00;100
SHOW3;16/06/2023;12:10:00;2,85;2,85;2,85;2,85;285,00;100
SHOW3;16/06/2023;12:05:00;2,83;2,84;2,83;2,84;32.371,00;11.400
SHOW3;16/06/2023;12:00:00;2,83;2,83;2,83;2,83;283,00;100
SHOW3;16/06/2023;11:40:00;2,82;2,82;2,82;2,82;846,00;300
SHOW3;16/06/2023;11:35:00;2,83;2,83;2,83;2,83;283,00;100
SHOW3;16/06/2023;11:30:00;2,82;2,82;2,82;2,82;1.692,00;600
SHOW3;16/06/2023;11:20:00;2,82;2,82;2,82;2,82;282,00;100
SHOW3;16/06/2023;11:15:00;2,82;2,82;2,81;2,81;18.858,00;6.700
SHOW3;16/06/2023;11:10:00;2,82;2,84;2,82;2,84;5.664,00;2.000
SHOW3;16/06/2023;11:00:00;2,81;2,81;2,80;2,81;91.842,00;32.800
SHOW3;16/06/2023;10:55:00;2,80;2,81;2,79;2,80;38.533,00;13.800
SHOW3;16/06/2023;10:50:00;2,80;2,80;2,80;2,80;280,00;100
SHOW3;16/06/2023;10:45:00;2,82;2,82;2,79;2,79;13.759,00;4.900
SHOW3;16/06/2023;10:40:00;2,84;2,85;2,82;2,84;20.760,00;7.300
SHOW3;16/06/2023;10:35:00;2,83;2,84;2,83;2,84;850,00;300
SHOW3;16/06/2023;10:25:00;2,83;2,83;2,82;2,82;1.693,00;600
SHOW3;16/06/2023;10:20:00;2,82;2,83;2,82;2,83;1.975,00;700
SHOW3;16/06/2023;10:15:00;2,79;2,81;2,79;2,81;4.205,00;1.500
SHOW3;16/06/2023;10:10:00;2,79;2,80;2,79;2,80;5.875,00;2.100
SHOW3;16/06/2023;10:05:00;2,82;2,82;2,76;2,79;22.514,00;8.100
SHOW3;16/06/2023;10:00:00;2,82;2,82;2,82;2,82;1.128,00;400
SHOW3;15/06/2023;17:30:00;2,84;2,85;2,82;2,82;6.796,00;2.400
SHOW3;15/06/2023;16:50:00;2,87;2,87;2,84;2,84;73.078,00;25.600
SHOW3;15/06/2023;16:45:00;2,85;2,86;2,85;2,86;24.874,00;8.700
SHOW3;15/06/2023;16:40:00;2,86;2,87;2,85;2,86;6.009,00;2.100
SHOW3;15/06/2023;16:30:00;2,85;2,87;2,85;2,87;17.189,00;6.000
SHOW3;15/06/2023;16:25:00;2,85;2,86;2,85;2,86;3.710,00;1.300
SHOW3;15/06/2023;16:20:00;2,85;2,87;2,85;2,87;15.967,00;5.600
SHOW3;15/06/2023;16:15:00;2,86;2,86;2,85;2,86;4.280,00;1.500
SHOW3;15/06/2023;16:05:00;2,86;2,86;2,86;2,86;3.432,00;1.200
SHOW3;15/06/2023;16:00:00;2,87;2,87;2,87;2,87;11.193,00;3.900
SHOW3;15/06/2023;15:55:00;2,85;2,86;2,85;2,86;23.091,00;8.100
SHOW3;15/06/2023;15:50:00;2,84;2,84;2,84;2,84;6.248,00;2.200
SHOW3;15/06/2023;15:40:00;2,83;2,83;2,82;2,83;7.350,00;2.600
SHOW3;15/06/2023;15:35:00;2,82;2,83;2,82;2,83;11.295,00;4.000
SHOW3;15/06/2023;15:30:00;2,81;2,81;2,80;2,80;5.054,00;1.800
SHOW3;15/06/2023;15:25:00;2,82;2,82;2,81;2,81;7.895,00;2.800
SHOW3;15/06/2023;15:15:00;2,82;2,82;2,82;2,82;56.400,00;20.000
SHOW3;15/06/2023;14:45:00;2,81;2,83;2,81;2,83;1.407,00;500
SHOW3;15/06/2023;14:40:00;2,83;2,83;2,83;2,83;566,00;200
SHOW3;15/06/2023;14:35:00;2,82;2,82;2,82;2,82;2.538,00;900
SHOW3;15/06/2023;14:25:00;2,82;2,82;2,82;2,82;2.820,00;1.000
SHOW3;15/06/2023;14:20:00;2,82;2,82;2,81;2,81;2.811,00;1.000
SHOW3;15/06/2023;14:05:00;2,82;2,82;2,81;2,81;2.819,00;1.000
SHOW3;15/06/2023;14:00:00;2,82;2,82;2,81;2,82;1.126,00;400
SHOW3;15/06/2023;13:50:00;2,83;2,83;2,83;2,83;283,00;100
SHOW3;15/06/2023;13:45:00;2,83;2,83;2,83;2,83;1.415,00;500
SHOW3;15/06/2023;13:40:00;2,82;2,82;2,82;2,82;1.974,00;700
SHOW3;15/06/2023;13:30:00;2,81;2,82;2,81;2,82;5.639,00;2.000
SHOW3;15/06/2023;13:20:00;2,80;2,80;2,80;2,80;280,00;100
SHOW3;15/06/2023;13:15:00;2,80;2,80;2,80;2,80;9.520,00;3.400
SHOW3;15/06/2023;13:10:00;2,81;2,81;2,81;2,81;1.405,00;500
SHOW3;15/06/2023;13:05:00;2,80;2,81;2,79;2,81;39.965,00;14.300
SHOW3;15/06/2023;12:55:00;2,80;2,81;2,80;2,81;1.401,00;500
SHOW3;15/06/2023;12:50:00;2,81;2,81;2,80;2,80;29.725,00;10.600
SHOW3;15/06/2023;12:45:00;2,82;2,82;2,82;2,82;282,00;100
SHOW3;15/06/2023;12:40:00;2,82;2,82;2,82;2,82;282,00;100
SHOW3;15/06/2023;12:35:00;2,83;2,83;2,83;2,83;8.490,00;3.000
SHOW3;15/06/2023;12:30:00;2,81;2,82;2,81;2,82;9.860,00;3.500
SHOW3;15/06/2023;12:25:00;2,81;2,81;2,81;2,81;281,00;100
SHOW3;15/06/2023;12:20:00;2,81;2,81;2,81;2,81;281,00;100
SHOW3;15/06/2023;12:05:00;2,81;2,81;2,81;2,81;281,00;100
SHOW3;15/06/2023;12:00:00;2,82;2,82;2,81;2,81;25.325,00;9.000
SHOW3;15/06/2023;11:55:00;2,83;2,83;2,82;2,82;3.949,00;1.400
SHOW3;15/06/2023;11:50:00;2,82;2,83;2,82;2,83;20.023,00;7.100
SHOW3;15/06/2023;11:35:00;2,84;2,84;2,82;2,82;13.296,00;4.700
SHOW3;15/06/2023;11:30:00;2,84;2,84;2,84;2,84;852,00;300
SHOW3;15/06/2023;11:20:00;2,85;2,85;2,84;2,84;1.989,00;700
SHOW3;15/06/2023;11:15:00;2,83;2,86;2,82;2,86;34.835,00;12.300
SHOW3;15/06/2023;11:10:00;2,84;2,85;2,83;2,83;36.808,00;13.000
SHOW3;15/06/2023;11:05:00;2,84;2,84;2,83;2,83;15.326,00;5.400
SHOW3;15/06/2023;11:00:00;2,85;2,86;2,84;2,84;4.842,00;1.700
SHOW3;15/06/2023;10:55:00;2,86;2,86;2,85;2,85;15.982,00;5.600
SHOW3;15/06/2023;10:45:00;2,85;2,88;2,85;2,88;10.584,00;3.700
SHOW3;15/06/2023;10:40:00;2,83;2,87;2,83;2,87;14.515,00;5.100
SHOW3;15/06/2023;10:35:00;2,84;2,84;2,83;2,83;8.513,00;3.000
SHOW3;15/06/2023;10:30:00;2,85;2,85;2,84;2,84;3.134,00;1.100
SHOW3;15/06/2023;10:25:00;2,85;2,85;2,85;2,85;285,00;100
SHOW3;15/06/2023;10:20:00;2,84;2,84;2,84;2,84;9.088,00;3.200
SHOW3;15/06/2023;10:15:00;2,83;2,85;2,83;2,85;7.977,00;2.800
SHOW3;15/06/2023;10:10:00;2,86;2,86;2,82;2,84;9.650,00;3.400
SHOW3;15/06/2023;10:05:00;2,88;2,88;2,87;2,87;1.726,00;600
SHOW3;15/06/2023;10:00:00;2,88;2,90;2,88;2,88;110.357,00;38.300
SHOW3;14/06/2023;17:30:00;2,87;2,87;2,84;2,84;16.299,00;5.700
SHOW3;14/06/2023;16:50:00;2,84;2,88;2,84;2,88;84.356,00;29.300
SHOW3;14/06/2023;16:45:00;2,84;2,84;2,83;2,83;24.702,00;8.700
SHOW3;14/06/2023;16:40:00;2,83;2,85;2,83;2,85;40.316,00;14.200
SHOW3;14/06/2023;16:35:00;2,84;2,84;2,79;2,83;23.145,00;8.200
SHOW3;14/06/2023;16:30:00;2,83;2,84;2,83;2,84;17.039,00;6.000
SHOW3;14/06/2023;16:25:00;2,83;2,84;2,82;2,83;3.402,00;1.200
SHOW3;14/06/2023;16:15:00;2,82;2,82;2,82;2,82;1.128,00;400
