Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SHUL4;06/06/2023;11:20:00;6,06;6,06;6,06;6,06;6.060,00;1.000
SHUL4;06/06/2023;11:15:00;6,07;6,07;6,06;6,06;2.425,00;400
SHUL4;06/06/2023;11:10:00;6,10;6,10;6,07;6,07;100.187,00;16.500
SHUL4;06/06/2023;11:05:00;6,09;6,10;6,08;6,08;4.869,00;800
SHUL4;06/06/2023;11:00:00;6,08;6,10;6,08;6,10;37.188,00;6.100
SHUL4;06/06/2023;10:55:00;6,08;6,08;6,08;6,08;7.904,00;1.300
SHUL4;06/06/2023;10:50:00;6,07;6,10;6,07;6,08;57.868,00;9.500
SHUL4;06/06/2023;10:45:00;6,07;6,07;6,07;6,07;607,00;100
SHUL4;06/06/2023;10:40:00;6,07;6,07;6,07;6,07;6.070,00;1.000
SHUL4;06/06/2023;10:35:00;6,06;6,06;6,06;6,06;606,00;100
SHUL4;06/06/2023;10:30:00;6,05;6,05;6,04;6,04;16.313,00;2.700
SHUL4;06/06/2023;10:25:00;6,04;6,06;6,04;6,06;24.191,00;4.000
SHUL4;06/06/2023;10:10:00;6,04;6,04;6,04;6,04;13.288,00;2.200
SHUL4;06/06/2023;10:05:00;6,02;6,03;6,02;6,03;57.807,00;9.600
SHUL4;06/06/2023;10:00:00;6,00;6,00;6,00;6,00;9.600,00;1.600
SHUL4;05/06/2023;17:30:00;6,01;6,05;5,96;5,96;137.902,00;23.000
SHUL4;05/06/2023;16:50:00;6,03;6,04;6,02;6,02;191.476,00;31.800
SHUL4;05/06/2023;16:45:00;6,03;6,04;6,02;6,03;21.094,00;3.500
SHUL4;05/06/2023;16:40:00;6,03;6,04;6,03;6,04;3.017,00;500
SHUL4;05/06/2023;16:35:00;6,05;6,05;6,05;6,05;2.420,00;400
SHUL4;05/06/2023;16:30:00;6,05;6,05;6,03;6,04;16.306,00;2.700
SHUL4;05/06/2023;16:25:00;6,04;6,05;6,03;6,04;9.661,00;1.600
SHUL4;05/06/2023;16:20:00;6,04;6,04;6,03;6,04;13.277,00;2.200
SHUL4;05/06/2023;16:15:00;6,04;6,05;6,04;6,04;4.833,00;800
SHUL4;05/06/2023;16:10:00;6,05;6,05;6,05;6,05;3.025,00;500
SHUL4;05/06/2023;16:05:00;6,05;6,05;6,05;6,05;1.210,00;200
SHUL4;05/06/2023;16:00:00;6,04;6,05;6,04;6,05;7.250,00;1.200
SHUL4;05/06/2023;15:50:00;6,05;6,05;6,04;6,04;4.229,00;700
SHUL4;05/06/2023;15:45:00;6,05;6,05;6,05;6,05;605,00;100
SHUL4;05/06/2023;15:40:00;6,06;6,07;6,05;6,05;27.875,00;4.600
SHUL4;05/06/2023;15:35:00;6,04;6,05;6,04;6,05;16.916,00;2.800
SHUL4;05/06/2023;15:30:00;6,05;6,06;6,04;6,04;16.343,00;2.700
SHUL4;05/06/2023;15:20:00;6,04;6,05;6,04;6,05;43.550,00;7.200
SHUL4;05/06/2023;15:15:00;6,05;6,06;6,04;6,05;92.582,00;15.300
SHUL4;05/06/2023;15:10:00;6,06;6,06;6,05;6,05;66.045,00;10.900
SHUL4;05/06/2023;15:05:00;6,04;6,06;6,04;6,06;3.022,00;500
SHUL4;05/06/2023;15:00:00;6,05;6,05;6,05;6,05;3.630,00;600
SHUL4;05/06/2023;14:55:00;6,05;6,05;6,04;6,04;18.734,00;3.100
SHUL4;05/06/2023;14:45:00;6,04;6,04;6,04;6,04;2.416,00;400
SHUL4;05/06/2023;14:40:00;6,05;6,06;6,05;6,06;70.810,00;11.700
SHUL4;05/06/2023;14:35:00;6,03;6,05;6,03;6,05;12.064,00;2.000
SHUL4;05/06/2023;14:30:00;6,04;6,04;6,03;6,03;76.603,00;12.700
SHUL4;05/06/2023;14:25:00;6,06;6,06;6,06;6,06;4.242,00;700
SHUL4;05/06/2023;14:20:00;6,05;6,05;6,05;6,05;7.260,00;1.200
SHUL4;05/06/2023;14:15:00;6,03;6,04;6,03;6,04;3.018,00;500
SHUL4;05/06/2023;14:10:00;6,02;6,02;6,00;6,00;18.012,00;3.000
SHUL4;05/06/2023;14:05:00;6,04;6,04;6,02;6,02;18.075,00;3.000
SHUL4;05/06/2023;14:00:00;6,04;6,04;6,04;6,04;6.040,00;1.000
SHUL4;05/06/2023;13:55:00;6,05;6,05;6,05;6,05;605,00;100
SHUL4;05/06/2023;13:45:00;6,04;6,04;6,03;6,03;7.239,00;1.200
SHUL4;05/06/2023;13:40:00;6,03;6,03;6,03;6,03;1.809,00;300
SHUL4;05/06/2023;13:35:00;6,02;6,05;6,02;6,05;132.107,00;21.900
SHUL4;05/06/2023;13:30:00;5,99;6,00;5,99;6,00;67.779,00;11.300
SHUL4;05/06/2023;13:25:00;5,98;5,98;5,98;5,98;3.588,00;600
