Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SIMH3;16/06/2023;17:30:00;9,54;9,68;9,54;9,54;213.938,00;22.400
SIMH3;16/06/2023;16:45:00;9,47;9,55;9,35;9,55;17.056.323,00;1.786.800
SIMH3;16/06/2023;16:40:00;9,45;9,48;9,44;9,48;826.050,00;87.400
SIMH3;16/06/2023;16:35:00;9,56;9,59;9,44;9,45;4.265.502,00;448.400
SIMH3;16/06/2023;16:30:00;9,63;9,64;9,56;9,58;1.438.305,00;149.800
SIMH3;16/06/2023;16:25:00;9,61;9,64;9,60;9,63;804.751,00;83.700
SIMH3;16/06/2023;16:20:00;9,61;9,64;9,58;9,61;2.673.427,00;278.300
SIMH3;16/06/2023;16:15:00;9,63;9,64;9,60;9,62;1.399.114,00;145.500
SIMH3;16/06/2023;16:10:00;9,63;9,69;9,63;9,63;1.021.659,00;105.800
SIMH3;16/06/2023;16:05:00;9,66;9,67;9,61;9,63;983.954,00;102.100
SIMH3;16/06/2023;16:00:00;9,69;9,70;9,66;9,67;922.768,00;95.300
SIMH3;16/06/2023;15:55:00;9,68;9,71;9,67;9,70;590.821,00;61.000
SIMH3;16/06/2023;15:50:00;9,67;9,69;9,66;9,68;675.820,00;69.900
SIMH3;16/06/2023;15:45:00;9,69;9,69;9,66;9,66;606.455,00;62.700
SIMH3;16/06/2023;15:40:00;9,70;9,70;9,66;9,69;1.464.828,00;151.300
SIMH3;16/06/2023;15:35:00;9,74;9,75;9,70;9,70;857.079,00;88.200
SIMH3;16/06/2023;15:30:00;9,77;9,77;9,73;9,75;707.000,00;72.500
SIMH3;16/06/2023;15:25:00;9,76;9,78;9,74;9,78;489.985,00;50.200
SIMH3;16/06/2023;15:20:00;9,78;9,79;9,72;9,76;1.186.230,00;121.700
SIMH3;16/06/2023;15:15:00;9,80;9,80;9,75;9,78;1.058.650,00;108.300
SIMH3;16/06/2023;15:10:00;9,79;9,81;9,79;9,81;652.639,00;66.600
SIMH3;16/06/2023;15:05:00;9,80;9,81;9,78;9,80;679.375,00;69.400
SIMH3;16/06/2023;15:00:00;9,83;9,83;9,78;9,81;852.962,00;87.000
SIMH3;16/06/2023;14:55:00;9,85;9,86;9,83;9,84;1.058.573,00;107.500
SIMH3;16/06/2023;14:50:00;9,87;9,87;9,85;9,85;540.052,00;54.800
SIMH3;16/06/2023;14:45:00;9,86;9,87;9,85;9,87;623.824,00;63.300
SIMH3;16/06/2023;14:40:00;9,87;9,88;9,85;9,87;697.089,00;70.700
SIMH3;16/06/2023;14:35:00;9,85;9,88;9,85;9,87;740.694,00;75.100
SIMH3;16/06/2023;14:30:00;9,78;9,87;9,75;9,86;2.977.726,00;303.200
SIMH3;16/06/2023;14:25:00;9,78;9,79;9,76;9,78;407.515,00;41.700
SIMH3;16/06/2023;14:20:00;9,80;9,80;9,78;9,78;444.395,00;45.400
SIMH3;16/06/2023;14:15:00;9,80;9,83;9,79;9,81;218.743,00;22.300
SIMH3;16/06/2023;14:10:00;9,79;9,80;9,75;9,80;545.519,00;55.800
SIMH3;16/06/2023;14:05:00;9,81;9,81;9,77;9,79;756.759,00;77.300
SIMH3;16/06/2023;14:00:00;9,85;9,85;9,81;9,81;601.725,00;61.200
SIMH3;16/06/2023;13:55:00;9,83;9,86;9,82;9,86;394.709,00;40.100
SIMH3;16/06/2023;13:50:00;9,84;9,84;9,80;9,83;627.246,00;63.900
SIMH3;16/06/2023;13:45:00;9,86;9,86;9,81;9,84;544.784,00;55.400
SIMH3;16/06/2023;13:40:00;9,88;9,89;9,85;9,87;724.985,00;73.500
SIMH3;16/06/2023;13:35:00;9,89;9,90;9,86;9,87;751.397,00;76.100
SIMH3;16/06/2023;13:30:00;9,94;9,96;9,88;9,88;773.037,00;78.000
SIMH3;16/06/2023;13:25:00;10,00;10,00;9,93;9,94;511.537,00;51.300
SIMH3;16/06/2023;13:20:00;9,98;10,01;9,98;9,99;693.420,00;69.400
SIMH3;16/06/2023;13:15:00;9,99;10,00;9,98;9,99;448.909,00;44.900
SIMH3;16/06/2023;13:10:00;9,99;10,00;9,98;9,99;176.827,00;17.700
SIMH3;16/06/2023;13:05:00;9,88;9,99;9,88;9,98;680.974,00;68.600
SIMH3;16/06/2023;13:00:00;9,84;9,89;9,84;9,87;361.979,00;36.700
SIMH3;16/06/2023;12:55:00;9,88;9,89;9,85;9,85;2.808.322,00;284.300
SIMH3;16/06/2023;12:50:00;9,93;9,93;9,88;9,88;497.866,00;50.300
SIMH3;16/06/2023;12:45:00;9,95;9,97;9,94;9,94;178.160,00;17.900
SIMH3;16/06/2023;12:40:00;9,93;9,96;9,93;9,95;143.168,00;14.400
SIMH3;16/06/2023;12:35:00;9,97;9,98;9,92;9,92;833.372,00;83.800
SIMH3;16/06/2023;12:30:00;9,90;9,98;9,90;9,98;190.924,00;19.200
SIMH3;16/06/2023;12:25:00;9,89;9,93;9,89;9,90;322.914,00;32.600
SIMH3;16/06/2023;12:20:00;9,91;9,92;9,87;9,88;250.476,00;25.300
SIMH3;16/06/2023;12:15:00;9,92;9,93;9,90;9,92;181.382,00;18.300
SIMH3;16/06/2023;12:10:00;9,93;9,93;9,90;9,92;237.139,00;23.900
SIMH3;16/06/2023;12:05:00;9,90;9,93;9,90;9,92;209.299,00;21.100
SIMH3;16/06/2023;12:00:00;9,96;9,96;9,90;9,91;439.524,00;44.300
SIMH3;16/06/2023;11:55:00;9,97;9,97;9,94;9,96;248.901,00;25.000
SIMH3;16/06/2023;11:50:00;9,99;10,00;9,97;9,97;291.624,00;29.200
SIMH3;16/06/2023;11:45:00;9,98;10,02;9,98;9,99;330.111,00;33.000
SIMH3;16/06/2023;11:40:00;9,97;10,00;9,96;9,99;235.647,00;23.600
SIMH3;16/06/2023;11:35:00;9,99;9,99;9,96;9,97;415.897,00;41.700
SIMH3;16/06/2023;11:30:00;10,01;10,01;9,97;9,99;423.685,00;42.400
SIMH3;16/06/2023;11:25:00;10,01;10,01;9,98;10,01;296.906,00;29.700
SIMH3;16/06/2023;11:20:00;10,00;10,02;9,98;10,01;329.052,00;32.900
SIMH3;16/06/2023;11:15:00;9,98;10,02;9,97;9,99;492.783,00;49.300
SIMH3;16/06/2023;11:10:00;9,97;9,99;9,95;9,97;350.863,00;35.200
SIMH3;16/06/2023;11:05:00;9,98;9,98;9,95;9,96;249.177,00;25.000
SIMH3;16/06/2023;11:00:00;9,93;10,00;9,92;9,99;513.216,00;51.500
SIMH3;16/06/2023;10:55:00;9,88;9,93;9,85;9,93;625.635,00;63.200
SIMH3;16/06/2023;10:50:00;9,75;9,88;9,74;9,88;1.511.670,00;154.200
SIMH3;16/06/2023;10:45:00;9,72;9,76;9,71;9,76;143.114,00;14.700
SIMH3;16/06/2023;10:40:00;9,77;9,80;9,71;9,71;660.529,00;67.600
SIMH3;16/06/2023;10:35:00;9,69;9,78;9,68;9,78;506.985,00;52.100
SIMH3;16/06/2023;10:30:00;9,73;9,75;9,68;9,69;405.255,00;41.800
SIMH3;16/06/2023;10:25:00;9,74;9,78;9,73;9,73;483.633,00;49.500
SIMH3;16/06/2023;10:20:00;9,75;9,75;9,71;9,72;377.464,00;38.800
SIMH3;16/06/2023;10:15:00;9,73;9,77;9,71;9,75;614.416,00;63.100
SIMH3;16/06/2023;10:10:00;9,72;9,73;9,63;9,72;3.049.472,00;313.900
SIMH3;16/06/2023;10:05:00;9,76;9,76;9,70;9,73;670.151,00;68.900
SIMH3;16/06/2023;10:00:00;9,80;9,82;9,77;9,77;514.594,00;52.500
SIMH3;15/06/2023;17:30:00;9,95;9,95;9,85;9,85;173.070,00;17.500
SIMH3;15/06/2023;16:50:00;9,96;9,99;9,93;9,93;2.201.060,00;221.500
SIMH3;15/06/2023;16:45:00;9,97;9,98;9,94;9,95;611.910,00;61.400
SIMH3;15/06/2023;16:40:00;9,97;9,98;9,95;9,96;345.874,00;34.700
SIMH3;15/06/2023;16:35:00;9,98;10,00;9,96;9,97;333.380,00;33.400
SIMH3;15/06/2023;16:30:00;10,01;10,02;9,98;9,99;465.897,00;46.600
SIMH3;15/06/2023;16:25:00;10,01;10,02;10,00;10,02;580.545,00;58.000
SIMH3;15/06/2023;16:20:00;10,02;10,03;10,01;10,01;316.672,00;31.600
SIMH3;15/06/2023;16:15:00;10,03;10,03;10,01;10,02;237.438,00;23.700
SIMH3;15/06/2023;16:10:00;10,01;10,03;10,01;10,03;244.539,00;24.400
SIMH3;15/06/2023;16:05:00;10,01;10,02;10,00;10,01;153.140,00;15.300
SIMH3;15/06/2023;16:00:00;10,01;10,02;10,00;10,01;129.089,00;12.900
SIMH3;15/06/2023;15:55:00;10,01;10,02;10,00;10,02;130.139,00;13.000
SIMH3;15/06/2023;15:50:00;10,02;10,03;10,00;10,02;178.319,00;17.800
SIMH3;15/06/2023;15:45:00;10,01;10,02;10,00;10,02;149.152,00;14.900
SIMH3;15/06/2023;15:40:00;10,01;10,01;9,99;10,01;155.028,00;15.500
SIMH3;15/06/2023;15:35:00;10,00;10,03;10,00;10,01;155.194,00;15.500
SIMH3;15/06/2023;15:30:00;10,00;10,02;9,99;10,01;169.048,00;16.900
SIMH3;15/06/2023;15:25:00;10,00;10,00;9,98;10,00;326.677,00;32.700
SIMH3;15/06/2023;15:20:00;9,99;10,00;9,99;10,00;76.978,00;7.700
SIMH3;15/06/2023;15:15:00;10,00;10,01;9,98;9,99;186.943,00;18.700
SIMH3;15/06/2023;15:10:00;9,98;10,00;9,98;9,99;158.825,00;15.900
SIMH3;15/06/2023;15:05:00;9,99;10,00;9,98;9,98;103.899,00;10.400
SIMH3;15/06/2023;15:00:00;10,01;10,01;9,99;9,99;153.976,00;15.400
SIMH3;15/06/2023;14:55:00;10,01;10,02;10,00;10,00;59.037,00;5.900
SIMH3;15/06/2023;14:50:00;10,02;10,03;10,01;10,01;59.083,00;5.900
SIMH3;15/06/2023;14:45:00;10,04;10,04;10,02;10,03;69.201,00;6.900
SIMH3;15/06/2023;14:40:00;10,04;10,04;10,03;10,03;61.231,00;6.100
SIMH3;15/06/2023;14:35:00;10,02;10,04;10,02;10,04;85.240,00;8.500
SIMH3;15/06/2023;14:30:00;10,03;10,05;10,02;10,03;149.487,00;14.900
SIMH3;15/06/2023;14:25:00;10,02;10,03;10,00;10,02;181.182,00;18.100
SIMH3;15/06/2023;14:20:00;10,01;10,02;10,00;10,02;63.070,00;6.300
SIMH3;15/06/2023;14:15:00;10,00;10,02;9,99;10,02;92.019,00;9.200
SIMH3;15/06/2023;14:10:00;9,99;10,00;9,97;10,00;120.819,00;12.100
SIMH3;15/06/2023;14:05:00;9,98;9,99;9,97;9,98;288.297,00;28.900
SIMH3;15/06/2023;14:00:00;10,00;10,00;9,98;9,99;290.618,00;29.100
SIMH3;15/06/2023;13:55:00;9,99;10,01;9,99;10,00;70.002,00;7.000
SIMH3;15/06/2023;13:50:00;10,01;10,01;9,98;9,99;148.981,00;14.900
SIMH3;15/06/2023;13:45:00;10,02;10,02;10,00;10,00;139.189,00;13.900
SIMH3;15/06/2023;13:40:00;10,01;10,03;10,01;10,03;103.218,00;10.300
SIMH3;15/06/2023;13:35:00;10,01;10,02;9,99;10,01;182.190,00;18.200
SIMH3;15/06/2023;13:30:00;10,03;10,04;10,02;10,02;79.225,00;7.900
SIMH3;15/06/2023;13:25:00;10,02;10,04;10,02;10,03;34.106,00;3.400
SIMH3;15/06/2023;13:20:00;10,03;10,04;10,02;10,03;145.424,00;14.500
SIMH3;15/06/2023;13:15:00;10,02;10,03;10,01;10,01;91.195,00;9.100
SIMH3;15/06/2023;13:10:00;10,01;10,02;9,99;10,02;153.056,00;15.300
SIMH3;15/06/2023;13:05:00;9,99;10,02;9,99;10,00;168.965,00;16.900
SIMH3;15/06/2023;13:00:00;10,02;10,02;9,99;9,99;121.000,00;12.100
SIMH3;15/06/2023;12:55:00;10,02;10,03;10,00;10,01;166.258,00;16.600
SIMH3;15/06/2023;12:50:00;10,01;10,03;10,01;10,02;60.090,00;6.000
SIMH3;15/06/2023;12:45:00;10,03;10,03;10,01;10,01;29.068,00;2.900
SIMH3;15/06/2023;12:40:00;10,02;10,04;10,02;10,03;142.403,00;14.200
SIMH3;15/06/2023;12:35:00;10,02;10,03;10,01;10,02;116.206,00;11.600
SIMH3;15/06/2023;12:30:00;10,03;10,05;10,01;10,03;253.727,00;25.300
SIMH3;15/06/2023;12:25:00;10,02;10,03;10,02;10,03;118.250,00;11.800
SIMH3;15/06/2023;12:20:00;10,03;10,03;10,01;10,03;248.506,00;24.800
SIMH3;15/06/2023;12:15:00;10,00;10,03;10,00;10,02;200.276,00;20.000
SIMH3;15/06/2023;12:10:00;9,96;10,01;9,96;10,00;278.488,00;27.900
SIMH3;15/06/2023;12:05:00;10,01;10,01;9,95;9,95;547.612,00;54.900
SIMH3;15/06/2023;12:00:00;10,06;10,07;9,99;10,01;292.822,00;29.200
SIMH3;15/06/2023;11:55:00;10,07;10,08;10,05;10,05;88.566,00;8.800
SIMH3;15/06/2023;11:50:00;10,07;10,09;10,06;10,08;233.690,00;23.200
SIMH3;15/06/2023;11:45:00;10,07;10,07;10,05;10,06;144.907,00;14.400
SIMH3;15/06/2023;11:40:00;10,04;10,07;10,04;10,07;153.854,00;15.300
SIMH3;15/06/2023;11:35:00;10,07;10,08;10,05;10,05;288.871,00;28.700
SIMH3;15/06/2023;11:30:00;10,12;10,12;10,07;10,08;187.752,00;18.600
SIMH3;15/06/2023;11:25:00;10,11;10,12;10,10;10,11;83.916,00;8.300
SIMH3;15/06/2023;11:20:00;10,12;10,13;10,10;10,10;213.322,00;21.100
SIMH3;15/06/2023;11:15:00;10,11;10,13;10,10;10,12;197.327,00;19.500
SIMH3;15/06/2023;11:10:00;10,08;10,12;10,08;10,10;516.284,00;51.100
SIMH3;15/06/2023;11:05:00;10,06;10,08;10,05;10,08;569.289,00;56.600
SIMH3;15/06/2023;11:00:00;9,99;10,06;9,98;10,06;382.844,00;38.200
SIMH3;15/06/2023;10:55:00;10,00;10,01;9,97;9,98;270.689,00;27.100
SIMH3;15/06/2023;10:50:00;9,99;10,02;9,98;10,00;148.065,00;14.800
SIMH3;15/06/2023;10:45:00;9,97;10,01;9,97;9,99;244.626,00;24.500
SIMH3;15/06/2023;10:40:00;9,97;9,98;9,96;9,97;326.920,00;32.800
SIMH3;15/06/2023;10:35:00;9,97;10,00;9,97;9,97;148.800,00;14.900
SIMH3;15/06/2023;10:30:00;10,03;10,04;9,97;9,98;272.012,00;27.200
SIMH3;15/06/2023;10:25:00;10,00;10,03;9,99;10,03;224.393,00;22.400
SIMH3;15/06/2023;10:20:00;9,98;10,02;9,98;10,01;252.988,00;25.300
SIMH3;15/06/2023;10:15:00;10,02;10,02;9,97;9,97;175.808,00;17.600
