Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SMAC11;16/06/2023;16:45:00;57,11;57,17;57,11;57,17;45.793,11;801
SMAC11;16/06/2023;16:40:00;57,11;57,12;57,04;57,11;18.155,41;318
SMAC11;16/06/2023;16:35:00;57,14;57,14;57,10;57,12;7.711,05;135
SMAC11;16/06/2023;16:30:00;57,06;57,15;57,03;57,15;10.565,98;185
SMAC11;16/06/2023;16:25:00;57,12;57,12;57,02;57,05;7.134,10;125
SMAC11;16/06/2023;16:20:00;57,10;57,13;57,08;57,12;8.566,65;150
SMAC11;16/06/2023;16:15:00;57,08;57,10;57,08;57,08;7.135,92;125
SMAC11;16/06/2023;16:10:00;57,10;57,12;57,07;57,09;5.710,27;100
SMAC11;16/06/2023;16:05:00;57,09;57,11;57,06;57,10;7.136,45;125
SMAC11;16/06/2023;16:00:00;57,13;57,15;57,07;57,11;7.195,35;126
SMAC11;16/06/2023;15:55:00;57,10;57,14;57,09;57,11;13.709,85;240
SMAC11;16/06/2023;15:50:00;57,13;57,15;57,13;57,13;7.027,89;123
SMAC11;16/06/2023;15:45:00;57,20;57,21;57,14;57,14;7.146,95;125
SMAC11;16/06/2023;15:40:00;57,14;57,22;57,13;57,22;6.859,15;120
SMAC11;16/06/2023;15:35:00;57,20;57,22;57,18;57,18;8.293,67;145
SMAC11;16/06/2023;15:30:00;57,19;57,22;57,17;57,22;6.005,15;105
SMAC11;16/06/2023;15:25:00;57,19;57,21;57,15;57,21;7.776,50;136
SMAC11;16/06/2023;15:20:00;57,13;57,19;57,13;57,18;7.718,45;135
SMAC11;16/06/2023;15:15:00;57,17;57,20;57,15;57,18;7.431,90;130
SMAC11;16/06/2023;15:10:00;57,15;57,22;57,15;57,18;7.148,10;125
SMAC11;16/06/2023;15:05:00;57,18;57,18;57,15;57,17;12.635,13;221
SMAC11;16/06/2023;15:00:00;57,21;57,23;57,17;57,17;6.290,70;110
SMAC11;16/06/2023;14:55:00;57,20;57,23;57,18;57,23;8.008,30;140
SMAC11;16/06/2023;14:50:00;57,25;57,27;57,19;57,19;6.868,30;120
SMAC11;16/06/2023;14:45:00;57,28;57,28;57,26;57,27;6.185,66;108
SMAC11;16/06/2023;13:30:00;57,10;57,10;57,10;57,10;970,70;17
SMAC11;16/06/2023;13:20:00;57,21;57,21;57,21;57,21;57,21;1
SMAC11;16/06/2023;13:15:00;57,18;57,18;57,18;57,18;57,18;1
SMAC11;16/06/2023;13:05:00;57,19;57,19;57,19;57,19;57,19;1
SMAC11;16/06/2023;13:00:00;57,16;57,16;57,08;57,08;2.056,04;36
SMAC11;16/06/2023;12:35:00;57,18;57,18;57,18;57,18;12.693,96;222
SMAC11;16/06/2023;12:15:00;57,21;57,21;57,20;57,20;114,41;2
SMAC11;16/06/2023;12:10:00;57,18;57,18;57,18;57,18;972,06;17
SMAC11;16/06/2023;12:00:00;57,19;57,19;57,19;57,19;114,38;2
SMAC11;16/06/2023;11:50:00;57,28;57,28;57,28;57,28;343,68;6
SMAC11;16/06/2023;11:45:00;57,28;57,28;57,28;57,28;12.888,00;225
SMAC11;16/06/2023;11:35:00;57,19;57,19;57,19;57,19;457,52;8
SMAC11;16/06/2023;11:20:00;57,18;57,18;57,18;57,18;457,44;8
SMAC11;16/06/2023;11:15:00;57,24;57,24;57,24;57,24;6.067,44;106
SMAC11;16/06/2023;11:10:00;57,20;57,20;57,20;57,20;57,20;1
