Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SMAL11;06/06/2023;11:20:00;105,67;105,77;105,64;105,70;903.038,08;8.544
SMAL11;06/06/2023;11:15:00;105,89;105,96;105,65;105,68;2.550.579,87;24.110
SMAL11;06/06/2023;11:10:00;105,76;105,90;105,73;105,89;1.286.653,96;12.159
SMAL11;06/06/2023;11:05:00;105,25;105,79;105,24;105,76;4.594.211,13;43.517
SMAL11;06/06/2023;11:00:00;105,23;105,34;105,20;105,24;3.011.638,70;28.609
SMAL11;06/06/2023;10:55:00;105,20;105,34;105,20;105,23;860.590,88;8.174
SMAL11;06/06/2023;10:50:00;105,28;105,34;105,12;105,21;973.971,60;9.254
SMAL11;06/06/2023;10:45:00;105,26;105,34;105,20;105,31;1.604.168,87;15.237
SMAL11;06/06/2023;10:40:00;105,40;105,41;105,21;105,28;1.277.338,14;12.128
SMAL11;06/06/2023;10:35:00;105,28;105,41;105,15;105,38;3.549.477,26;33.704
SMAL11;06/06/2023;10:30:00;105,05;105,53;105,05;105,33;11.524.668,69;109.393
SMAL11;06/06/2023;10:25:00;104,90;105,14;104,86;105,04;3.160.447,81;30.087
SMAL11;06/06/2023;10:20:00;104,78;104,97;104,65;104,97;309.859,12;2.955
SMAL11;06/06/2023;10:15:00;104,94;104,95;104,67;104,86;1.142.734,65;10.909
SMAL11;06/06/2023;10:10:00;105,29;105,42;104,94;104,95;2.390.004,95;22.697
SMAL11;06/06/2023;10:05:00;104,90;105,25;104,71;105,25;2.775.637,85;26.440
SMAL11;05/06/2023;17:30:00;104,29;104,69;104,28;104,43;52.184,61;499
SMAL11;05/06/2023;16:50:00;104,52;104,69;104,28;104,28;15.149.728,88;145.185
SMAL11;05/06/2023;16:45:00;104,52;104,56;104,47;104,52;2.093.268,01;20.027
SMAL11;05/06/2023;16:40:00;104,47;104,55;104,42;104,51;2.364.186,13;22.621
SMAL11;05/06/2023;16:35:00;104,43;104,51;104,29;104,47;4.825.734,64;46.235
SMAL11;05/06/2023;16:30:00;104,54;104,67;104,40;104,43;4.909.285,17;46.949
SMAL11;05/06/2023;16:25:00;104,46;104,57;104,42;104,53;4.263.761,23;40.807
SMAL11;05/06/2023;16:20:00;104,12;104,49;104,08;104,46;8.313.922,79;79.659
SMAL11;05/06/2023;16:15:00;104,15;104,21;104,10;104,12;1.684.338,31;16.171
SMAL11;05/06/2023;16:10:00;104,07;104,17;104,06;104,15;1.065.032,69;10.230
SMAL11;05/06/2023;16:05:00;104,17;104,23;104,05;104,07;914.802,16;8.784
SMAL11;05/06/2023;16:00:00;104,22;104,26;104,13;104,18;1.093.048,32;10.490
SMAL11;05/06/2023;15:55:00;104,31;104,36;104,19;104,22;1.035.774,21;9.932
SMAL11;05/06/2023;15:50:00;104,28;104,35;104,16;104,31;992.316,38;9.518
SMAL11;05/06/2023;15:45:00;104,36;104,36;104,25;104,28;1.698.054,10;16.281
SMAL11;05/06/2023;15:40:00;104,27;104,42;104,23;104,36;1.572.835,76;15.073
SMAL11;05/06/2023;15:35:00;104,25;104,40;104,20;104,27;2.310.740,13;22.150
SMAL11;05/06/2023;15:30:00;104,39;104,42;104,21;104,25;2.145.102,93;20.562
SMAL11;05/06/2023;15:25:00;104,36;104,42;104,24;104,39;952.209,37;9.127
SMAL11;05/06/2023;15:20:00;104,27;104,40;104,22;104,37;21.004.984,50;201.478
SMAL11;05/06/2023;15:15:00;104,26;104,31;104,22;104,27;1.716.479,65;16.463
SMAL11;05/06/2023;15:10:00;104,28;104,28;104,22;104,27;537.072,74;5.152
SMAL11;05/06/2023;15:05:00;104,44;104,45;104,27;104,29;4.968.055,26;47.625
SMAL11;05/06/2023;15:00:00;104,22;104,62;104,20;104,44;6.893.188,53;66.021
SMAL11;05/06/2023;14:55:00;104,01;104,27;104,00;104,22;1.270.244,55;12.199
SMAL11;05/06/2023;14:50:00;103,90;104,01;103,88;104,00;800.180,40;7.697
SMAL11;05/06/2023;14:45:00;103,89;103,94;103,89;103,91;209.797,08;2.019
SMAL11;05/06/2023;14:40:00;103,79;103,92;103,78;103,91;300.169,97;2.891
SMAL11;05/06/2023;14:35:00;103,94;103,94;103,79;103,80;620.377,50;5.973
SMAL11;05/06/2023;14:30:00;103,91;103,96;103,88;103,94;185.799,36;1.788
SMAL11;05/06/2023;14:25:00;104,00;104,00;103,86;103,91;470.707,15;4.529
SMAL11;05/06/2023;14:20:00;104,00;104,04;103,96;104,00;529.266,94;5.089
SMAL11;05/06/2023;14:15:00;104,04;104,04;103,97;103,99;324.510,25;3.120
SMAL11;05/06/2023;14:10:00;104,12;104,13;104,04;104,05;254.261,00;2.443
SMAL11;05/06/2023;14:05:00;104,08;104,14;103,96;104,11;1.220.108,47;11.728
SMAL11;05/06/2023;14:00:00;104,06;104,25;104,04;104,10;3.594.014,79;34.496
SMAL11;05/06/2023;13:55:00;104,02;104,10;104,00;104,06;367.266,65;3.530
SMAL11;05/06/2023;13:50:00;104,12;104,13;104,01;104,02;427.250,37;4.105
SMAL11;05/06/2023;13:45:00;103,96;104,11;103,94;104,11;839.010,32;8.066
SMAL11;05/06/2023;13:40:00;103,88;103,97;103,86;103,96;304.334,49;2.929
SMAL11;05/06/2023;13:35:00;103,84;103,91;103,82;103,88;319.594,21;3.077
SMAL11;05/06/2023;13:30:00;103,90;103,92;103,83;103,83;348.264,51;3.353
SMAL11;05/06/2023;13:25:00;103,87;103,93;103,80;103,91;721.006,88;6.942
SMAL11;05/06/2023;13:20:00;103,87;103,93;103,84;103,87;560.088,29;5.392
SMAL11;05/06/2023;13:15:00;103,86;103,97;103,83;103,87;551.564,63;5.309
SMAL11;05/06/2023;13:10:00;103,76;103,98;103,74;103,87;619.589,46;5.967
SMAL11;05/06/2023;13:05:00;103,61;103,78;103,61;103,78;453.674,52;4.375
SMAL11;05/06/2023;13:00:00;103,68;103,73;103,55;103,61;919.885,57;8.876
SMAL11;05/06/2023;12:55:00;103,55;103,70;103,54;103,70;569.690,73;5.499
SMAL11;05/06/2023;12:50:00;103,46;103,60;103,45;103,56;502.362,39;4.853
SMAL11;05/06/2023;12:45:00;103,38;103,51;103,35;103,46;1.355.860,01;13.110
SMAL11;05/06/2023;12:40:00;103,41;103,42;103,32;103,38;1.145.297,85;11.081
SMAL11;05/06/2023;12:35:00;103,49;103,54;103,40;103,41;1.234.808,72;11.935
SMAL11;05/06/2023;12:30:00;103,55;103,59;103,46;103,49;2.664.092,45;25.728
SMAL11;05/06/2023;12:25:00;103,59;103,62;103,53;103,57;3.110.855,43;30.033
SMAL11;05/06/2023;12:20:00;103,74;103,75;103,57;103,58;2.701.998,47;26.060
SMAL11;05/06/2023;12:15:00;103,75;103,78;103,64;103,74;1.718.674,96;16.571
SMAL11;05/06/2023;12:10:00;103,56;103,76;103,52;103,76;900.744,47;8.692
SMAL11;05/06/2023;12:05:00;103,55;103,64;103,47;103,56;1.087.902,96;10.507
SMAL11;05/06/2023;12:00:00;103,47;103,60;103,47;103,55;841.841,84;8.133
SMAL11;05/06/2023;11:55:00;103,50;103,52;103,40;103,47;577.112,67;5.580
SMAL11;05/06/2023;11:50:00;103,36;103,60;103,34;103,53;4.163.791,09;40.252
SMAL11;05/06/2023;11:45:00;103,19;103,39;103,17;103,39;12.178.663,50;117.894
SMAL11;05/06/2023;11:40:00;102,79;103,20;102,78;103,19;509.716,21;4.954
SMAL11;05/06/2023;11:35:00;102,94;102,94;102,67;102,81;24.052.905,60;233.999
SMAL11;05/06/2023;11:30:00;102,78;102,93;102,75;102,93;3.367.615,26;32.750
SMAL11;05/06/2023;11:25:00;102,88;102,93;102,73;102,77;8.272.003,24;80.448
SMAL11;05/06/2023;11:20:00;102,92;103,05;102,81;102,89;24.565.399,26;238.662
SMAL11;05/06/2023;11:15:00;103,22;103,27;102,88;102,91;2.917.406,96;28.309
SMAL11;05/06/2023;11:10:00;103,45;103,50;103,20;103,22;871.785,73;8.432
SMAL11;05/06/2023;11:05:00;103,56;103,73;103,45;103,45;4.165.497,11;40.210
SMAL11;05/06/2023;11:00:00;103,57;103,81;103,51;103,56;1.800.180,96;17.373
SMAL11;05/06/2023;10:55:00;103,83;103,85;103,54;103,62;25.705.047,27;247.687
SMAL11;05/06/2023;10:50:00;104,10;104,10;103,79;103,82;1.760.695,54;16.953
SMAL11;05/06/2023;10:45:00;103,97;104,12;103,93;104,10;517.710,66;4.978
SMAL11;05/06/2023;10:40:00;104,18;104,25;103,94;103,97;139.631,93;1.341
SMAL11;05/06/2023;10:35:00;103,94;104,21;103,88;104,17;1.116.744,85;10.736
SMAL11;05/06/2023;10:30:00;103,83;103,95;103,66;103,95;1.110.124,93;10.696
