Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SQIA3;06/06/2023;11:20:00;20,69;20,69;20,68;20,69;16.548,00;800
SQIA3;06/06/2023;11:15:00;20,69;20,74;20,65;20,70;211.021,00;10.200
SQIA3;06/06/2023;11:10:00;20,64;20,68;20,64;20,66;37.195,00;1.800
SQIA3;06/06/2023;11:05:00;20,65;20,70;20,65;20,65;68.253,00;3.300
SQIA3;06/06/2023;11:00:00;20,66;20,68;20,63;20,64;70.230,00;3.400
SQIA3;06/06/2023;10:55:00;20,66;20,67;20,66;20,66;26.867,00;1.300
SQIA3;06/06/2023;10:50:00;20,70;20,70;20,64;20,65;76.498,00;3.700
SQIA3;06/06/2023;10:45:00;20,69;20,69;20,65;20,69;126.096,00;6.100
SQIA3;06/06/2023;10:40:00;20,70;20,70;20,67;20,70;119.988,00;5.800
SQIA3;06/06/2023;10:35:00;20,70;20,75;20,67;20,69;654.212,00;31.600
SQIA3;06/06/2023;10:30:00;20,75;20,88;20,69;20,70;450.221,00;21.700
SQIA3;06/06/2023;10:25:00;20,63;20,76;20,59;20,75;188.291,00;9.100
SQIA3;06/06/2023;10:20:00;20,62;20,64;20,55;20,63;189.367,00;9.200
SQIA3;06/06/2023;10:15:00;20,78;20,78;20,62;20,62;232.110,00;11.200
SQIA3;06/06/2023;10:10:00;20,98;21,05;20,74;20,75;182.128,00;8.700
SQIA3;06/06/2023;10:05:00;20,88;20,96;20,86;20,96;56.424,00;2.700
SQIA3;06/06/2023;10:00:00;20,64;20,90;20,64;20,88;74.727,00;3.600
SQIA3;05/06/2023;17:30:00;20,62;20,63;20,41;20,41;18.529,00;900
SQIA3;05/06/2023;16:50:00;20,58;20,63;20,53;20,63;2.235.838,00;108.400
SQIA3;05/06/2023;16:45:00;20,60;20,61;20,57;20,57;300.718,00;14.600
SQIA3;05/06/2023;16:40:00;20,62;20,66;20,59;20,60;402.037,00;19.500
SQIA3;05/06/2023;16:35:00;20,41;20,61;20,41;20,61;5.922.567,00;290.100
SQIA3;05/06/2023;16:30:00;20,44;20,44;20,39;20,41;820.882,00;40.200
SQIA3;05/06/2023;16:25:00;20,42;20,44;20,39;20,44;834.811,00;40.900
SQIA3;05/06/2023;16:20:00;20,46;20,48;20,40;20,40;553.522,00;27.100
SQIA3;05/06/2023;16:15:00;20,47;20,48;20,44;20,46;106.417,00;5.200
SQIA3;05/06/2023;16:10:00;20,43;20,52;20,43;20,48;466.381,00;22.800
SQIA3;05/06/2023;16:05:00;20,47;20,47;20,42;20,43;212.565,00;10.400
SQIA3;05/06/2023;16:00:00;20,48;20,48;20,45;20,46;92.073,00;4.500
SQIA3;05/06/2023;15:55:00;20,48;20,50;20,45;20,48;106.491,00;5.200
SQIA3;05/06/2023;15:50:00;20,49;20,49;20,46;20,48;106.470,00;5.200
SQIA3;05/06/2023;15:45:00;20,52;20,52;20,47;20,47;202.926,00;9.900
SQIA3;05/06/2023;15:40:00;20,51;20,56;20,51;20,53;232.063,00;11.300
SQIA3;05/06/2023;15:35:00;20,54;20,57;20,51;20,51;470.309,00;22.900
SQIA3;05/06/2023;15:30:00;20,56;20,56;20,52;20,54;649.296,00;31.600
SQIA3;05/06/2023;15:25:00;20,55;20,57;20,55;20,55;688.570,00;33.500
SQIA3;05/06/2023;15:20:00;20,58;20,58;20,54;20,56;431.670,00;21.000
SQIA3;05/06/2023;15:15:00;20,60;20,62;20,51;20,58;1.218.152,00;59.200
SQIA3;05/06/2023;15:10:00;20,60;20,61;20,59;20,61;173.007,00;8.400
SQIA3;05/06/2023;15:05:00;20,68;20,68;20,60;20,61;115.521,00;5.600
SQIA3;05/06/2023;15:00:00;20,64;20,70;20,64;20,69;190.113,00;9.200
SQIA3;05/06/2023;14:55:00;20,67;20,67;20,62;20,63;245.643,00;11.900
SQIA3;05/06/2023;14:50:00;20,62;20,70;20,60;20,67;483.207,00;23.400
SQIA3;05/06/2023;14:45:00;20,61;20,63;20,59;20,63;72.123,00;3.500
SQIA3;05/06/2023;14:40:00;20,55;20,63;20,55;20,60;277.974,00;13.500
SQIA3;05/06/2023;14:35:00;20,62;20,63;20,54;20,55;105.012,00;5.100
SQIA3;05/06/2023;14:30:00;20,63;20,63;20,61;20,63;74.237,00;3.600
SQIA3;05/06/2023;14:25:00;20,63;20,64;20,61;20,63;195.881,00;9.500
SQIA3;05/06/2023;14:20:00;20,63;20,65;20,62;20,64;53.651,00;2.600
SQIA3;05/06/2023;14:15:00;20,61;20,64;20,60;20,62;92.770,00;4.500
SQIA3;05/06/2023;14:10:00;20,66;20,68;20,60;20,61;200.261,00;9.700
SQIA3;05/06/2023;14:05:00;20,67;20,69;20,66;20,66;119.901,00;5.800
SQIA3;05/06/2023;14:00:00;20,68;20,70;20,67;20,67;95.151,00;4.600
SQIA3;05/06/2023;13:55:00;20,76;20,76;20,65;20,70;975.002,00;47.100
SQIA3;05/06/2023;13:50:00;20,78;20,79;20,74;20,77;122.542,00;5.900
SQIA3;05/06/2023;13:45:00;20,80;20,84;20,75;20,78;2.250.651,00;108.200
SQIA3;05/06/2023;13:40:00;20,79;20,81;20,78;20,78;51.979,00;2.500
SQIA3;05/06/2023;13:35:00;20,74;20,79;20,73;20,79;83.049,00;4.000
SQIA3;05/06/2023;13:30:00;20,89;20,90;20,73;20,74;2.564.866,00;123.300
SQIA3;05/06/2023;13:25:00;20,90;20,90;20,84;20,88;148.253,00;7.100
SQIA3;05/06/2023;13:20:00;20,89;20,91;20,89;20,90;50.155,00;2.400
SQIA3;05/06/2023;13:15:00;20,91;20,93;20,89;20,89;48.088,00;2.300
SQIA3;05/06/2023;13:10:00;20,81;20,93;20,81;20,91;48.059,00;2.300
SQIA3;05/06/2023;13:05:00;20,71;20,82;20,70;20,82;410.471,00;19.800
SQIA3;05/06/2023;13:00:00;20,79;20,79;20,71;20,71;286.409,00;13.800
SQIA3;05/06/2023;12:55:00;20,89;20,95;20,78;20,79;615.504,00;29.500
SQIA3;05/06/2023;12:50:00;20,86;20,89;20,86;20,89;41.736,00;2.000
SQIA3;05/06/2023;12:45:00;20,84;20,86;20,82;20,86;37.506,00;1.800
