Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
STBP3;06/06/2023;11:20:00;9,90;9,92;9,90;9,92;49.543,00;5.000
STBP3;06/06/2023;11:15:00;9,90;9,92;9,89;9,90;151.447,00;15.300
STBP3;06/06/2023;11:10:00;9,85;9,88;9,83;9,88;3.765.322,00;382.000
STBP3;06/06/2023;11:05:00;9,82;9,85;9,81;9,85;375.949,00;38.200
STBP3;06/06/2023;11:00:00;9,79;9,82;9,73;9,82;2.203.678,00;225.600
STBP3;06/06/2023;10:55:00;9,82;9,85;9,78;9,78;2.014.152,00;205.300
STBP3;06/06/2023;10:50:00;9,87;9,91;9,82;9,82;824.846,00;83.700
STBP3;06/06/2023;10:45:00;9,87;9,88;9,81;9,87;1.488.374,00;151.300
STBP3;06/06/2023;10:40:00;9,88;9,91;9,83;9,88;3.060.084,00;310.100
STBP3;06/06/2023;10:35:00;9,97;9,97;9,79;9,87;5.188.541,00;526.000
STBP3;06/06/2023;10:30:00;9,99;10,00;9,95;9,96;919.193,00;92.100
STBP3;06/06/2023;10:25:00;9,95;9,98;9,93;9,98;231.128,00;23.200
STBP3;06/06/2023;10:20:00;9,97;9,97;9,92;9,95;444.459,00;44.700
STBP3;06/06/2023;10:15:00;10,03;10,04;9,97;9,97;331.790,00;33.200
STBP3;06/06/2023;10:10:00;10,11;10,13;10,02;10,04;555.718,00;55.200
STBP3;06/06/2023;10:05:00;10,08;10,11;10,07;10,11;89.816,00;8.900
STBP3;06/06/2023;10:00:00;10,06;10,09;10,05;10,09;46.303,00;4.600
STBP3;05/06/2023;17:30:00;10,06;10,06;10,01;10,02;65.209,00;6.500
STBP3;05/06/2023;16:50:00;10,08;10,09;10,06;10,07;9.625.258,00;955.800
STBP3;05/06/2023;16:45:00;10,07;10,09;10,06;10,09;806.137,00;80.000
STBP3;05/06/2023;16:40:00;10,10;10,12;10,07;10,08;631.575,00;62.600
STBP3;05/06/2023;16:35:00;10,06;10,09;10,05;10,09;557.085,00;55.300
STBP3;05/06/2023;16:30:00;10,06;10,08;10,05;10,06;302.943,00;30.100
STBP3;05/06/2023;16:25:00;10,06;10,08;10,05;10,05;244.541,00;24.300
STBP3;05/06/2023;16:20:00;10,03;10,07;10,02;10,05;455.962,00;45.400
STBP3;05/06/2023;16:15:00;10,04;10,04;10,02;10,02;173.475,00;17.300
STBP3;05/06/2023;16:10:00;10,03;10,04;10,02;10,03;123.365,00;12.300
STBP3;05/06/2023;16:05:00;10,04;10,05;10,03;10,03;118.442,00;11.800
STBP3;05/06/2023;16:00:00;10,04;10,06;10,04;10,04;192.911,00;19.200
STBP3;05/06/2023;15:55:00;10,04;10,08;10,04;10,04;412.509,00;41.000
STBP3;05/06/2023;15:50:00;10,05;10,06;10,03;10,04;123.509,00;12.300
STBP3;05/06/2023;15:45:00;10,07;10,08;10,05;10,05;221.416,00;22.000
STBP3;05/06/2023;15:40:00;10,06;10,09;10,06;10,07;186.368,00;18.500
STBP3;05/06/2023;15:35:00;10,06;10,07;10,06;10,06;129.890,00;12.900
STBP3;05/06/2023;15:30:00;10,07;10,09;10,06;10,06;157.157,00;15.600
STBP3;05/06/2023;15:25:00;10,06;10,08;10,05;10,07;138.814,00;13.800
STBP3;05/06/2023;15:20:00;10,04;10,07;10,04;10,06;415.380,00;41.300
STBP3;05/06/2023;15:15:00;10,04;10,05;10,03;10,04;185.800,00;18.500
STBP3;05/06/2023;15:10:00;10,04;10,06;10,03;10,04;295.259,00;29.400
STBP3;05/06/2023;15:05:00;10,06;10,06;10,03;10,03;144.593,00;14.400
STBP3;05/06/2023;15:00:00;10,01;10,07;10,01;10,05;463.757,00;46.200
STBP3;05/06/2023;14:55:00;10,00;10,02;10,00;10,01;310.139,00;31.000
STBP3;05/06/2023;14:50:00;9,97;10,01;9,97;10,00;583.829,00;58.400
STBP3;05/06/2023;14:45:00;9,98;9,99;9,97;9,97;111.720,00;11.200
STBP3;05/06/2023;14:40:00;9,97;9,98;9,97;9,98;90.786,00;9.100
STBP3;05/06/2023;14:35:00;9,97;9,98;9,95;9,97;168.317,00;16.900
STBP3;05/06/2023;14:30:00;9,97;9,97;9,96;9,97;101.660,00;10.200
STBP3;05/06/2023;14:25:00;9,98;9,98;9,96;9,97;103.696,00;10.400
STBP3;05/06/2023;14:20:00;9,99;10,00;9,98;9,98;136.809,00;13.700
STBP3;05/06/2023;14:15:00;9,99;10,00;9,98;9,99;314.654,00;31.500
STBP3;05/06/2023;14:10:00;9,96;10,00;9,96;9,99;2.405.848,00;240.700
STBP3;05/06/2023;14:05:00;9,95;9,97;9,94;9,96;308.528,00;31.000
STBP3;05/06/2023;14:00:00;9,96;9,97;9,95;9,96;215.143,00;21.600
STBP3;05/06/2023;13:55:00;9,96;9,97;9,95;9,96;195.248,00;19.600
STBP3;05/06/2023;13:50:00;9,99;9,99;9,93;9,96;626.661,00;62.900
STBP3;05/06/2023;13:45:00;9,99;10,00;9,98;9,99;223.788,00;22.400
STBP3;05/06/2023;13:40:00;9,99;10,00;9,98;9,99;110.859,00;11.100
STBP3;05/06/2023;13:35:00;10,01;10,01;9,98;9,99;518.594,00;51.900
STBP3;05/06/2023;13:30:00;10,00;10,05;9,96;10,02;681.705,00;68.100
STBP3;05/06/2023;13:25:00;9,90;10,01;9,90;10,00;1.193.593,00;119.800
STBP3;05/06/2023;13:20:00;9,93;9,94;9,90;9,91;41.011.597,00;4.142.500
STBP3;05/06/2023;13:15:00;9,90;9,93;9,89;9,92;399.364,00;40.300
STBP3;05/06/2023;13:10:00;9,93;9,96;9,88;9,90;2.080.762,00;209.900
STBP3;05/06/2023;13:05:00;9,92;9,94;9,92;9,93;385.154,00;38.800
STBP3;05/06/2023;13:00:00;9,89;9,93;9,86;9,92;1.550.170,00;156.500
