Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SULA11;23/12/2022;17:50:00;22,28;22,35;22,25;22,25;163.675.276,00;7.355.900
SULA11;23/12/2022;17:45:00;22,30;22,33;22,27;22,29;2.948.833,00;132.300
SULA11;23/12/2022;17:40:00;22,30;22,37;22,29;22,30;3.611.432,00;161.700
SULA11;23/12/2022;17:35:00;22,34;22,34;22,28;22,30;4.867.679,00;218.200
SULA11;23/12/2022;17:30:00;22,35;22,39;22,33;22,33;2.312.014,00;103.400
SULA11;23/12/2022;17:25:00;22,40;22,42;22,34;22,35;4.100.680,00;183.300
SULA11;23/12/2022;17:20:00;22,41;22,44;22,38;22,40;1.835.904,00;81.900
SULA11;23/12/2022;17:15:00;22,46;22,49;22,40;22,42;2.309.053,00;102.900
SULA11;23/12/2022;17:10:00;22,34;22,50;22,34;22,45;1.763.239,00;78.600
SULA11;23/12/2022;17:05:00;22,40;22,45;22,26;22,34;6.660.278,00;297.900
SULA11;23/12/2022;17:00:00;22,47;22,50;22,39;22,39;2.911.006,00;129.700
SULA11;23/12/2022;16:55:00;22,48;22,51;22,46;22,47;1.632.023,00;72.600
SULA11;23/12/2022;16:50:00;22,45;22,52;22,45;22,49;2.072.518,00;92.200
SULA11;23/12/2022;16:45:00;22,44;22,47;22,43;22,45;1.766.614,00;78.700
SULA11;23/12/2022;16:40:00;22,46;22,51;22,43;22,44;2.370.139,00;105.500
SULA11;23/12/2022;16:35:00;22,43;22,50;22,42;22,46;2.319.921,00;103.300
SULA11;23/12/2022;16:30:00;22,45;22,47;22,42;22,43;1.879.833,00;83.800
SULA11;23/12/2022;16:25:00;22,47;22,48;22,40;22,45;1.516.675,00;67.600
SULA11;23/12/2022;16:20:00;22,43;22,50;22,40;22,49;1.967.105,00;87.700
SULA11;23/12/2022;16:15:00;22,43;22,47;22,42;22,43;1.216.350,00;54.200
SULA11;23/12/2022;16:10:00;22,41;22,47;22,39;22,44;2.461.661,00;109.800
SULA11;23/12/2022;16:05:00;22,40;22,43;22,39;22,42;1.841.432,00;82.200
SULA11;23/12/2022;16:00:00;22,36;22,44;22,36;22,40;2.395.912,00;107.000
SULA11;23/12/2022;15:55:00;22,35;22,40;22,33;22,36;2.894.018,00;129.400
SULA11;23/12/2022;15:50:00;22,38;22,41;22,34;22,37;2.682.877,00;119.900
SULA11;23/12/2022;15:45:00;22,41;22,44;22,34;22,38;1.922.802,00;85.900
SULA11;23/12/2022;15:40:00;22,40;22,43;22,34;22,42;1.868.625,00;83.500
SULA11;23/12/2022;15:35:00;22,41;22,44;22,37;22,40;2.114.559,00;94.400
SULA11;23/12/2022;15:30:00;22,41;22,45;22,37;22,42;2.995.852,00;133.700
SULA11;23/12/2022;15:25:00;22,41;22,45;22,37;22,41;2.714.985,00;121.200
SULA11;23/12/2022;15:20:00;22,46;22,49;22,36;22,41;2.877.985,00;128.400
SULA11;23/12/2022;15:15:00;22,45;22,54;22,39;22,45;2.601.082,00;115.800
SULA11;23/12/2022;15:10:00;22,51;22,56;22,44;22,46;989.809,00;44.000
SULA11;23/12/2022;15:05:00;22,52;22,62;22,51;22,52;826.483,00;36.600
SULA11;23/12/2022;15:00:00;22,61;22,61;22,52;22,53;616.147,00;27.300
SULA11;23/12/2022;14:55:00;22,62;22,62;22,52;22,60;1.085.725,00;48.100
SULA11;23/12/2022;14:50:00;22,66;22,67;22,58;22,62;823.280,00;36.400
SULA11;23/12/2022;14:45:00;22,67;22,71;22,63;22,66;1.060.453,00;46.800
SULA11;23/12/2022;14:40:00;22,67;22,69;22,63;22,67;824.689,00;36.400
SULA11;23/12/2022;14:35:00;22,75;22,75;22,66;22,68;876.685,00;38.600
SULA11;23/12/2022;14:30:00;22,73;22,80;22,73;22,75;532.784,00;23.400
SULA11;23/12/2022;14:25:00;22,78;22,79;22,72;22,73;626.047,00;27.500
SULA11;23/12/2022;14:20:00;22,70;22,78;22,70;22,77;564.193,00;24.800
SULA11;23/12/2022;14:15:00;22,64;22,73;22,64;22,70;1.476.035,00;65.100
SULA11;23/12/2022;14:10:00;22,69;22,71;22,65;22,65;1.295.447,00;57.100
SULA11;23/12/2022;14:05:00;22,75;22,78;22,68;22,69;1.106.658,00;48.700
SULA11;23/12/2022;14:00:00;22,81;22,84;22,73;22,74;1.141.759,00;50.100
SULA11;23/12/2022;13:55:00;22,81;22,86;22,80;22,81;511.392,00;22.400
SULA11;23/12/2022;13:50:00;22,87;22,88;22,80;22,81;664.512,00;29.100
SULA11;23/12/2022;13:45:00;22,86;22,88;22,82;22,88;847.910,00;37.100
SULA11;23/12/2022;13:40:00;22,99;23,01;22,86;22,87;768.543,00;33.500
SULA11;23/12/2022;13:35:00;23,02;23,03;22,96;22,98;501.392,00;21.800
SULA11;23/12/2022;13:30:00;22,98;23,03;22,96;23,02;542.734,00;23.600
SULA11;23/12/2022;13:25:00;22,95;23,01;22,95;22,97;636.652,00;27.700
SULA11;23/12/2022;13:20:00;22,94;22,98;22,91;22,95;821.540,00;35.800
SULA11;23/12/2022;13:15:00;23,00;23,00;22,91;22,94;663.596,00;28.900
SULA11;23/12/2022;13:10:00;22,95;23,00;22,95;23,00;477.758,00;20.800
SULA11;23/12/2022;13:05:00;22,86;22,95;22,83;22,95;583.631,00;25.500
SULA11;23/12/2022;13:00:00;22,88;22,92;22,82;22,87;617.046,00;27.000
SULA11;23/12/2022;12:55:00;22,94;22,98;22,87;22,88;1.091.232,00;47.600
SULA11;23/12/2022;12:50:00;22,94;22,98;22,88;22,95;818.630,00;35.700
SULA11;23/12/2022;12:45:00;22,94;23,00;22,94;22,95;640.661,00;27.900
SULA11;23/12/2022;12:40:00;22,94;22,96;22,88;22,95;705.828,00;30.800
SULA11;23/12/2022;12:35:00;22,90;23,02;22,90;22,93;1.888.422,00;82.200
SULA11;23/12/2022;12:30:00;22,82;22,97;22,82;22,90;1.446.194,00;63.200
SULA11;23/12/2022;12:25:00;22,83;22,83;22,75;22,83;1.232.832,00;54.100
SULA11;23/12/2022;12:20:00;22,80;22,84;22,73;22,82;1.579.337,00;69.300
SULA11;23/12/2022;12:15:00;22,72;22,84;22,70;22,80;910.944,00;40.000
SULA11;23/12/2022;12:10:00;22,79;22,84;22,72;22,73;1.059.717,00;46.500
SULA11;23/12/2022;12:05:00;22,74;22,79;22,68;22,79;652.359,00;28.700
SULA11;23/12/2022;12:00:00;22,76;22,80;22,72;22,75;721.337,00;31.700
SULA11;23/12/2022;11:55:00;22,71;22,79;22,69;22,77;520.867,00;22.900
SULA11;23/12/2022;11:50:00;22,72;22,84;22,70;22,72;1.323.193,00;58.100
SULA11;23/12/2022;11:45:00;22,70;22,76;22,68;22,71;853.872,00;37.600
SULA11;23/12/2022;11:40:00;22,73;22,88;22,70;22,70;1.734.048,00;76.100
SULA11;23/12/2022;11:35:00;22,64;22,79;22,64;22,72;1.339.235,00;59.000
SULA11;23/12/2022;11:30:00;22,58;22,66;22,54;22,63;1.275.277,00;56.400
SULA11;23/12/2022;11:25:00;22,49;22,58;22,49;22,57;205.087,00;9.100
SULA11;23/12/2022;11:20:00;22,41;22,56;22,41;22,50;2.348.369,00;104.500
SULA11;23/12/2022;11:15:00;22,54;22,60;22,39;22,39;2.382.927,00;105.900
SULA11;23/12/2022;11:10:00;22,38;22,54;22,36;22,53;1.807.076,00;80.400
SULA11;23/12/2022;11:05:00;22,32;22,48;22,32;22,38;1.573.822,00;70.200
SULA11;23/12/2022;11:00:00;22,38;22,53;22,31;22,31;4.159.204,00;185.200
SULA11;23/12/2022;10:55:00;22,49;22,56;22,32;22,38;3.367.566,00;150.100
