Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SUZB3;16/06/2023;17:30:00;48,14;48,35;48,14;48,23;381.442,00;7.900
SUZB3;16/06/2023;16:45:00;48,16;48,30;48,12;48,30;353.818.595,00;7.325.600
SUZB3;16/06/2023;16:40:00;48,23;48,23;48,13;48,15;5.035.278,00;104.500
SUZB3;16/06/2023;16:35:00;48,13;48,26;48,13;48,24;3.261.570,00;67.700
SUZB3;16/06/2023;16:30:00;48,10;48,15;48,10;48,13;4.462.462,00;92.700
SUZB3;16/06/2023;16:25:00;48,14;48,15;48,10;48,10;1.800.259,00;37.400
SUZB3;16/06/2023;16:20:00;48,19;48,20;48,13;48,13;2.292.330,00;47.600
SUZB3;16/06/2023;16:15:00;48,15;48,22;48,15;48,20;1.966.369,00;40.800
SUZB3;16/06/2023;16:10:00;48,20;48,20;48,14;48,16;1.888.127,00;39.200
SUZB3;16/06/2023;16:05:00;48,26;48,26;48,19;48,21;2.199.789,00;45.600
SUZB3;16/06/2023;16:00:00;48,28;48,29;48,22;48,27;2.639.785,00;54.700
SUZB3;16/06/2023;15:55:00;48,31;48,39;48,28;48,28;4.698.226,00;97.200
SUZB3;16/06/2023;15:50:00;48,23;48,32;48,16;48,32;4.171.148,00;86.500
SUZB3;16/06/2023;15:45:00;48,30;48,31;48,20;48,23;12.500.841,00;259.000
SUZB3;16/06/2023;15:40:00;48,20;48,31;48,16;48,31;3.169.040,00;65.700
SUZB3;16/06/2023;15:35:00;48,20;48,21;48,17;48,21;1.479.733,00;30.700
SUZB3;16/06/2023;15:30:00;48,21;48,22;48,10;48,21;1.946.084,00;40.400
SUZB3;16/06/2023;15:25:00;48,13;48,22;48,10;48,21;1.839.918,00;38.200
SUZB3;16/06/2023;15:20:00;48,12;48,18;48,09;48,14;2.098.152,00;43.600
SUZB3;16/06/2023;15:15:00;48,20;48,20;48,09;48,12;1.622.239,00;33.700
SUZB3;16/06/2023;15:10:00;48,17;48,22;48,17;48,19;1.224.268,00;25.400
SUZB3;16/06/2023;15:05:00;48,30;48,31;48,16;48,17;1.717.090,00;35.600
SUZB3;16/06/2023;15:00:00;48,43;48,44;48,26;48,30;1.997.218,00;41.300
SUZB3;16/06/2023;14:55:00;48,45;48,52;48,43;48,43;2.273.566,00;46.900
SUZB3;16/06/2023;14:50:00;48,38;48,48;48,37;48,45;2.363.319,00;48.800
SUZB3;16/06/2023;14:45:00;48,40;48,44;48,37;48,38;3.576.454,00;73.900
SUZB3;16/06/2023;14:40:00;48,38;48,43;48,33;48,39;1.848.679,00;38.200
SUZB3;16/06/2023;14:35:00;48,43;48,44;48,36;48,38;2.555.585,00;52.800
SUZB3;16/06/2023;14:30:00;48,41;48,43;48,27;48,42;2.567.328,00;53.100
SUZB3;16/06/2023;14:25:00;48,44;48,47;48,38;48,41;1.491.769,00;30.800
SUZB3;16/06/2023;14:20:00;48,37;48,45;48,36;48,45;1.853.526,00;38.300
SUZB3;16/06/2023;14:15:00;48,18;48,37;48,17;48,37;2.967.672,00;61.500
SUZB3;16/06/2023;14:10:00;48,14;48,19;48,04;48,18;3.756.858,00;78.100
SUZB3;16/06/2023;14:05:00;48,23;48,23;48,14;48,14;1.431.145,00;29.700
SUZB3;16/06/2023;14:00:00;48,31;48,33;48,23;48,25;3.624.969,00;75.100
SUZB3;16/06/2023;13:55:00;48,26;48,37;48,25;48,28;3.377.055,00;69.900
SUZB3;16/06/2023;13:50:00;48,31;48,31;48,23;48,27;2.032.222,00;42.100
SUZB3;16/06/2023;13:45:00;48,38;48,42;48,29;48,31;3.439.394,00;71.100
SUZB3;16/06/2023;13:40:00;48,31;48,40;48,30;48,38;2.180.697,00;45.100
SUZB3;16/06/2023;13:35:00;48,32;48,33;48,29;48,32;1.314.129,00;27.200
SUZB3;16/06/2023;13:30:00;48,26;48,33;48,24;48,30;1.525.821,00;31.600
SUZB3;16/06/2023;13:25:00;48,27;48,29;48,23;48,24;1.360.537,00;28.200
SUZB3;16/06/2023;13:20:00;48,32;48,34;48,27;48,27;1.608.438,00;33.300
SUZB3;16/06/2023;13:15:00;48,29;48,36;48,27;48,32;2.135.105,00;44.200
SUZB3;16/06/2023;13:10:00;48,30;48,32;48,27;48,29;1.115.541,00;23.100
SUZB3;16/06/2023;13:05:00;48,34;48,35;48,28;48,30;1.024.275,00;21.200
SUZB3;16/06/2023;13:00:00;48,31;48,35;48,30;48,34;1.145.408,00;23.700
SUZB3;16/06/2023;12:55:00;48,25;48,32;48,24;48,32;1.076.412,00;22.300
SUZB3;16/06/2023;12:50:00;48,27;48,29;48,23;48,24;1.124.780,00;23.300
SUZB3;16/06/2023;12:45:00;48,27;48,29;48,18;48,27;1.741.326,00;36.100
SUZB3;16/06/2023;12:40:00;48,24;48,28;48,19;48,27;1.958.429,00;40.600
SUZB3;16/06/2023;12:35:00;48,28;48,37;48,22;48,25;1.396.151,00;28.900
SUZB3;16/06/2023;12:30:00;48,25;48,28;48,22;48,27;1.215.841,00;25.200
SUZB3;16/06/2023;12:25:00;48,27;48,32;48,20;48,24;2.330.724,00;48.300
SUZB3;16/06/2023;12:20:00;48,21;48,28;48,18;48,26;1.331.206,00;27.600
SUZB3;16/06/2023;12:15:00;48,15;48,26;48,15;48,20;3.754.825,00;77.900
SUZB3;16/06/2023;12:10:00;48,18;48,20;48,11;48,15;2.523.866,00;52.400
SUZB3;16/06/2023;12:05:00;48,20;48,20;48,16;48,19;954.106,00;19.800
SUZB3;16/06/2023;12:00:00;48,09;48,20;48,07;48,20;1.444.149,00;30.000
SUZB3;16/06/2023;11:55:00;48,07;48,11;48,04;48,09;1.519.323,00;31.600
SUZB3;16/06/2023;11:50:00;48,08;48,18;48,04;48,08;1.313.335,00;27.300
SUZB3;16/06/2023;11:45:00;48,03;48,12;47,96;48,09;1.672.505,00;34.800
SUZB3;16/06/2023;11:40:00;47,99;48,03;47,90;48,03;1.376.964,00;28.700
SUZB3;16/06/2023;11:35:00;47,97;48,02;47,97;47,99;806.324,00;16.800
