Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SYNE3;16/06/2023;16:45:00;3,93;3,94;3,90;3,90;75.763,00;19.400
SYNE3;16/06/2023;16:40:00;3,92;3,93;3,92;3,93;1.178,00;300
SYNE3;16/06/2023;16:35:00;3,93;3,93;3,93;3,93;393,00;100
SYNE3;16/06/2023;16:30:00;3,93;3,93;3,93;3,93;393,00;100
SYNE3;16/06/2023;16:25:00;3,93;3,93;3,93;3,93;1.965,00;500
SYNE3;16/06/2023;16:15:00;3,93;3,93;3,93;3,93;393,00;100
SYNE3;16/06/2023;16:10:00;3,93;3,93;3,92;3,92;785,00;200
SYNE3;16/06/2023;16:05:00;3,93;3,93;3,93;3,93;393,00;100
SYNE3;16/06/2023;16:00:00;3,93;3,93;3,93;3,93;3.930,00;1.000
SYNE3;16/06/2023;15:50:00;3,93;3,93;3,93;3,93;11.397,00;2.900
SYNE3;16/06/2023;15:45:00;3,94;3,94;3,94;3,94;2.364,00;600
SYNE3;16/06/2023;15:40:00;3,94;3,94;3,94;3,94;788,00;200
SYNE3;16/06/2023;15:35:00;3,94;3,95;3,94;3,94;41.858,00;10.600
SYNE3;16/06/2023;15:30:00;3,93;3,93;3,93;3,93;6.288,00;1.600
SYNE3;16/06/2023;15:20:00;3,94;3,94;3,93;3,93;11.028,00;2.800
SYNE3;16/06/2023;15:15:00;3,94;3,94;3,94;3,94;1.182,00;300
SYNE3;16/06/2023;15:05:00;3,96;3,97;3,92;3,94;84.686,00;21.500
SYNE3;16/06/2023;15:00:00;3,97;3,97;3,96;3,96;793,00;200
SYNE3;16/06/2023;14:45:00;3,97;3,97;3,96;3,97;1.190,00;300
SYNE3;16/06/2023;14:30:00;3,96;3,96;3,96;3,96;1.188,00;300
SYNE3;16/06/2023;14:20:00;3,97;3,97;3,97;3,97;397,00;100
SYNE3;16/06/2023;14:15:00;3,98;3,98;3,98;3,98;796,00;200
SYNE3;16/06/2023;14:10:00;3,97;3,97;3,97;3,97;397,00;100
SYNE3;16/06/2023;14:05:00;3,97;3,97;3,97;3,97;1.985,00;500
SYNE3;16/06/2023;13:55:00;3,97;3,97;3,97;3,97;397,00;100
SYNE3;16/06/2023;13:45:00;3,97;3,97;3,97;3,97;7.146,00;1.800
SYNE3;16/06/2023;13:40:00;3,97;3,97;3,97;3,97;397,00;100
SYNE3;16/06/2023;13:35:00;3,96;3,97;3,96;3,97;3.966,00;1.000
SYNE3;16/06/2023;13:30:00;3,96;3,96;3,96;3,96;1.188,00;300
SYNE3;16/06/2023;13:25:00;3,95;3,95;3,95;3,95;395,00;100
SYNE3;16/06/2023;13:20:00;3,97;3,97;3,97;3,97;397,00;100
SYNE3;16/06/2023;13:15:00;3,96;3,96;3,96;3,96;1.980,00;500
SYNE3;16/06/2023;13:10:00;3,96;3,96;3,96;3,96;396,00;100
