Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TAEE11;06/06/2023;11:20:00;36,81;36,81;36,79;36,81;1.548.967,00;42.100
TAEE11;06/06/2023;11:15:00;36,80;36,87;36,79;36,80;787.949,00;21.400
TAEE11;06/06/2023;11:10:00;36,85;36,87;36,79;36,80;950.225,00;25.800
TAEE11;06/06/2023;11:05:00;36,71;36,86;36,71;36,84;404.772,00;11.000
TAEE11;06/06/2023;11:00:00;36,69;36,73;36,69;36,70;407.434,00;11.100
TAEE11;06/06/2023;10:55:00;36,70;36,75;36,68;36,68;385.440,00;10.500
TAEE11;06/06/2023;10:50:00;36,74;36,74;36,70;36,70;495.730,00;13.500
TAEE11;06/06/2023;10:45:00;36,87;36,87;36,75;36,75;1.417.814,00;38.500
TAEE11;06/06/2023;10:40:00;36,86;36,89;36,84;36,88;1.352.238,00;36.700
TAEE11;06/06/2023;10:35:00;36,84;36,89;36,83;36,85;1.315.771,00;35.700
TAEE11;06/06/2023;10:30:00;36,77;36,89;36,77;36,84;1.951.457,00;53.000
TAEE11;06/06/2023;10:25:00;36,79;36,80;36,75;36,75;518.380,00;14.100
TAEE11;06/06/2023;10:20:00;36,75;36,78;36,70;36,78;433.419,00;11.800
TAEE11;06/06/2023;10:15:00;36,90;36,90;36,76;36,76;755.193,00;20.500
TAEE11;06/06/2023;10:10:00;36,80;36,92;36,77;36,90;861.508,00;23.400
TAEE11;06/06/2023;10:05:00;36,76;36,80;36,69;36,78;727.146,00;19.800
TAEE11;06/06/2023;10:00:00;36,65;36,77;36,63;36,75;829.058,00;22.600
TAEE11;05/06/2023;17:30:00;36,65;36,67;36,53;36,65;329.198,00;9.000
TAEE11;05/06/2023;16:50:00;36,63;36,67;36,59;36,67;10.613.952,00;289.500
TAEE11;05/06/2023;16:45:00;36,61;36,65;36,60;36,63;948.462,00;25.900
TAEE11;05/06/2023;16:40:00;36,65;36,66;36,60;36,61;813.167,00;22.200
TAEE11;05/06/2023;16:35:00;36,61;36,66;36,53;36,65;1.902.566,00;52.000
TAEE11;05/06/2023;16:30:00;36,60;36,65;36,59;36,61;948.544,00;25.900
TAEE11;05/06/2023;16:25:00;36,59;36,62;36,51;36,61;2.662.828,00;72.800
TAEE11;05/06/2023;16:20:00;36,53;36,60;36,53;36,60;833.864,00;22.800
TAEE11;05/06/2023;16:15:00;36,56;36,56;36,52;36,54;844.151,00;23.100
TAEE11;05/06/2023;16:10:00;36,55;36,57;36,55;36,57;570.287,00;15.600
TAEE11;05/06/2023;16:05:00;36,57;36,59;36,54;36,56;987.098,00;27.000
TAEE11;05/06/2023;16:00:00;36,48;36,56;36,48;36,56;635.354,00;17.400
TAEE11;05/06/2023;15:55:00;36,57;36,58;36,47;36,47;1.110.746,00;30.400
TAEE11;05/06/2023;15:50:00;36,59;36,60;36,56;36,58;676.816,00;18.500
TAEE11;05/06/2023;15:45:00;36,60;36,62;36,59;36,59;450.171,00;12.300
TAEE11;05/06/2023;15:40:00;36,57;36,65;36,57;36,61;1.156.843,00;31.600
TAEE11;05/06/2023;15:35:00;36,61;36,66;36,57;36,57;1.069.500,00;29.200
TAEE11;05/06/2023;15:30:00;36,55;36,61;36,51;36,61;2.062.598,00;56.400
TAEE11;05/06/2023;15:25:00;36,56;36,59;36,55;36,55;1.020.296,00;27.900
TAEE11;05/06/2023;15:20:00;36,49;36,60;36,47;36,56;3.485.906,00;95.400
TAEE11;05/06/2023;15:15:00;36,49;36,50;36,45;36,48;1.192.958,00;32.700
TAEE11;05/06/2023;15:10:00;36,45;36,50;36,45;36,49;310.115,00;8.500
TAEE11;05/06/2023;15:05:00;36,46;36,50;36,42;36,46;1.502.184,00;41.200
TAEE11;05/06/2023;15:00:00;36,45;36,50;36,44;36,46;2.059.872,00;56.500
TAEE11;05/06/2023;14:55:00;36,37;36,45;36,36;36,45;1.259.445,00;34.600
TAEE11;05/06/2023;14:50:00;36,36;36,38;36,35;36,38;927.188,00;25.500
TAEE11;05/06/2023;14:45:00;36,33;36,36;36,33;36,36;596.025,00;16.400
TAEE11;05/06/2023;14:40:00;36,32;36,33;36,31;36,33;864.304,00;23.800
TAEE11;05/06/2023;14:35:00;36,31;36,35;36,30;36,32;603.024,00;16.600
TAEE11;05/06/2023;14:30:00;36,37;36,37;36,30;36,31;1.184.564,00;32.600
TAEE11;05/06/2023;14:25:00;36,32;36,37;36,30;36,36;2.407.438,00;66.300
TAEE11;05/06/2023;14:20:00;36,40;36,42;36,32;36,32;2.065.285,00;56.800
TAEE11;05/06/2023;14:15:00;36,42;36,43;36,39;36,41;444.198,00;12.200
TAEE11;05/06/2023;14:10:00;36,40;36,43;36,40;36,42;648.248,00;17.800
TAEE11;05/06/2023;14:05:00;36,45;36,47;36,38;36,39;867.103,00;23.800
TAEE11;05/06/2023;14:00:00;36,52;36,53;36,44;36,45;853.476,00;23.400
TAEE11;05/06/2023;13:55:00;36,51;36,54;36,51;36,53;303.159,00;8.300
TAEE11;05/06/2023;13:50:00;36,57;36,58;36,53;36,53;581.356,00;15.900
TAEE11;05/06/2023;13:45:00;36,60;36,60;36,57;36,58;548.701,00;15.000
TAEE11;05/06/2023;13:40:00;36,60;36,60;36,58;36,60;80.508,00;2.200
TAEE11;05/06/2023;13:35:00;36,61;36,64;36,57;36,59;1.811.510,00;49.500
TAEE11;05/06/2023;13:30:00;36,60;36,61;36,58;36,59;903.712,00;24.700
TAEE11;05/06/2023;13:25:00;36,60;36,61;36,58;36,60;369.598,00;10.100
TAEE11;05/06/2023;13:20:00;36,61;36,63;36,59;36,60;432.042,00;11.800
TAEE11;05/06/2023;13:15:00;36,64;36,65;36,59;36,62;651.857,00;17.800
