Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TASA4;16/06/2023;17:30:00;14,98;15,05;14,91;15,05;17.981,00;1.200
TASA4;16/06/2023;16:45:00;14,89;15,00;14,85;15,00;2.158.275,00;144.000
TASA4;16/06/2023;16:40:00;14,90;14,92;14,88;14,89;222.002,00;14.900
TASA4;16/06/2023;16:35:00;15,03;15,06;14,88;14,90;1.186.097,00;79.300
TASA4;16/06/2023;16:30:00;15,04;15,06;15,03;15,03;49.645,00;3.300
TASA4;16/06/2023;16:25:00;15,05;15,07;15,03;15,04;90.303,00;6.000
TASA4;16/06/2023;16:20:00;15,04;15,07;15,03;15,05;67.733,00;4.500
TASA4;16/06/2023;16:15:00;15,01;15,04;15,01;15,04;43.551,00;2.900
TASA4;16/06/2023;16:10:00;15,03;15,04;15,01;15,01;79.638,00;5.300
TASA4;16/06/2023;16:05:00;15,02;15,05;15,02;15,03;73.696,00;4.900
TASA4;16/06/2023;16:00:00;15,03;15,05;15,02;15,05;64.621,00;4.300
TASA4;16/06/2023;15:55:00;15,04;15,05;15,03;15,04;27.070,00;1.800
TASA4;16/06/2023;15:50:00;15,05;15,06;15,04;15,04;57.181,00;3.800
TASA4;16/06/2023;15:45:00;15,07;15,07;15,05;15,06;51.217,00;3.400
TASA4;16/06/2023;15:40:00;15,07;15,10;15,06;15,07;46.731,00;3.100
TASA4;16/06/2023;15:35:00;15,12;15,13;15,07;15,08;151.006,00;10.000
TASA4;16/06/2023;15:30:00;15,08;15,11;15,08;15,11;34.743,00;2.300
TASA4;16/06/2023;15:25:00;15,10;15,10;15,08;15,08;13.578,00;900
TASA4;16/06/2023;15:20:00;15,10;15,10;15,07;15,08;27.159,00;1.800
TASA4;16/06/2023;15:15:00;15,08;15,09;15,08;15,09;12.065,00;800
TASA4;16/06/2023;15:10:00;15,09;15,10;15,08;15,10;10.562,00;700
TASA4;16/06/2023;15:05:00;15,08;15,09;15,08;15,08;19.605,00;1.300
TASA4;16/06/2023;15:00:00;15,08;15,09;15,07;15,07;19.607,00;1.300
TASA4;16/06/2023;14:55:00;15,08;15,09;15,07;15,09;52.779,00;3.500
TASA4;16/06/2023;14:50:00;15,09;15,10;15,08;15,08;13.580,00;900
TASA4;16/06/2023;14:45:00;15,09;15,11;15,08;15,08;37.750,00;2.500
TASA4;16/06/2023;14:40:00;15,09;15,10;15,09;15,09;16.600,00;1.100
TASA4;16/06/2023;14:35:00;15,06;15,09;15,06;15,09;18.089,00;1.200
TASA4;16/06/2023;14:30:00;15,07;15,07;15,05;15,06;61.736,00;4.100
TASA4;16/06/2023;14:25:00;15,06;15,07;15,05;15,07;13.552,00;900
TASA4;16/06/2023;14:20:00;15,07;15,07;15,05;15,05;25.603,00;1.700
TASA4;16/06/2023;14:15:00;15,08;15,10;15,07;15,07;34.700,00;2.300
TASA4;16/06/2023;14:10:00;15,09;15,10;15,07;15,08;34.688,00;2.300
TASA4;16/06/2023;14:05:00;15,09;15,09;15,09;15,09;9.054,00;600
TASA4;16/06/2023;14:00:00;15,10;15,11;15,09;15,09;25.669,00;1.700
TASA4;16/06/2023;13:55:00;15,10;15,12;15,10;15,11;25.687,00;1.700
TASA4;16/06/2023;13:50:00;15,11;15,11;15,11;15,11;1.511,00;100
TASA4;16/06/2023;13:45:00;15,09;15,10;15,09;15,10;51.333,00;3.400
TASA4;16/06/2023;13:40:00;15,09;15,09;15,08;15,09;6.035,00;400
TASA4;16/06/2023;13:35:00;15,09;15,09;15,06;15,06;22.608,00;1.500
TASA4;16/06/2023;13:30:00;15,11;15,11;15,09;15,09;58.892,00;3.900
TASA4;16/06/2023;13:25:00;15,12;15,14;15,12;15,14;42.359,00;2.800
TASA4;16/06/2023;13:20:00;15,14;15,14;15,12;15,12;25.720,00;1.700
TASA4;16/06/2023;13:10:00;15,11;15,12;15,11;15,12;78.574,00;5.200
TASA4;16/06/2023;13:05:00;15,10;15,12;15,10;15,12;3.022,00;200
TASA4;16/06/2023;13:00:00;15,13;15,13;15,10;15,12;16.630,00;1.100
TASA4;16/06/2023;12:55:00;15,14;15,16;15,12;15,15;22.709,00;1.500
TASA4;16/06/2023;12:50:00;15,15;15,17;15,15;15,15;30.304,00;2.000
TASA4;16/06/2023;12:45:00;15,16;15,16;15,13;15,14;21.203,00;1.400
TASA4;16/06/2023;12:40:00;15,17;15,18;15,17;15,18;12.143,00;800
TASA4;16/06/2023;12:35:00;15,20;15,20;15,15;15,15;94.027,00;6.200
TASA4;16/06/2023;12:30:00;15,20;15,22;15,20;15,20;111.020,00;7.300
TASA4;16/06/2023;12:25:00;15,19;15,21;15,19;15,20;97.287,00;6.400
TASA4;16/06/2023;12:20:00;15,18;15,19;15,17;15,18;13.662,00;900
TASA4;16/06/2023;12:15:00;15,19;15,19;15,16;15,16;60.708,00;4.000
TASA4;16/06/2023;12:10:00;15,17;15,19;15,17;15,19;24.290,00;1.600
TASA4;16/06/2023;12:05:00;15,18;15,21;15,18;15,18;41.031,00;2.700
TASA4;16/06/2023;12:00:00;15,17;15,18;15,16;15,17;47.037,00;3.100
TASA4;16/06/2023;11:55:00;15,18;15,18;15,15;15,17;28.822,00;1.900
TASA4;16/06/2023;11:50:00;15,19;15,22;15,18;15,18;38.002,00;2.500
TASA4;16/06/2023;11:45:00;15,20;15,24;15,20;15,20;57.838,00;3.800
TASA4;16/06/2023;11:40:00;15,18;15,20;15,18;15,19;34.929,00;2.300
TASA4;16/06/2023;11:35:00;15,19;15,20;15,16;15,16;71.348,00;4.700
TASA4;16/06/2023;11:30:00;15,16;15,17;15,15;15,17;39.418,00;2.600
TASA4;16/06/2023;11:25:00;15,14;15,16;15,12;15,15;21.207,00;1.400
TASA4;16/06/2023;11:20:00;15,11;15,16;15,11;15,16;30.256,00;2.000
TASA4;16/06/2023;11:15:00;15,13;15,13;15,11;15,12;16.631,00;1.100
TASA4;16/06/2023;11:10:00;15,10;15,13;15,07;15,13;276.201,00;18.300
TASA4;16/06/2023;11:05:00;15,22;15,22;15,08;15,08;222.711,00;14.700
TASA4;16/06/2023;11:00:00;15,17;15,23;15,17;15,23;297.868,00;19.600
TASA4;16/06/2023;10:55:00;15,12;15,16;15,12;15,16;33.316,00;2.200
TASA4;16/06/2023;10:50:00;15,15;15,15;15,11;15,14;51.425,00;3.400
TASA4;16/06/2023;10:45:00;15,10;15,14;15,08;15,14;66.421,00;4.400
TASA4;16/06/2023;10:40:00;15,12;15,12;15,10;15,10;25.680,00;1.700
TASA4;16/06/2023;10:35:00;15,06;15,12;15,06;15,09;80.014,00;5.300
TASA4;16/06/2023;10:30:00;15,03;15,04;15,03;15,04;4.511,00;300
TASA4;16/06/2023;10:25:00;15,08;15,08;15,06;15,06;21.095,00;1.400
TASA4;16/06/2023;10:20:00;15,09;15,09;15,06;15,06;6.027,00;400
TASA4;16/06/2023;10:15:00;15,09;15,09;15,04;15,08;16.570,00;1.100
TASA4;16/06/2023;10:10:00;15,05;15,05;15,00;15,05;51.058,00;3.400
TASA4;16/06/2023;10:05:00;15,15;15,15;15,09;15,09;34.757,00;2.300
TASA4;16/06/2023;10:00:00;15,13;15,18;15,13;15,18;116.615,00;7.700
TASA4;15/06/2023;17:30:00;15,13;15,16;15,13;15,16;6.058,00;400
TASA4;15/06/2023;16:50:00;15,14;15,16;15,13;15,13;1.543.383,00;102.000
TASA4;15/06/2023;16:45:00;15,15;15,17;15,10;15,14;143.801,00;9.500
TASA4;15/06/2023;16:40:00;15,14;15,16;15,14;15,14;87.888,00;5.800
TASA4;15/06/2023;16:35:00;15,14;15,15;15,12;15,15;98.369,00;6.500
TASA4;15/06/2023;16:30:00;15,14;15,16;15,10;15,14;235.961,00;15.600
TASA4;15/06/2023;16:25:00;15,15;15,17;15,14;15,16;51.540,00;3.400
TASA4;15/06/2023;16:20:00;15,16;15,17;15,14;15,15;34.866,00;2.300
TASA4;15/06/2023;16:15:00;15,16;15,17;15,14;15,17;51.532,00;3.400
TASA4;15/06/2023;16:10:00;15,13;15,16;15,13;15,15;45.435,00;3.000
TASA4;15/06/2023;16:05:00;15,15;15,15;15,13;15,15;37.861,00;2.500
TASA4;15/06/2023;16:00:00;15,17;15,17;15,13;15,15;51.501,00;3.400
TASA4;15/06/2023;15:55:00;15,18;15,18;15,14;15,14;40.954,00;2.700
TASA4;15/06/2023;15:50:00;15,17;15,18;15,15;15,17;57.634,00;3.800
TASA4;15/06/2023;15:45:00;15,17;15,18;15,13;15,18;77.308,00;5.100
TASA4;15/06/2023;15:40:00;15,18;15,18;15,15;15,17;34.877,00;2.300
TASA4;15/06/2023;15:35:00;15,17;15,19;15,16;15,16;145.719,00;9.600
