Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TCNO4;26/10/2022;16:50:00;0,87;0,87;0,85;0,85;342,00;400
TCNO4;26/10/2022;16:45:00;0,88;0,88;0,88;0,88;176,00;200
TCNO4;26/10/2022;16:40:00;0,88;0,88;0,88;0,88;88,00;100
TCNO4;26/10/2022;16:25:00;0,88;0,88;0,88;0,88;968,00;1.100
TCNO4;26/10/2022;16:20:00;0,88;0,88;0,88;0,88;528,00;600
TCNO4;26/10/2022;16:10:00;0,87;0,88;0,87;0,88;1.231,00;1.400
TCNO4;26/10/2022;16:05:00;0,89;0,89;0,88;0,88;2.383,00;2.700
TCNO4;26/10/2022;15:45:00;0,94;0,94;0,94;0,94;94,00;100
TCNO4;26/10/2022;15:40:00;0,92;0,92;0,87;0,87;20.045,00;22.800
TCNO4;26/10/2022;15:00:00;0,93;0,93;0,93;0,93;93,00;100
TCNO4;26/10/2022;14:00:00;0,91;0,91;0,91;0,91;910,00;1.000
TCNO4;26/10/2022;13:55:00;0,92;0,92;0,91;0,91;2.276,00;2.500
TCNO4;26/10/2022;11:35:00;0,92;0,92;0,92;0,92;184,00;200
TCNO4;26/10/2022;11:30:00;0,93;0,93;0,93;0,93;93,00;100
TCNO4;26/10/2022;11:15:00;0,92;0,92;0,92;0,92;1.012,00;1.100
TCNO4;26/10/2022;10:50:00;0,93;0,93;0,92;0,92;2.218,00;2.400
TCNO4;25/10/2022;17:30:00;0,94;0,94;0,93;0,93;1.028,00;1.100
TCNO4;25/10/2022;16:50:00;0,93;0,94;0,93;0,94;842,00;900
TCNO4;25/10/2022;16:45:00;0,94;0,95;0,92;0,93;1.771,00;1.900
TCNO4;25/10/2022;14:55:00;0,95;0,96;0,95;0,96;476,00;500
TCNO4;25/10/2022;10:00:00;0,96;0,96;0,96;0,96;96,00;100
TCNO4;24/10/2022;17:30:00;0,95;0,96;0,95;0,96;958,00;1.000
TCNO4;24/10/2022;12:35:00;0,96;0,96;0,96;0,96;96,00;100
TCNO4;24/10/2022;11:50:00;0,96;0,96;0,96;0,96;96,00;100
TCNO4;24/10/2022;11:40:00;0,95;0,95;0,94;0,94;1.421,00;1.500
TCNO4;24/10/2022;11:30:00;0,94;0,94;0,94;0,94;94,00;100
TCNO4;24/10/2022;10:35:00;0,95;0,95;0,95;0,95;190,00;200
TCNO4;24/10/2022;10:30:00;0,96;0,96;0,95;0,95;191,00;200
TCNO4;24/10/2022;10:20:00;0,96;0,96;0,96;0,96;96,00;100
TCNO4;21/10/2022;17:30:00;0,97;0,97;0,97;0,97;97,00;100
TCNO4;21/10/2022;15:05:00;0,95;0,96;0,95;0,96;2.852,00;3.000
TCNO4;21/10/2022;14:55:00;0,94;0,94;0,94;0,94;1.222,00;1.300
TCNO4;21/10/2022;14:50:00;0,95;0,95;0,95;0,95;95,00;100
TCNO4;21/10/2022;14:45:00;0,95;0,95;0,95;0,95;95,00;100
TCNO4;21/10/2022;14:40:00;0,95;0,95;0,95;0,95;95,00;100
TCNO4;21/10/2022;14:30:00;0,95;0,95;0,95;0,95;190,00;200
TCNO4;21/10/2022;14:25:00;0,95;0,95;0,95;0,95;95,00;100
TCNO4;21/10/2022;14:20:00;0,96;0,96;0,96;0,96;96,00;100
TCNO4;21/10/2022;13:55:00;0,95;0,95;0,92;0,93;4.577,00;4.900
TCNO4;21/10/2022;11:40:00;0,95;0,95;0,95;0,95;950,00;1.000
TCNO4;21/10/2022;11:20:00;0,95;0,95;0,95;0,95;475,00;500
TCNO4;21/10/2022;11:10:00;0,95;0,95;0,95;0,95;95,00;100
TCNO4;21/10/2022;10:50:00;0,95;0,95;0,95;0,95;475,00;500
TCNO4;21/10/2022;10:45:00;0,95;0,95;0,95;0,95;475,00;500
TCNO4;21/10/2022;10:15:00;0,97;0,97;0,97;0,97;1.067,00;1.100
TCNO4;20/10/2022;16:50:00;0,96;0,96;0,96;0,96;3.264,00;3.400
TCNO4;20/10/2022;16:20:00;0,96;0,96;0,96;0,96;960,00;1.000
TCNO4;20/10/2022;16:10:00;0,96;0,96;0,96;0,96;192,00;200
