Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TCSA3;16/06/2023;17:30:00;3,64;3,64;3,62;3,62;9.062,00;2.500
TCSA3;16/06/2023;16:45:00;3,64;3,66;3,64;3,64;20.024,00;5.500
TCSA3;16/06/2023;16:40:00;3,64;3,64;3,64;3,64;364,00;100
TCSA3;16/06/2023;16:35:00;3,66;3,66;3,66;3,66;732,00;200
TCSA3;16/06/2023;16:30:00;3,66;3,66;3,66;3,66;732,00;200
TCSA3;16/06/2023;16:25:00;3,66;3,66;3,66;3,66;732,00;200
TCSA3;16/06/2023;16:15:00;3,66;3,66;3,64;3,65;42.986,00;11.800
TCSA3;16/06/2023;16:10:00;3,66;3,67;3,66;3,67;1.099,00;300
TCSA3;16/06/2023;16:00:00;3,71;3,71;3,68;3,68;48.656,00;13.200
TCSA3;16/06/2023;15:55:00;3,71;3,71;3,71;3,71;371,00;100
TCSA3;16/06/2023;15:45:00;3,71;3,71;3,71;3,71;371,00;100
TCSA3;16/06/2023;15:40:00;3,72;3,72;3,72;3,72;1.488,00;400
TCSA3;16/06/2023;15:35:00;3,72;3,72;3,72;3,72;744,00;200
TCSA3;16/06/2023;15:25:00;3,73;3,73;3,73;3,73;1.119,00;300
TCSA3;16/06/2023;15:20:00;3,71;3,71;3,71;3,71;371,00;100
TCSA3;16/06/2023;15:15:00;3,72;3,72;3,72;3,72;372,00;100
TCSA3;16/06/2023;15:10:00;3,72;3,72;3,72;3,72;744,00;200
TCSA3;16/06/2023;15:05:00;3,72;3,72;3,72;3,72;744,00;200
TCSA3;16/06/2023;14:55:00;3,72;3,72;3,72;3,72;372,00;100
TCSA3;16/06/2023;14:50:00;3,70;3,70;3,70;3,70;8.140,00;2.200
TCSA3;16/06/2023;14:45:00;3,72;3,72;3,72;3,72;1.860,00;500
TCSA3;16/06/2023;14:30:00;3,71;3,71;3,70;3,70;2.592,00;700
TCSA3;16/06/2023;14:25:00;3,71;3,71;3,70;3,70;9.262,00;2.500
TCSA3;16/06/2023;14:20:00;3,74;3,74;3,71;3,71;17.490,00;4.700
TCSA3;16/06/2023;14:15:00;3,75;3,75;3,75;3,75;750,00;200
TCSA3;16/06/2023;14:10:00;3,75;3,75;3,75;3,75;375,00;100
TCSA3;16/06/2023;14:00:00;3,75;3,75;3,75;3,75;1.125,00;300
TCSA3;16/06/2023;13:55:00;3,75;3,77;3,75;3,77;1.502,00;400
TCSA3;16/06/2023;13:50:00;3,74;3,74;3,74;3,74;13.838,00;3.700
TCSA3;16/06/2023;13:40:00;3,73;3,74;3,73;3,73;3.732,00;1.000
TCSA3;16/06/2023;13:35:00;3,73;3,73;3,73;3,73;746,00;200
TCSA3;16/06/2023;13:25:00;3,72;3,72;3,72;3,72;2.232,00;600
TCSA3;16/06/2023;13:20:00;3,73;3,73;3,73;3,73;1.492,00;400
TCSA3;16/06/2023;13:05:00;3,73;3,73;3,73;3,73;10.817,00;2.900
TCSA3;16/06/2023;13:00:00;3,73;3,73;3,73;3,73;2.238,00;600
TCSA3;16/06/2023;12:55:00;3,73;3,74;3,73;3,74;1.494,00;400
TCSA3;16/06/2023;12:50:00;3,73;3,73;3,73;3,73;1.119,00;300
TCSA3;16/06/2023;12:45:00;3,72;3,72;3,72;3,72;372,00;100
TCSA3;16/06/2023;12:40:00;3,73;3,73;3,72;3,72;1.118,00;300
TCSA3;16/06/2023;12:35:00;3,72;3,72;3,72;3,72;744,00;200
TCSA3;16/06/2023;12:30:00;3,73;3,73;3,73;3,73;746,00;200
TCSA3;16/06/2023;12:25:00;3,72;3,72;3,72;3,72;744,00;200
TCSA3;16/06/2023;12:20:00;3,73;3,73;3,73;3,73;373,00;100
TCSA3;16/06/2023;12:10:00;3,74;3,74;3,74;3,74;1.496,00;400
TCSA3;16/06/2023;12:05:00;3,73;3,74;3,73;3,74;1.120,00;300
TCSA3;16/06/2023;12:00:00;3,71;3,73;3,71;3,73;7.814,00;2.100
TCSA3;16/06/2023;11:55:00;3,72;3,72;3,70;3,70;30.009,00;8.100
TCSA3;16/06/2023;11:50:00;3,75;3,77;3,73;3,73;59.153,00;15.800
TCSA3;16/06/2023;11:40:00;3,75;3,75;3,75;3,75;4.500,00;1.200
TCSA3;16/06/2023;11:35:00;3,74;3,75;3,73;3,75;2.244,00;600
TCSA3;16/06/2023;11:30:00;3,73;3,73;3,73;3,73;373,00;100
TCSA3;16/06/2023;11:20:00;3,75;3,76;3,75;3,76;3.001,00;800
TCSA3;16/06/2023;11:10:00;3,75;3,75;3,75;3,75;375,00;100
TCSA3;16/06/2023;11:00:00;3,73;3,75;3,73;3,75;1.870,00;500
TCSA3;16/06/2023;10:50:00;3,74;3,75;3,72;3,75;3.740,00;1.000
TCSA3;16/06/2023;10:45:00;3,75;3,75;3,73;3,73;1.867,00;500
TCSA3;16/06/2023;10:40:00;3,74;3,74;3,74;3,74;748,00;200
TCSA3;16/06/2023;10:30:00;3,74;3,74;3,74;3,74;1.870,00;500
TCSA3;16/06/2023;10:25:00;3,73;3,75;3,73;3,75;4.855,00;1.300
TCSA3;16/06/2023;10:20:00;3,70;3,70;3,70;3,70;18.500,00;5.000
TCSA3;16/06/2023;10:15:00;3,69;3,71;3,69;3,71;5.932,00;1.600
TCSA3;16/06/2023;10:10:00;3,71;3,71;3,68;3,68;16.201,00;4.400
