Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TECN3;06/06/2023;11:15:00;3,02;3,02;3,02;3,02;3.322,00;1.100
TECN3;06/06/2023;11:10:00;3,02;3,02;3,02;3,02;14.496,00;4.800
TECN3;06/06/2023;11:05:00;3,03;3,03;3,01;3,02;259.285,00;86.100
TECN3;06/06/2023;11:00:00;3,03;3,04;3,03;3,04;2.731,00;900
TECN3;06/06/2023;10:55:00;3,02;3,04;3,02;3,04;1.814,00;600
TECN3;06/06/2023;10:45:00;3,02;3,02;3,02;3,02;3.624,00;1.200
TECN3;06/06/2023;10:40:00;3,02;3,04;3,02;3,04;3.626,00;1.200
TECN3;06/06/2023;10:35:00;3,04;3,04;3,04;3,04;4.560,00;1.500
TECN3;06/06/2023;10:30:00;3,04;3,06;3,02;3,02;79.049,00;26.000
TECN3;06/06/2023;10:25:00;3,05;3,05;3,04;3,04;3.658,00;1.200
TECN3;06/06/2023;10:20:00;3,05;3,05;3,05;3,05;2.440,00;800
TECN3;06/06/2023;10:15:00;3,07;3,07;3,05;3,05;14.045,00;4.600
TECN3;06/06/2023;10:10:00;3,07;3,07;3,07;3,07;614,00;200
TECN3;06/06/2023;10:05:00;3,08;3,08;3,08;3,08;308,00;100
TECN3;06/06/2023;10:00:00;3,07;3,08;3,07;3,08;13.817,00;4.500
TECN3;05/06/2023;17:30:00;3,07;3,07;3,07;3,07;307,00;100
TECN3;05/06/2023;16:50:00;3,06;3,07;3,03;3,07;30.736,00;10.100
TECN3;05/06/2023;16:45:00;3,06;3,06;3,05;3,05;2.141,00;700
TECN3;05/06/2023;16:40:00;3,05;3,06;3,05;3,05;5.187,00;1.700
TECN3;05/06/2023;16:35:00;3,05;3,05;3,05;3,05;1.525,00;500
TECN3;05/06/2023;16:30:00;3,05;3,05;3,04;3,05;1.828,00;600
TECN3;05/06/2023;16:25:00;3,04;3,05;3,04;3,04;8.215,00;2.700
TECN3;05/06/2023;16:20:00;3,05;3,05;3,04;3,04;8.535,00;2.800
TECN3;05/06/2023;16:15:00;3,05;3,05;3,04;3,05;7.917,00;2.600
TECN3;05/06/2023;16:10:00;3,05;3,05;3,04;3,05;2.439,00;800
TECN3;05/06/2023;15:50:00;3,05;3,06;3,04;3,05;6.702,00;2.200
TECN3;05/06/2023;15:45:00;3,05;3,06;3,05;3,06;6.414,00;2.100
