Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TEND3;16/06/2023;17:30:00;8,92;8,96;8,90;8,96;46.446,00;5.200
TEND3;16/06/2023;16:45:00;8,99;9,01;8,93;8,93;2.109.632,00;235.800
TEND3;16/06/2023;16:40:00;8,99;9,01;8,98;9,00;268.840,00;29.900
TEND3;16/06/2023;16:35:00;8,99;9,00;8,98;8,99;90.806,00;10.100
TEND3;16/06/2023;16:30:00;8,98;9,01;8,98;8,99;203.380,00;22.600
TEND3;16/06/2023;16:25:00;8,99;9,00;8,98;8,99;271.529,00;30.200
TEND3;16/06/2023;16:20:00;9,00;9,01;8,99;8,99;226.802,00;25.200
TEND3;16/06/2023;16:15:00;9,02;9,04;9,00;9,01;194.911,00;21.600
TEND3;16/06/2023;16:10:00;9,01;9,03;9,00;9,02;131.639,00;14.600
TEND3;16/06/2023;16:05:00;9,01;9,02;9,00;9,00;71.193,00;7.900
TEND3;16/06/2023;16:00:00;9,01;9,03;9,00;9,01;215.354,00;23.900
TEND3;16/06/2023;15:55:00;9,02;9,03;9,00;9,01;110.920,00;12.300
TEND3;16/06/2023;15:50:00;9,04;9,04;9,02;9,03;50.560,00;5.600
TEND3;16/06/2023;15:45:00;9,06;9,06;9,02;9,04;172.553,00;19.100
TEND3;16/06/2023;15:40:00;9,08;9,08;9,05;9,06;99.693,00;11.000
TEND3;16/06/2023;15:35:00;9,08;9,09;9,07;9,07;238.739,00;26.300
TEND3;16/06/2023;15:30:00;9,08;9,09;9,07;9,09;83.549,00;9.200
TEND3;16/06/2023;15:25:00;9,08;9,09;9,07;9,09;108.059,00;11.900
TEND3;16/06/2023;15:20:00;9,08;9,09;9,07;9,08;41.765,00;4.600
TEND3;16/06/2023;15:15:00;9,08;9,09;9,07;9,08;46.297,00;5.100
TEND3;16/06/2023;15:10:00;9,09;9,09;9,07;9,09;79.921,00;8.800
TEND3;16/06/2023;15:05:00;9,06;9,09;9,06;9,08;154.331,00;17.000
TEND3;16/06/2023;15:00:00;9,11;9,12;9,04;9,07;110.786,00;12.200
TEND3;16/06/2023;14:55:00;9,10;9,14;9,10;9,12;197.009,00;21.600
TEND3;16/06/2023;14:50:00;9,11;9,14;9,09;9,11;219.682,00;24.100
TEND3;16/06/2023;14:45:00;9,12;9,13;9,11;9,12;366.594,00;40.200
TEND3;16/06/2023;14:40:00;9,06;9,12;9,06;9,12;874.082,00;96.100
TEND3;16/06/2023;14:35:00;9,04;9,07;9,04;9,05;101.417,00;11.200
TEND3;16/06/2023;14:30:00;9,03;9,06;9,03;9,05;87.710,00;9.700
TEND3;16/06/2023;14:25:00;9,02;9,03;9,02;9,03;55.050,00;6.100
TEND3;16/06/2023;14:20:00;9,04;9,04;9,02;9,03;27.096,00;3.000
TEND3;16/06/2023;14:15:00;9,05;9,07;9,04;9,04;115.863,00;12.800
TEND3;16/06/2023;14:10:00;9,04;9,05;9,03;9,05;58.752,00;6.500
TEND3;16/06/2023;14:05:00;9,05;9,06;9,03;9,04;65.074,00;7.200
TEND3;16/06/2023;14:00:00;9,08;9,08;9,05;9,05;82.480,00;9.100
TEND3;16/06/2023;13:55:00;9,04;9,08;9,04;9,08;217.458,00;24.000
TEND3;16/06/2023;13:50:00;9,01;9,05;9,00;9,05;170.514,00;18.900
TEND3;16/06/2023;13:45:00;9,00;9,00;8,99;9,00;93.570,00;10.400
TEND3;16/06/2023;13:40:00;9,01;9,01;8,98;9,01;108.877,00;12.100
TEND3;16/06/2023;13:35:00;9,00;9,01;8,97;9,01;154.656,00;17.200
TEND3;16/06/2023;13:30:00;9,00;9,01;8,99;9,00;106.120,00;11.800
TEND3;16/06/2023;13:25:00;9,02;9,02;8,99;8,99;116.989,00;13.000
TEND3;16/06/2023;13:20:00;9,04;9,04;9,02;9,02;67.708,00;7.500
TEND3;16/06/2023;13:15:00;9,03;9,04;9,01;9,04;47.846,00;5.300
TEND3;16/06/2023;13:10:00;9,04;9,04;9,03;9,03;59.620,00;6.600
TEND3;16/06/2023;13:05:00;9,02;9,05;9,02;9,04;106.550,00;11.800
TEND3;16/06/2023;13:00:00;9,01;9,02;9,00;9,00;115.286,00;12.800
TEND3;16/06/2023;12:55:00;9,05;9,05;9,00;9,01;394.157,00;43.700
TEND3;16/06/2023;12:50:00;9,05;9,05;9,02;9,05;80.437,00;8.900
TEND3;16/06/2023;12:45:00;9,05;9,05;9,04;9,05;51.563,00;5.700
TEND3;16/06/2023;12:40:00;9,04;9,05;9,02;9,05;65.968,00;7.300
TEND3;16/06/2023;12:35:00;9,05;9,06;9,03;9,03;106.704,00;11.800
TEND3;16/06/2023;12:30:00;9,05;9,06;9,04;9,06;60.661,00;6.700
TEND3;16/06/2023;12:25:00;9,04;9,06;9,03;9,06;88.667,00;9.800
TEND3;16/06/2023;12:20:00;9,05;9,05;9,03;9,03;84.052,00;9.300
TEND3;16/06/2023;12:15:00;9,04;9,06;9,03;9,05;203.498,00;22.500
TEND3;16/06/2023;12:10:00;9,04;9,04;9,03;9,04;88.545,00;9.800
TEND3;16/06/2023;12:05:00;9,02;9,04;9,02;9,04;161.557,00;17.900
TEND3;16/06/2023;12:00:00;8,99;9,02;8,98;9,02;99.848,00;11.100
TEND3;16/06/2023;11:55:00;9,02;9,02;9,00;9,00;175.570,00;19.500
TEND3;16/06/2023;11:50:00;9,02;9,02;9,00;9,02;65.805,00;7.300
TEND3;16/06/2023;11:45:00;9,03;9,03;9,01;9,02;86.594,00;9.600
TEND3;16/06/2023;11:40:00;9,00;9,03;9,00;9,03;147.762,00;16.400
TEND3;16/06/2023;11:35:00;8,97;9,02;8,97;9,00;173.465,00;19.300
TEND3;16/06/2023;11:30:00;8,97;9,03;8,95;8,97;1.064.729,00;118.500
TEND3;16/06/2023;11:25:00;8,94;9,01;8,92;8,97;711.278,00;79.300
TEND3;16/06/2023;11:20:00;8,95;8,95;8,92;8,94;116.184,00;13.000
TEND3;16/06/2023;11:15:00;8,96;8,97;8,93;8,95;166.397,00;18.600
TEND3;16/06/2023;11:10:00;8,96;8,97;8,93;8,96;157.486,00;17.600
TEND3;16/06/2023;11:05:00;8,98;9,00;8,94;8,95;379.540,00;42.300
TEND3;16/06/2023;11:00:00;8,97;9,02;8,96;8,98;365.330,00;40.600
TEND3;16/06/2023;10:55:00;8,96;8,98;8,94;8,97;164.842,00;18.400
TEND3;16/06/2023;10:50:00;8,95;8,99;8,94;8,94;162.227,00;18.100
TEND3;16/06/2023;10:45:00;8,92;8,95;8,90;8,94;357.036,00;40.000
TEND3;16/06/2023;10:40:00;8,93;8,95;8,90;8,92;290.761,00;32.600
TEND3;16/06/2023;10:35:00;9,02;9,02;8,91;8,93;572.191,00;63.900
TEND3;16/06/2023;10:30:00;9,04;9,04;8,99;9,02;459.471,00;51.000
TEND3;16/06/2023;10:25:00;9,05;9,07;9,04;9,05;262.758,00;29.000
