Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TFCO4;06/06/2023;11:20:00;11,41;11,41;11,40;11,40;4.562,00;400
TFCO4;06/06/2023;11:15:00;11,44;11,44;11,41;11,41;5.714,00;500
TFCO4;06/06/2023;11:10:00;11,50;11,50;11,46;11,46;3.443,00;300
TFCO4;06/06/2023;11:05:00;11,53;11,53;11,51;11,51;4.608,00;400
TFCO4;06/06/2023;11:00:00;11,54;11,54;11,54;11,54;1.154,00;100
TFCO4;06/06/2023;10:45:00;11,56;11,56;11,56;11,56;3.468,00;300
TFCO4;06/06/2023;10:35:00;11,53;11,53;11,53;11,53;1.153,00;100
TFCO4;06/06/2023;10:10:00;11,50;11,52;11,50;11,52;3.453,00;300
TFCO4;06/06/2023;10:05:00;11,47;11,47;11,45;11,45;3.437,00;300
TFCO4;06/06/2023;10:00:00;11,44;11,44;11,44;11,44;1.144,00;100
TFCO4;05/06/2023;17:30:00;11,41;11,44;11,40;11,40;5.706,00;500
TFCO4;05/06/2023;16:50:00;11,27;11,58;11,27;11,58;520.539,00;45.000
TFCO4;05/06/2023;16:45:00;11,30;11,32;11,27;11,27;25.973,00;2.300
TFCO4;05/06/2023;16:40:00;11,28;11,31;11,24;11,29;22.543,00;2.000
TFCO4;05/06/2023;16:35:00;11,27;11,32;11,26;11,29;20.326,00;1.800
TFCO4;05/06/2023;16:30:00;11,33;11,33;11,26;11,29;15.815,00;1.400
TFCO4;05/06/2023;16:25:00;11,26;11,32;11,26;11,30;19.198,00;1.700
TFCO4;05/06/2023;16:20:00;11,26;11,29;11,25;11,27;14.644,00;1.300
TFCO4;05/06/2023;16:15:00;11,24;11,24;11,16;11,23;36.978,00;3.300
TFCO4;05/06/2023;16:10:00;11,20;11,26;11,20;11,25;17.986,00;1.600
TFCO4;05/06/2023;16:05:00;11,29;11,30;11,21;11,21;10.140,00;900
TFCO4;05/06/2023;16:00:00;11,39;11,40;11,29;11,31;29.483,00;2.600
TFCO4;05/06/2023;15:50:00;11,40;11,40;11,40;11,40;1.140,00;100
TFCO4;05/06/2023;15:40:00;11,40;11,40;11,40;11,40;5.700,00;500
TFCO4;05/06/2023;15:35:00;11,42;11,42;11,40;11,40;5.706,00;500
TFCO4;05/06/2023;15:30:00;11,46;11,46;11,44;11,44;2.290,00;200
TFCO4;05/06/2023;15:25:00;11,46;11,46;11,46;11,46;2.292,00;200
TFCO4;05/06/2023;15:20:00;11,46;11,46;11,46;11,46;1.146,00;100
TFCO4;05/06/2023;15:15:00;11,51;11,51;11,41;11,44;71.276,00;6.200
TFCO4;05/06/2023;15:10:00;11,51;11,51;11,51;11,51;32.228,00;2.800
TFCO4;05/06/2023;15:05:00;11,52;11,52;11,52;11,52;8.064,00;700
TFCO4;05/06/2023;15:00:00;11,45;11,51;11,45;11,51;43.553,00;3.800
TFCO4;05/06/2023;14:55:00;11,45;11,45;11,45;11,45;12.595,00;1.100
TFCO4;05/06/2023;14:50:00;11,52;11,53;11,44;11,44;41.398,00;3.600
TFCO4;05/06/2023;14:40:00;11,49;11,51;11,49;11,51;14.941,00;1.300
TFCO4;05/06/2023;14:35:00;11,50;11,50;11,50;11,50;1.150,00;100
TFCO4;05/06/2023;14:30:00;11,52;11,52;11,52;11,52;5.760,00;500
TFCO4;05/06/2023;14:25:00;11,52;11,53;11,52;11,52;20.751,00;1.800
TFCO4;05/06/2023;14:15:00;11,53;11,53;11,50;11,51;4.606,00;400
TFCO4;05/06/2023;14:10:00;11,53;11,53;11,53;11,53;1.153,00;100
TFCO4;05/06/2023;14:05:00;11,53;11,53;11,49;11,52;13.811,00;1.200
TFCO4;05/06/2023;14:00:00;11,51;11,53;11,51;11,53;8.059,00;700
TFCO4;05/06/2023;13:55:00;11,50;11,50;11,50;11,50;4.600,00;400
TFCO4;05/06/2023;13:50:00;11,50;11,50;11,50;11,50;3.450,00;300
TFCO4;05/06/2023;13:45:00;11,50;11,50;11,50;11,50;2.300,00;200
TFCO4;05/06/2023;13:40:00;11,47;11,49;11,47;11,49;8.039,00;700
TFCO4;05/06/2023;13:35:00;11,44;11,46;11,44;11,46;3.434,00;300
TFCO4;05/06/2023;13:30:00;11,43;11,43;11,40;11,40;3.426,00;300
TFCO4;05/06/2023;13:25:00;11,35;11,51;11,35;11,41;129.300,00;11.300
TFCO4;05/06/2023;13:15:00;11,35;11,37;11,35;11,37;9.089,00;800
TFCO4;05/06/2023;13:10:00;11,29;11,33;11,29;11,33;13.572,00;1.200
TFCO4;05/06/2023;13:00:00;11,28;11,28;11,28;11,28;1.128,00;100
TFCO4;05/06/2023;12:35:00;11,25;11,25;11,25;11,25;2.250,00;200
TFCO4;05/06/2023;12:30:00;11,25;11,26;11,25;11,25;19.127,00;1.700
TFCO4;05/06/2023;12:15:00;11,25;11,25;11,25;11,25;1.125,00;100
TFCO4;05/06/2023;12:10:00;11,23;11,23;11,23;11,23;1.123,00;100
TFCO4;05/06/2023;11:55:00;11,21;11,21;11,21;11,21;2.242,00;200
TFCO4;05/06/2023;11:50:00;11,19;11,20;11,19;11,20;4.477,00;400
TFCO4;05/06/2023;11:45:00;11,14;11,17;11,14;11,17;13.382,00;1.200
TFCO4;05/06/2023;11:30:00;11,11;11,14;11,11;11,14;8.906,00;800
TFCO4;05/06/2023;11:25:00;11,16;11,16;11,16;11,16;22.320,00;2.000
TFCO4;05/06/2023;11:20:00;11,13;11,13;11,13;11,13;1.113,00;100
TFCO4;05/06/2023;11:15:00;11,14;11,14;11,14;11,14;3.342,00;300
TFCO4;05/06/2023;11:10:00;11,16;11,19;11,15;11,19;13.385,00;1.200
TFCO4;05/06/2023;10:50:00;11,20;11,20;11,17;11,17;5.594,00;500
TFCO4;05/06/2023;10:40:00;11,23;11,23;11,23;11,23;1.123,00;100
TFCO4;05/06/2023;10:35:00;11,23;11,26;11,23;11,26;2.249,00;200
TFCO4;05/06/2023;10:15:00;11,21;11,21;11,20;11,20;2.241,00;200
TFCO4;05/06/2023;10:10:00;11,25;11,25;11,25;11,25;1.125,00;100
TFCO4;05/06/2023;10:05:00;11,23;11,23;11,23;11,23;1.123,00;100
TFCO4;05/06/2023;10:00:00;11,28;11,28;11,25;11,26;4.505,00;400
TFCO4;02/06/2023;16:50:00;10,93;11,32;10,92;11,30;1.089.484,00;96.700
TFCO4;02/06/2023;16:45:00;10,94;10,95;10,93;10,93;8.751,00;800
TFCO4;02/06/2023;16:40:00;10,97;10,99;10,95;10,95;12.059,00;1.100
TFCO4;02/06/2023;16:35:00;10,95;10,98;10,94;10,96;21.902,00;2.000
TFCO4;02/06/2023;16:30:00;10,93;10,93;10,90;10,93;16.379,00;1.500
TFCO4;02/06/2023;16:25:00;10,90;10,93;10,90;10,92;16.374,00;1.500
TFCO4;02/06/2023;16:20:00;10,89;10,92;10,88;10,90;11.984,00;1.100
TFCO4;02/06/2023;16:15:00;10,89;10,89;10,87;10,89;10.884,00;1.000
TFCO4;02/06/2023;16:10:00;10,89;10,91;10,87;10,88;11.984,00;1.100
TFCO4;02/06/2023;16:05:00;10,92;10,92;10,87;10,89;13.079,00;1.200
TFCO4;02/06/2023;16:00:00;10,93;10,95;10,91;10,93;12.016,00;1.100
TFCO4;02/06/2023;15:55:00;10,85;10,95;10,85;10,93;20.731,00;1.900
TFCO4;02/06/2023;15:50:00;10,85;10,88;10,85;10,86;15.196,00;1.400
TFCO4;02/06/2023;15:45:00;10,85;10,87;10,85;10,87;10.856,00;1.000
TFCO4;02/06/2023;15:40:00;10,88;10,89;10,85;10,86;29.338,00;2.700
TFCO4;02/06/2023;15:35:00;10,89;10,90;10,87;10,87;10.888,00;1.000
TFCO4;02/06/2023;15:30:00;10,90;10,90;10,89;10,89;13.071,00;1.200
TFCO4;02/06/2023;15:25:00;10,91;10,91;10,87;10,90;13.067,00;1.200
TFCO4;02/06/2023;15:20:00;10,87;10,93;10,87;10,89;17.436,00;1.600
TFCO4;02/06/2023;15:15:00;10,86;10,91;10,86;10,87;17.423,00;1.600
TFCO4;02/06/2023;15:10:00;10,90;10,90;10,85;10,86;8.700,00;800
TFCO4;02/06/2023;15:05:00;11,05;11,05;10,90;10,90;34.062,00;3.100
TFCO4;02/06/2023;15:00:00;11,09;11,09;11,05;11,05;3.322,00;300
TFCO4;02/06/2023;14:55:00;11,05;11,10;11,05;11,10;6.649,00;600
TFCO4;02/06/2023;14:50:00;11,09;11,10;11,06;11,06;3.325,00;300
TFCO4;02/06/2023;14:45:00;11,08;11,08;11,06;11,06;3.321,00;300
TFCO4;02/06/2023;14:40:00;11,11;11,11;11,11;11,11;1.111,00;100
TFCO4;02/06/2023;14:35:00;11,09;11,11;11,08;11,08;5.549,00;500
TFCO4;02/06/2023;14:30:00;11,08;11,09;11,08;11,09;6.649,00;600
TFCO4;02/06/2023;14:25:00;11,13;11,13;11,08;11,08;3.334,00;300
TFCO4;02/06/2023;14:20:00;11,08;11,11;11,08;11,11;3.330,00;300
TFCO4;02/06/2023;14:15:00;11,08;11,11;11,08;11,11;2.219,00;200
TFCO4;02/06/2023;14:10:00;11,12;11,12;11,11;11,11;2.223,00;200
TFCO4;02/06/2023;14:05:00;11,10;11,15;11,10;11,15;24.473,00;2.200
TFCO4;02/06/2023;14:00:00;11,10;11,10;11,09;11,09;2.219,00;200
