Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TGMA3;16/06/2023;16:45:00;22,16;22,40;22,16;22,40;503.650,00;22.500
TGMA3;16/06/2023;16:40:00;22,12;22,25;22,12;22,20;53.176,00;2.400
TGMA3;16/06/2023;16:35:00;22,18;22,18;22,14;22,14;26.609,00;1.200
TGMA3;16/06/2023;16:30:00;22,06;22,19;22,06;22,15;59.713,00;2.700
TGMA3;16/06/2023;16:25:00;22,09;22,09;22,08;22,08;4.417,00;200
TGMA3;16/06/2023;16:20:00;22,12;22,12;22,08;22,08;8.838,00;400
TGMA3;16/06/2023;16:10:00;22,14;22,14;22,11;22,11;24.351,00;1.100
TGMA3;16/06/2023;16:05:00;22,18;22,18;22,18;22,18;2.218,00;100
TGMA3;16/06/2023;16:00:00;22,14;22,14;22,14;22,14;2.214,00;100
TGMA3;16/06/2023;15:55:00;22,15;22,16;22,15;22,16;6.646,00;300
TGMA3;16/06/2023;15:50:00;22,18;22,18;22,14;22,15;11.079,00;500
TGMA3;16/06/2023;15:45:00;22,15;22,15;22,15;22,15;4.430,00;200
TGMA3;16/06/2023;15:40:00;22,15;22,19;22,15;22,15;6.649,00;300
TGMA3;16/06/2023;15:35:00;22,22;22,22;22,20;22,20;4.442,00;200
TGMA3;16/06/2023;15:30:00;22,22;22,22;22,22;22,22;4.444,00;200
TGMA3;16/06/2023;15:25:00;22,21;22,21;22,19;22,19;6.661,00;300
TGMA3;16/06/2023;15:20:00;22,21;22,21;22,21;22,21;2.221,00;100
TGMA3;16/06/2023;15:15:00;22,23;22,23;22,19;22,19;6.664,00;300
TGMA3;16/06/2023;15:10:00;22,22;22,22;22,22;22,22;2.222,00;100
TGMA3;16/06/2023;15:00:00;22,22;22,22;22,19;22,22;8.885,00;400
TGMA3;16/06/2023;14:55:00;22,19;22,24;22,19;22,24;4.443,00;200
TGMA3;16/06/2023;14:50:00;22,24;22,24;22,22;22,22;4.446,00;200
TGMA3;16/06/2023;14:45:00;22,21;22,30;22,21;22,23;71.239,00;3.200
TGMA3;16/06/2023;14:40:00;22,23;22,23;22,23;22,23;2.223,00;100
TGMA3;16/06/2023;14:30:00;22,21;22,24;22,21;22,21;17.780,00;800
TGMA3;16/06/2023;14:25:00;22,18;22,21;22,18;22,20;11.097,00;500
TGMA3;16/06/2023;14:20:00;22,20;22,20;22,20;22,20;4.440,00;200
TGMA3;16/06/2023;14:15:00;22,17;22,20;22,14;22,20;101.910,00;4.600
TGMA3;16/06/2023;14:10:00;22,17;22,17;22,17;22,17;2.217,00;100
TGMA3;16/06/2023;14:00:00;22,15;22,20;22,15;22,16;13.298,00;600
TGMA3;16/06/2023;13:55:00;22,10;22,10;22,10;22,10;2.210,00;100
TGMA3;16/06/2023;13:50:00;22,06;22,06;22,06;22,06;4.412,00;200
TGMA3;16/06/2023;13:45:00;22,10;22,11;22,06;22,06;24.282,00;1.100
TGMA3;16/06/2023;13:35:00;22,07;22,10;22,07;22,10;4.417,00;200
TGMA3;16/06/2023;13:30:00;22,14;22,14;22,06;22,09;33.133,00;1.500
TGMA3;16/06/2023;13:25:00;22,13;22,13;22,10;22,10;8.847,00;400
TGMA3;16/06/2023;13:20:00;22,18;22,18;22,15;22,15;6.648,00;300
TGMA3;16/06/2023;13:15:00;22,16;22,16;22,12;22,13;6.641,00;300
TGMA3;16/06/2023;13:05:00;22,15;22,17;22,15;22,17;11.077,00;500
TGMA3;16/06/2023;13:00:00;22,18;22,18;22,14;22,14;4.432,00;200
TGMA3;16/06/2023;12:50:00;22,20;22,23;22,18;22,23;13.321,00;600
TGMA3;16/06/2023;12:45:00;22,26;22,26;22,26;22,26;2.226,00;100
TGMA3;16/06/2023;12:40:00;22,21;22,21;22,21;22,21;2.221,00;100
TGMA3;16/06/2023;12:35:00;22,24;22,26;22,23;22,23;6.673,00;300
TGMA3;16/06/2023;12:30:00;22,26;22,28;22,24;22,28;13.359,00;600
TGMA3;16/06/2023;12:20:00;22,27;22,27;22,27;22,27;2.227,00;100
TGMA3;16/06/2023;12:15:00;22,23;22,26;22,23;22,26;4.449,00;200
TGMA3;16/06/2023;12:10:00;22,28;22,28;22,28;22,28;2.228,00;100
TGMA3;16/06/2023;12:05:00;22,23;22,29;22,23;22,29;4.452,00;200
TGMA3;16/06/2023;12:00:00;22,24;22,27;22,24;22,27;4.451,00;200
TGMA3;16/06/2023;11:55:00;22,26;22,26;22,26;22,26;2.226,00;100
TGMA3;16/06/2023;11:50:00;22,26;22,26;22,26;22,26;2.226,00;100
TGMA3;16/06/2023;11:45:00;22,20;22,20;22,20;22,20;2.220,00;100
TGMA3;16/06/2023;11:40:00;22,20;22,26;22,20;22,26;4.446,00;200
TGMA3;16/06/2023;11:35:00;22,30;22,32;22,21;22,21;55.698,00;2.500
TGMA3;16/06/2023;11:30:00;22,22;22,25;22,22;22,25;17.792,00;800
TGMA3;16/06/2023;11:25:00;22,24;22,24;22,24;22,24;2.224,00;100
TGMA3;16/06/2023;11:20:00;22,23;22,23;22,23;22,23;2.223,00;100
TGMA3;16/06/2023;11:10:00;22,19;22,23;22,19;22,23;4.442,00;200
TGMA3;16/06/2023;11:05:00;22,19;22,19;22,19;22,19;4.438,00;200
TGMA3;16/06/2023;11:00:00;22,12;22,14;22,12;22,14;35.422,00;1.600
TGMA3;16/06/2023;10:55:00;22,14;22,14;22,14;22,14;2.214,00;100
TGMA3;16/06/2023;10:50:00;22,10;22,10;22,06;22,06;8.828,00;400
TGMA3;16/06/2023;10:45:00;22,09;22,09;22,08;22,08;4.417,00;200
TGMA3;16/06/2023;10:40:00;22,18;22,18;22,15;22,15;13.297,00;600
TGMA3;16/06/2023;10:30:00;22,09;22,09;22,09;22,09;8.836,00;400
TGMA3;16/06/2023;10:20:00;22,03;22,07;22,03;22,06;6.616,00;300
TGMA3;16/06/2023;10:15:00;21,90;21,95;21,90;21,95;21.939,00;1.000
TGMA3;16/06/2023;10:10:00;21,90;21,90;21,90;21,90;6.570,00;300
TGMA3;16/06/2023;10:05:00;22,06;22,06;22,06;22,06;2.206,00;100
TGMA3;15/06/2023;16:50:00;22,19;22,26;22,16;22,16;186.273,00;8.400
TGMA3;15/06/2023;16:45:00;22,14;22,22;22,14;22,21;128.671,00;5.800
