Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TIMS3;16/06/2023;17:30:00;14,77;14,88;14,77;14,84;115.387,00;7.800
TIMS3;16/06/2023;16:45:00;14,90;14,91;14,89;14,90;54.393.974,00;3.650.600
TIMS3;16/06/2023;16:40:00;14,90;14,92;14,89;14,90;1.280.256,00;85.900
TIMS3;16/06/2023;16:35:00;14,89;14,91;14,89;14,90;823.936,00;55.300
TIMS3;16/06/2023;16:30:00;14,90;14,91;14,89;14,89;2.041.083,00;137.000
TIMS3;16/06/2023;16:25:00;14,90;14,91;14,89;14,90;941.543,00;63.200
TIMS3;16/06/2023;16:20:00;14,90;14,91;14,89;14,90;257.782,00;17.300
TIMS3;16/06/2023;16:15:00;14,90;14,91;14,89;14,90;512.573,00;34.400
TIMS3;16/06/2023;16:10:00;14,88;14,91;14,88;14,90;598.851,00;40.200
TIMS3;16/06/2023;16:05:00;14,92;14,93;14,88;14,88;947.574,00;63.600
TIMS3;16/06/2023;16:00:00;14,95;14,95;14,92;14,92;743.798,00;49.800
TIMS3;16/06/2023;15:55:00;14,93;14,95;14,93;14,95;860.472,00;57.600
TIMS3;16/06/2023;15:50:00;14,92;14,94;14,91;14,93;795.633,00;53.300
TIMS3;16/06/2023;15:45:00;14,93;14,94;14,92;14,92;773.305,00;51.800
TIMS3;16/06/2023;15:40:00;14,93;14,94;14,92;14,92;768.820,00;51.500
TIMS3;16/06/2023;15:35:00;14,92;14,93;14,92;14,93;995.497,00;66.700
TIMS3;16/06/2023;15:30:00;14,89;14,93;14,89;14,91;1.381.427,00;92.700
TIMS3;16/06/2023;15:25:00;14,88;14,90;14,88;14,90;1.319.579,00;88.600
TIMS3;16/06/2023;15:20:00;14,87;14,89;14,87;14,88;681.409,00;45.800
TIMS3;16/06/2023;15:15:00;14,88;14,89;14,87;14,88;1.226.203,00;82.400
TIMS3;16/06/2023;15:10:00;14,87;14,89;14,87;14,88;797.711,00;53.600
TIMS3;16/06/2023;15:05:00;14,85;14,88;14,85;14,88;845.867,00;56.900
TIMS3;16/06/2023;15:00:00;14,83;14,86;14,83;14,85;1.385.074,00;93.300
TIMS3;16/06/2023;14:55:00;14,81;14,83;14,81;14,83;426.846,00;28.800
TIMS3;16/06/2023;14:50:00;14,82;14,83;14,81;14,82;262.293,00;17.700
TIMS3;16/06/2023;14:45:00;14,81;14,82;14,80;14,82;414.752,00;28.000
TIMS3;16/06/2023;14:40:00;14,82;14,82;14,80;14,82;364.364,00;24.600
TIMS3;16/06/2023;14:35:00;14,82;14,83;14,81;14,82;477.193,00;32.200
TIMS3;16/06/2023;14:30:00;14,81;14,82;14,80;14,82;241.429,00;16.300
TIMS3;16/06/2023;14:25:00;14,81;14,82;14,81;14,82;502.200,00;33.900
TIMS3;16/06/2023;14:20:00;14,80;14,81;14,79;14,81;344.817,00;23.300
TIMS3;16/06/2023;14:15:00;14,80;14,80;14,79;14,80;165.749,00;11.200
TIMS3;16/06/2023;14:10:00;14,79;14,81;14,79;14,80;146.532,00;9.900
TIMS3;16/06/2023;14:05:00;14,79;14,81;14,79;14,80;287.026,00;19.400
TIMS3;16/06/2023;14:00:00;14,82;14,83;14,80;14,80;457.769,00;30.900
TIMS3;16/06/2023;13:55:00;14,81;14,82;14,80;14,82;659.120,00;44.500
TIMS3;16/06/2023;13:50:00;14,79;14,82;14,79;14,81;620.185,00;41.900
TIMS3;16/06/2023;13:45:00;14,80;14,81;14,79;14,80;136.180,00;9.200
TIMS3;16/06/2023;13:40:00;14,80;14,81;14,78;14,80;307.738,00;20.800
TIMS3;16/06/2023;13:35:00;14,81;14,81;14,79;14,80;384.915,00;26.000
TIMS3;16/06/2023;13:30:00;14,78;14,81;14,77;14,81;590.093,00;39.900
TIMS3;16/06/2023;13:25:00;14,81;14,81;14,78;14,78;291.561,00;19.700
TIMS3;16/06/2023;13:20:00;14,80;14,81;14,79;14,81;367.008,00;24.800
TIMS3;16/06/2023;13:15:00;14,78;14,80;14,78;14,79;143.456,00;9.700
TIMS3;16/06/2023;13:10:00;14,81;14,81;14,78;14,78;1.089.088,00;73.600
TIMS3;16/06/2023;13:05:00;14,83;14,84;14,81;14,82;252.013,00;17.000
TIMS3;16/06/2023;13:00:00;14,81;14,83;14,81;14,83;299.374,00;20.200
TIMS3;16/06/2023;12:55:00;14,82;14,82;14,80;14,82;436.911,00;29.500
TIMS3;16/06/2023;12:50:00;14,83;14,84;14,80;14,82;438.670,00;29.600
TIMS3;16/06/2023;12:45:00;14,82;14,83;14,82;14,83;229.841,00;15.500
TIMS3;16/06/2023;12:40:00;14,83;14,84;14,82;14,82;91.948,00;6.200
TIMS3;16/06/2023;12:35:00;14,86;14,87;14,83;14,83;330.956,00;22.300
TIMS3;16/06/2023;12:30:00;14,85;14,87;14,84;14,86;328.287,00;22.100
TIMS3;16/06/2023;12:25:00;14,85;14,86;14,85;14,85;112.874,00;7.600
TIMS3;16/06/2023;12:20:00;14,87;14,89;14,86;14,86;229.046,00;15.400
TIMS3;16/06/2023;12:15:00;14,86;14,87;14,85;14,87;163.436,00;11.000
TIMS3;16/06/2023;12:10:00;14,84;14,86;14,84;14,86;152.896,00;10.300
TIMS3;16/06/2023;12:05:00;14,87;14,87;14,84;14,84;222.721,00;15.000
TIMS3;16/06/2023;12:00:00;14,88;14,88;14,86;14,87;104.125,00;7.000
TIMS3;16/06/2023;11:55:00;14,86;14,88;14,85;14,88;393.881,00;26.500
TIMS3;16/06/2023;11:50:00;14,86;14,86;14,84;14,85;846.252,00;57.000
TIMS3;16/06/2023;11:45:00;14,85;14,87;14,84;14,86;349.171,00;23.500
TIMS3;16/06/2023;11:40:00;14,87;14,89;14,83;14,84;582.939,00;39.200
TIMS3;16/06/2023;11:35:00;14,86;14,88;14,86;14,88;251.298,00;16.900
TIMS3;16/06/2023;11:30:00;14,89;14,90;14,86;14,87;638.217,00;42.900
TIMS3;16/06/2023;11:25:00;14,89;14,90;14,87;14,89;467.391,00;31.400
TIMS3;16/06/2023;11:20:00;14,93;14,93;14,88;14,89;423.111,00;28.400
TIMS3;16/06/2023;11:15:00;14,94;14,96;14,92;14,93;670.514,00;44.900
TIMS3;16/06/2023;11:10:00;14,95;14,95;14,89;14,94;2.909.026,00;195.100
TIMS3;16/06/2023;11:05:00;14,96;14,99;14,95;14,96;324.987,00;21.700
TIMS3;16/06/2023;11:00:00;15,01;15,03;14,96;14,96;1.052.333,00;70.200
TIMS3;16/06/2023;10:55:00;15,04;15,04;14,94;15,01;2.986.786,00;199.400
TIMS3;16/06/2023;10:50:00;15,03;15,05;15,02;15,03;429.831,00;28.600
TIMS3;16/06/2023;10:45:00;15,05;15,06;15,03;15,03;320.576,00;21.300
TIMS3;16/06/2023;10:40:00;15,05;15,06;15,02;15,04;299.222,00;19.900
TIMS3;16/06/2023;10:35:00;15,07;15,08;15,02;15,05;535.161,00;35.600
TIMS3;16/06/2023;10:30:00;15,03;15,07;14,93;15,07;2.474.478,00;165.000
TIMS3;16/06/2023;10:25:00;15,09;15,13;15,00;15,03;1.525.511,00;101.200
TIMS3;16/06/2023;10:20:00;15,06;15,11;15,06;15,10;353.123,00;23.400
TIMS3;16/06/2023;10:15:00;15,16;15,16;15,07;15,07;532.776,00;35.300
TIMS3;16/06/2023;10:10:00;15,18;15,22;15,12;15,15;1.072.216,00;70.700
TIMS3;16/06/2023;10:05:00;15,07;15,25;15,05;15,21;2.413.321,00;159.100
TIMS3;15/06/2023;17:30:00;15,12;15,12;15,07;15,08;18.126,00;1.200
TIMS3;15/06/2023;16:50:00;15,00;15,12;15,00;15,12;15.016.186,00;994.000
TIMS3;15/06/2023;16:45:00;15,01;15,02;15,00;15,00;2.016.916,00;134.400
TIMS3;15/06/2023;16:40:00;15,02;15,03;15,00;15,01;4.808.532,00;320.200
TIMS3;15/06/2023;16:35:00;15,00;15,02;14,97;15,02;6.026.525,00;401.900
TIMS3;15/06/2023;16:30:00;15,01;15,05;14,99;14,99;4.802.972,00;319.900
TIMS3;15/06/2023;16:25:00;15,01;15,02;14,98;15,02;6.803.105,00;453.500
TIMS3;15/06/2023;16:20:00;14,99;15,01;14,99;15,01;980.956,00;65.400
TIMS3;15/06/2023;16:15:00;15,02;15,02;15,00;15,00;1.199.027,00;79.900
TIMS3;15/06/2023;16:10:00;15,00;15,03;15,00;15,01;943.255,00;62.800
TIMS3;15/06/2023;16:05:00;15,01;15,03;15,00;15,01;5.387.647,00;359.100
TIMS3;15/06/2023;16:00:00;15,04;15,04;15,01;15,02;716.713,00;47.700
TIMS3;15/06/2023;15:55:00;15,05;15,05;15,03;15,03;681.529,00;45.300
TIMS3;15/06/2023;15:50:00;15,02;15,05;15,02;15,05;714.028,00;47.500
TIMS3;15/06/2023;15:45:00;15,04;15,06;15,02;15,03;834.609,00;55.500
TIMS3;15/06/2023;15:40:00;15,06;15,07;15,03;15,04;723.791,00;48.100
TIMS3;15/06/2023;15:35:00;15,07;15,08;15,05;15,06;831.504,00;55.200
TIMS3;15/06/2023;15:30:00;15,07;15,09;15,05;15,08;1.528.042,00;101.400
TIMS3;15/06/2023;15:25:00;15,07;15,09;15,07;15,08;868.751,00;57.600
TIMS3;15/06/2023;15:20:00;15,08;15,10;15,08;15,08;639.623,00;42.400
TIMS3;15/06/2023;15:15:00;15,07;15,08;15,07;15,08;1.013.245,00;67.200
TIMS3;15/06/2023;15:10:00;15,06;15,08;15,06;15,07;1.296.040,00;86.000
TIMS3;15/06/2023;15:05:00;15,06;15,07;15,05;15,07;361.520,00;24.000
TIMS3;15/06/2023;15:00:00;15,09;15,10;15,05;15,06;970.798,00;64.400
TIMS3;15/06/2023;14:55:00;15,10;15,10;15,08;15,09;516.176,00;34.200
TIMS3;15/06/2023;14:50:00;15,08;15,10;15,08;15,09;840.726,00;55.700
TIMS3;15/06/2023;14:45:00;15,07;15,10;15,06;15,09;1.022.021,00;67.800
TIMS3;15/06/2023;14:40:00;15,05;15,07;15,04;15,07;609.927,00;40.500
TIMS3;15/06/2023;14:35:00;15,04;15,05;15,02;15,04;1.132.947,00;75.400
TIMS3;15/06/2023;14:30:00;15,06;15,07;15,04;15,05;590.208,00;39.200
TIMS3;15/06/2023;14:25:00;15,05;15,07;15,04;15,05;2.404.818,00;159.700
TIMS3;15/06/2023;14:20:00;15,05;15,06;15,05;15,06;192.739,00;12.800
TIMS3;15/06/2023;14:15:00;15,06;15,07;15,05;15,06;254.508,00;16.900
TIMS3;15/06/2023;14:10:00;15,05;15,06;15,02;15,05;1.059.167,00;70.400
TIMS3;15/06/2023;14:05:00;15,03;15,05;15,03;15,05;171.422,00;11.400
TIMS3;15/06/2023;14:00:00;15,06;15,06;15,02;15,03;604.463,00;40.200
TIMS3;15/06/2023;13:55:00;15,06;15,07;15,05;15,07;165.716,00;11.000
TIMS3;15/06/2023;13:50:00;15,05;15,07;15,05;15,05;335.826,00;22.300
TIMS3;15/06/2023;13:45:00;15,06;15,07;15,05;15,05;290.694,00;19.300
TIMS3;15/06/2023;13:40:00;15,06;15,07;15,05;15,07;364.514,00;24.200
TIMS3;15/06/2023;13:35:00;15,06;15,07;15,05;15,06;384.085,00;25.500
TIMS3;15/06/2023;13:30:00;15,05;15,07;15,05;15,07;371.993,00;24.700
TIMS3;15/06/2023;13:25:00;15,06;15,07;15,04;15,05;249.991,00;16.600
TIMS3;15/06/2023;13:20:00;15,07;15,07;15,05;15,06;421.884,00;28.000
TIMS3;15/06/2023;13:15:00;15,06;15,07;15,05;15,07;308.831,00;20.500
TIMS3;15/06/2023;13:10:00;15,04;15,06;15,04;15,06;290.545,00;19.300
