Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TOTS3;16/06/2023;17:30:00;29,79;29,79;29,69;29,69;163.733,00;5.500
TOTS3;16/06/2023;16:45:00;30,00;30,01;29,88;29,88;85.127.892,00;2.848.800
TOTS3;16/06/2023;16:40:00;30,00;30,01;29,97;30,01;2.126.524,00;70.900
TOTS3;16/06/2023;16:35:00;30,06;30,07;29,99;30,00;2.294.369,00;76.400
TOTS3;16/06/2023;16:30:00;30,00;30,07;29,97;30,06;3.316.919,00;110.500
TOTS3;16/06/2023;16:25:00;30,00;30,01;29,99;30,01;2.604.350,00;86.800
TOTS3;16/06/2023;16:20:00;29,99;30,01;29,98;29,99;1.328.816,00;44.300
TOTS3;16/06/2023;16:15:00;29,98;30,01;29,94;30,00;2.191.091,00;73.100
TOTS3;16/06/2023;16:10:00;29,95;30,00;29,95;29,98;1.364.095,00;45.500
TOTS3;16/06/2023;16:05:00;29,95;29,97;29,93;29,96;1.889.816,00;63.100
TOTS3;16/06/2023;16:00:00;29,96;29,98;29,94;29,95;1.920.407,00;64.100
TOTS3;16/06/2023;15:55:00;30,00;30,01;29,96;29,98;1.933.641,00;64.500
TOTS3;16/06/2023;15:50:00;29,99;30,01;29,98;30,00;1.268.927,00;42.300
TOTS3;16/06/2023;15:45:00;30,00;30,01;29,99;30,00;1.121.943,00;37.400
TOTS3;16/06/2023;15:40:00;30,00;30,03;29,98;30,00;1.335.066,00;44.500
TOTS3;16/06/2023;15:35:00;30,01;30,02;29,98;30,01;1.134.075,00;37.800
TOTS3;16/06/2023;15:30:00;30,02;30,04;29,98;30,02;1.182.347,00;39.400
TOTS3;16/06/2023;15:25:00;30,00;30,03;29,97;30,01;1.338.182,00;44.600
TOTS3;16/06/2023;15:20:00;30,02;30,03;29,98;30,01;903.220,00;30.100
TOTS3;16/06/2023;15:15:00;30,04;30,05;30,00;30,03;729.626,00;24.300
TOTS3;16/06/2023;15:10:00;30,04;30,06;30,02;30,05;883.192,00;29.400
TOTS3;16/06/2023;15:05:00;30,00;30,04;29,98;30,03;936.042,00;31.200
TOTS3;16/06/2023;15:00:00;30,02;30,03;29,99;29,99;780.172,00;26.000
TOTS3;16/06/2023;14:55:00;30,02;30,04;30,01;30,03;795.543,00;26.500
TOTS3;16/06/2023;14:50:00;30,01;30,04;29,99;30,01;942.578,00;31.400
TOTS3;16/06/2023;14:45:00;30,02;30,05;30,00;30,01;1.354.149,00;45.100
TOTS3;16/06/2023;14:40:00;30,06;30,08;30,02;30,02;937.685,00;31.200
