Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TPIS3;06/06/2023;11:10:00;3,36;3,36;3,36;3,36;672,00;200
TPIS3;06/06/2023;11:05:00;3,36;3,36;3,34;3,34;5.362,00;1.600
TPIS3;06/06/2023;11:00:00;3,34;3,35;3,34;3,35;5.693,00;1.700
TPIS3;06/06/2023;10:50:00;3,34;3,34;3,31;3,31;3.656,00;1.100
TPIS3;06/06/2023;10:40:00;3,37;3,37;3,33;3,34;16.353,00;4.900
TPIS3;06/06/2023;10:35:00;3,36;3,36;3,34;3,35;4.683,00;1.400
TPIS3;06/06/2023;10:30:00;3,36;3,37;3,35;3,37;19.490,00;5.800
TPIS3;06/06/2023;10:25:00;3,33;3,36;3,33;3,35;27.120,00;8.100
TPIS3;06/06/2023;10:20:00;3,33;3,34;3,31;3,33;4.310,00;1.300
TPIS3;06/06/2023;10:15:00;3,33;3,34;3,30;3,30;8.939,00;2.700
TPIS3;06/06/2023;10:10:00;3,34;3,34;3,30;3,30;3.649,00;1.100
TPIS3;06/06/2023;10:05:00;3,30;3,35;3,30;3,35;33.589,00;10.100
TPIS3;05/06/2023;16:50:00;3,30;3,30;3,30;3,30;11.880,00;3.600
TPIS3;05/06/2023;16:40:00;3,30;3,30;3,30;3,30;2.970,00;900
TPIS3;05/06/2023;16:25:00;3,29;3,30;3,28;3,30;3.613,00;1.100
TPIS3;05/06/2023;16:15:00;3,29;3,31;3,28;3,31;11.519,00;3.500
TPIS3;05/06/2023;16:10:00;3,30;3,30;3,30;3,30;1.980,00;600
TPIS3;05/06/2023;16:00:00;3,30;3,30;3,30;3,30;990,00;300
TPIS3;05/06/2023;15:45:00;3,30;3,32;3,29;3,32;8.898,00;2.700
TPIS3;05/06/2023;15:40:00;3,31;3,31;3,31;3,31;1.324,00;400
TPIS3;05/06/2023;15:35:00;3,31;3,31;3,31;3,31;1.986,00;600
