Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TRAD3;16/06/2023;17:30:00;1,86;1,87;1,85;1,86;156.835,00;84.400
TRAD3;16/06/2023;16:30:00;1,80;1,90;1,80;1,87;4.122.565,00;2.217.300
TRAD3;16/06/2023;16:20:00;1,77;1,78;1,76;1,78;63.296,00;35.700
TRAD3;16/06/2023;16:15:00;1,73;1,78;1,72;1,76;521.783,00;295.800
TRAD3;16/06/2023;16:10:00;1,73;1,74;1,72;1,73;162.001,00;93.700
TRAD3;16/06/2023;16:05:00;1,73;1,74;1,72;1,74;87.856,00;50.900
TRAD3;16/06/2023;16:00:00;1,73;1,74;1,72;1,73;130.567,00;75.500
TRAD3;16/06/2023;15:55:00;1,73;1,74;1,72;1,73;264.833,00;153.500
TRAD3;16/06/2023;15:50:00;1,73;1,74;1,72;1,73;70.502,00;40.800
TRAD3;16/06/2023;15:45:00;1,73;1,74;1,73;1,73;168.173,00;97.200
TRAD3;16/06/2023;15:40:00;1,76;1,76;1,73;1,73;107.411,00;61.600
TRAD3;16/06/2023;15:35:00;1,73;1,77;1,73;1,75;456.121,00;260.500
TRAD3;16/06/2023;15:30:00;1,77;1,77;1,71;1,74;389.629,00;223.200
TRAD3;16/06/2023;15:25:00;1,74;1,78;1,71;1,77;988.034,00;564.200
TRAD3;16/06/2023;15:20:00;1,62;1,75;1,62;1,74;1.466.494,00;867.500
TRAD3;16/06/2023;15:15:00;1,59;1,61;1,58;1,61;23.527,00;14.700
TRAD3;16/06/2023;15:10:00;1,57;1,63;1,56;1,59;270.940,00;169.700
TRAD3;16/06/2023;15:05:00;1,58;1,58;1,56;1,56;74.515,00;47.600
TRAD3;16/06/2023;15:00:00;1,59;1,59;1,58;1,58;44.895,00;28.400
TRAD3;16/06/2023;14:55:00;1,60;1,60;1,58;1,59;22.058,00;13.800
TRAD3;16/06/2023;14:50:00;1,59;1,60;1,58;1,60;18.939,00;11.900
TRAD3;16/06/2023;14:45:00;1,60;1,60;1,59;1,60;12.740,00;8.000
TRAD3;16/06/2023;14:40:00;1,58;1,61;1,58;1,60;84.172,00;52.700
TRAD3;16/06/2023;14:35:00;1,59;1,59;1,58;1,58;133.748,00;84.500
TRAD3;16/06/2023;14:30:00;1,58;1,59;1,57;1,58;79.850,00;50.600
TRAD3;16/06/2023;14:25:00;1,62;1,62;1,57;1,57;453.447,00;284.000
TRAD3;16/06/2023;14:20:00;1,62;1,63;1,62;1,62;10.054,00;6.200
TRAD3;16/06/2023;14:15:00;1,62;1,63;1,62;1,63;28.657,00;17.600
TRAD3;16/06/2023;14:10:00;1,62;1,63;1,62;1,62;18.009,00;11.100
TRAD3;16/06/2023;14:05:00;1,62;1,62;1,61;1,62;209.417,00;129.500
TRAD3;16/06/2023;14:00:00;1,62;1,63;1,62;1,62;12.351,00;7.600
TRAD3;16/06/2023;13:55:00;1,62;1,63;1,62;1,63;21.415,00;13.200
TRAD3;16/06/2023;13:50:00;1,64;1,64;1,61;1,62;106.518,00;65.600
TRAD3;16/06/2023;13:45:00;1,63;1,64;1,63;1,64;69.226,00;42.300
TRAD3;16/06/2023;13:40:00;1,63;1,64;1,63;1,64;5.068,00;3.100
