Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TRIS3;16/06/2023;17:30:00;5,22;5,22;5,22;5,22;25.056,00;4.800
TRIS3;16/06/2023;16:45:00;5,24;5,25;5,22;5,22;384.274,00;73.600
TRIS3;16/06/2023;16:40:00;5,24;5,24;5,22;5,24;24.582,00;4.700
TRIS3;16/06/2023;16:35:00;5,23;5,24;5,23;5,23;44.465,00;8.500
TRIS3;16/06/2023;16:30:00;5,24;5,25;5,23;5,24;26.189,00;5.000
TRIS3;16/06/2023;16:25:00;5,23;5,25;5,23;5,23;13.090,00;2.500
TRIS3;16/06/2023;16:20:00;5,23;5,25;5,23;5,24;13.107,00;2.500
TRIS3;16/06/2023;16:15:00;5,25;5,25;5,23;5,24;23.586,00;4.500
TRIS3;16/06/2023;16:10:00;5,24;5,25;5,23;5,23;21.477,00;4.100
TRIS3;16/06/2023;16:05:00;5,23;5,24;5,23;5,23;10.992,00;2.100
TRIS3;16/06/2023;16:00:00;5,24;5,25;5,23;5,24;14.145,00;2.700
TRIS3;16/06/2023;15:55:00;5,24;5,24;5,23;5,23;29.852,00;5.700
TRIS3;16/06/2023;15:50:00;5,25;5,25;5,23;5,23;29.332,00;5.600
TRIS3;16/06/2023;15:45:00;5,26;5,26;5,24;5,24;24.672,00;4.700
TRIS3;16/06/2023;15:40:00;5,26;5,26;5,25;5,25;12.092,00;2.300
TRIS3;16/06/2023;15:35:00;5,27;5,27;5,25;5,25;7.886,00;1.500
TRIS3;16/06/2023;15:30:00;5,26;5,27;5,25;5,25;10.516,00;2.000
TRIS3;16/06/2023;15:25:00;5,26;5,27;5,25;5,26;13.673,00;2.600
TRIS3;16/06/2023;15:20:00;5,26;5,27;5,25;5,25;19.462,00;3.700
TRIS3;16/06/2023;15:15:00;5,25;5,27;5,25;5,26;32.563,00;6.200
TRIS3;16/06/2023;15:10:00;5,25;5,27;5,24;5,25;32.077,00;6.100
TRIS3;16/06/2023;15:05:00;5,24;5,26;5,23;5,26;95.878,00;18.300
TRIS3;16/06/2023;15:00:00;5,25;5,26;5,24;5,25;57.197,00;10.900
TRIS3;16/06/2023;14:55:00;5,26;5,27;5,25;5,27;7.892,00;1.500
TRIS3;16/06/2023;14:50:00;5,26;5,27;5,25;5,25;14.207,00;2.700
TRIS3;16/06/2023;14:45:00;5,28;5,28;5,26;5,26;35.882,00;6.800
TRIS3;16/06/2023;14:40:00;5,25;5,28;5,25;5,26;91.371,00;17.400
TRIS3;16/06/2023;14:35:00;5,26;5,27;5,25;5,27;42.050,00;8.000
TRIS3;16/06/2023;14:30:00;5,24;5,26;5,24;5,25;38.331,00;7.300
TRIS3;16/06/2023;14:25:00;5,26;5,26;5,24;5,24;22.051,00;4.200
TRIS3;16/06/2023;14:20:00;5,28;5,28;5,25;5,25;28.423,00;5.400
TRIS3;16/06/2023;14:15:00;5,27;5,29;5,27;5,27;17.408,00;3.300
TRIS3;16/06/2023;14:10:00;5,28;5,29;5,27;5,29;42.755,00;8.100
TRIS3;16/06/2023;14:05:00;5,29;5,29;5,28;5,29;21.679,00;4.100
TRIS3;16/06/2023;14:00:00;5,28;5,29;5,28;5,29;27.997,00;5.300
TRIS3;16/06/2023;13:55:00;5,28;5,30;5,28;5,29;48.169,00;9.100
TRIS3;16/06/2023;13:50:00;5,28;5,29;5,28;5,29;15.844,00;3.000
TRIS3;16/06/2023;13:45:00;5,28;5,29;5,28;5,28;7.393,00;1.400
TRIS3;16/06/2023;13:40:00;5,28;5,28;5,28;5,28;6.864,00;1.300
TRIS3;16/06/2023;13:35:00;5,27;5,28;5,26;5,28;5.272,00;1.000
TRIS3;16/06/2023;13:30:00;5,23;5,27;5,23;5,27;101.320,00;19.300
TRIS3;16/06/2023;13:25:00;5,24;5,27;5,20;5,24;404.709,00;77.400
TRIS3;16/06/2023;13:20:00;5,29;5,29;5,20;5,24;504.253,00;96.200
TRIS3;16/06/2023;13:15:00;5,29;5,29;5,28;5,29;14.262,00;2.700
TRIS3;16/06/2023;13:10:00;5,28;5,29;5,28;5,28;25.348,00;4.800
TRIS3;16/06/2023;13:05:00;5,28;5,28;5,28;5,28;5.280,00;1.000
TRIS3;16/06/2023;13:00:00;5,28;5,28;5,26;5,27;16.324,00;3.100
TRIS3;16/06/2023;12:55:00;5,30;5,30;5,28;5,28;40.742,00;7.700
TRIS3;16/06/2023;12:50:00;5,28;5,30;5,28;5,30;59.271,00;11.200
TRIS3;16/06/2023;12:45:00;5,28;5,28;5,27;5,28;16.874,00;3.200
TRIS3;16/06/2023;12:40:00;5,28;5,28;5,27;5,28;47.973,00;9.100
TRIS3;16/06/2023;12:35:00;5,29;5,29;5,27;5,28;21.648,00;4.100
TRIS3;16/06/2023;12:30:00;5,28;5,28;5,27;5,28;14.241,00;2.700
TRIS3;16/06/2023;12:25:00;5,28;5,28;5,27;5,28;6.863,00;1.300
TRIS3;16/06/2023;12:20:00;5,29;5,29;5,27;5,28;19.009,00;3.600
TRIS3;16/06/2023;12:15:00;5,29;5,29;5,27;5,29;31.195,00;5.900
TRIS3;16/06/2023;12:10:00;5,29;5,29;5,28;5,29;6.875,00;1.300
TRIS3;16/06/2023;12:05:00;5,29;5,29;5,29;5,29;6.348,00;1.200
TRIS3;16/06/2023;12:00:00;5,29;5,29;5,27;5,29;23.762,00;4.500
TRIS3;16/06/2023;11:55:00;5,30;5,30;5,28;5,29;103.166,00;19.500
TRIS3;16/06/2023;11:50:00;5,30;5,30;5,29;5,29;7.418,00;1.400
TRIS3;16/06/2023;11:45:00;5,30;5,30;5,29;5,30;29.138,00;5.500
TRIS3;16/06/2023;11:40:00;5,27;5,30;5,27;5,30;40.674,00;7.700
TRIS3;16/06/2023;11:35:00;5,27;5,27;5,27;5,27;4.743,00;900
TRIS3;16/06/2023;11:30:00;5,25;5,27;5,24;5,27;74.599,00;14.200
TRIS3;16/06/2023;11:25:00;5,26;5,26;5,24;5,25;6.825,00;1.300
TRIS3;16/06/2023;11:20:00;5,26;5,26;5,25;5,26;17.353,00;3.300
TRIS3;16/06/2023;11:15:00;5,25;5,26;5,25;5,25;18.382,00;3.500
TRIS3;16/06/2023;11:10:00;5,24;5,25;5,24;5,25;12.068,00;2.300
TRIS3;16/06/2023;11:05:00;5,26;5,26;5,22;5,25;49.229,00;9.400
TRIS3;16/06/2023;11:00:00;5,24;5,27;5,24;5,27;26.227,00;5.000
TRIS3;16/06/2023;10:55:00;5,24;5,24;5,22;5,24;3.138,00;600
TRIS3;16/06/2023;10:50:00;5,22;5,24;5,22;5,24;12.531,00;2.400
TRIS3;16/06/2023;10:45:00;5,21;5,21;5,21;5,21;1.042,00;200
TRIS3;16/06/2023;10:40:00;5,22;5,22;5,21;5,22;40.698,00;7.800
TRIS3;16/06/2023;10:35:00;5,23;5,23;5,21;5,21;14.103,00;2.700
TRIS3;16/06/2023;10:30:00;5,23;5,23;5,22;5,23;2.090,00;400
TRIS3;16/06/2023;10:25:00;5,23;5,23;5,21;5,21;64.271,00;12.300
TRIS3;16/06/2023;10:20:00;5,21;5,24;5,21;5,23;78.485,00;15.000
TRIS3;16/06/2023;10:15:00;5,21;5,21;5,21;5,21;8.336,00;1.600
TRIS3;16/06/2023;10:10:00;5,20;5,20;5,19;5,20;51.973,00;10.000
TRIS3;16/06/2023;10:05:00;5,21;5,22;5,20;5,21;41.668,00;8.000
TRIS3;16/06/2023;10:00:00;5,21;5,24;5,20;5,22;67.775,00;13.000
TRIS3;15/06/2023;17:30:00;5,23;5,31;5,23;5,30;110.981,00;21.000
TRIS3;15/06/2023;16:50:00;5,25;5,28;5,24;5,24;242.332,00;46.200
TRIS3;15/06/2023;16:45:00;5,27;5,27;5,25;5,25;111.977,00;21.300
TRIS3;15/06/2023;16:40:00;5,28;5,28;5,26;5,27;20.017,00;3.800
TRIS3;15/06/2023;16:35:00;5,28;5,28;5,26;5,28;9.500,00;1.800
TRIS3;15/06/2023;16:30:00;5,27;5,28;5,26;5,26;37.421,00;7.100
TRIS3;15/06/2023;16:25:00;5,27;5,27;5,26;5,27;8.428,00;1.600
TRIS3;15/06/2023;16:20:00;5,28;5,28;5,26;5,26;47.913,00;9.100
TRIS3;15/06/2023;16:15:00;5,28;5,29;5,27;5,27;39.070,00;7.400
TRIS3;15/06/2023;16:10:00;5,27;5,28;5,26;5,27;43.780,00;8.300
TRIS3;15/06/2023;16:05:00;5,27;5,27;5,26;5,27;11.583,00;2.200
TRIS3;15/06/2023;16:00:00;5,27;5,27;5,26;5,26;5.790,00;1.100
TRIS3;15/06/2023;15:55:00;5,25;5,27;5,24;5,26;115.497,00;22.000
TRIS3;15/06/2023;15:50:00;5,25;5,25;5,24;5,25;13.110,00;2.500
TRIS3;15/06/2023;15:45:00;5,24;5,25;5,23;5,25;12.580,00;2.400
TRIS3;15/06/2023;15:40:00;5,23;5,24;5,23;5,24;12.573,00;2.400
TRIS3;15/06/2023;15:35:00;5,25;5,25;5,24;5,24;15.735,00;3.000
TRIS3;15/06/2023;15:30:00;5,24;5,25;5,23;5,25;11.523,00;2.200
TRIS3;15/06/2023;15:25:00;5,22;5,24;5,22;5,23;8.889,00;1.700
TRIS3;15/06/2023;15:20:00;5,24;5,24;5,24;5,24;524,00;100
TRIS3;15/06/2023;15:15:00;5,23;5,24;5,23;5,24;4.711,00;900
TRIS3;15/06/2023;15:10:00;5,24;5,24;5,23;5,23;6.800,00;1.300
TRIS3;15/06/2023;15:00:00;5,24;5,24;5,23;5,23;4.187,00;800
TRIS3;15/06/2023;14:55:00;5,25;5,25;5,24;5,24;33.550,00;6.400
TRIS3;15/06/2023;14:50:00;5,24;5,24;5,24;5,24;524,00;100
TRIS3;15/06/2023;14:45:00;5,25;5,25;5,23;5,24;79.003,00;15.100
TRIS3;15/06/2023;14:40:00;5,25;5,25;5,25;5,25;1.575,00;300
TRIS3;15/06/2023;14:35:00;5,21;5,25;5,21;5,25;62.290,00;11.900
TRIS3;15/06/2023;14:30:00;5,20;5,24;5,20;5,22;78.318,00;15.000
TRIS3;15/06/2023;14:25:00;5,20;5,20;5,19;5,20;164.319,00;31.600
TRIS3;15/06/2023;14:20:00;5,21;5,22;5,20;5,20;293.169,00;56.300
TRIS3;15/06/2023;14:15:00;5,24;5,25;5,21;5,21;146.297,00;28.000
TRIS3;15/06/2023;14:10:00;5,25;5,26;5,23;5,25;54.563,00;10.400
TRIS3;15/06/2023;14:05:00;5,26;5,26;5,25;5,25;29.935,00;5.700
TRIS3;15/06/2023;14:00:00;5,27;5,27;5,26;5,26;6.318,00;1.200
TRIS3;15/06/2023;13:55:00;5,26;5,26;5,25;5,25;5.255,00;1.000
TRIS3;15/06/2023;13:50:00;5,26;5,26;5,26;5,26;36.820,00;7.000
TRIS3;15/06/2023;13:45:00;5,27;5,27;5,26;5,26;2.634,00;500
TRIS3;15/06/2023;13:40:00;5,26;5,28;5,26;5,28;9.491,00;1.800
TRIS3;15/06/2023;13:35:00;5,26;5,27;5,26;5,27;3.684,00;700
TRIS3;15/06/2023;13:30:00;5,28;5,28;5,26;5,26;15.784,00;3.000
TRIS3;15/06/2023;13:25:00;5,27;5,28;5,27;5,28;27.408,00;5.200
TRIS3;15/06/2023;13:20:00;5,27;5,27;5,27;5,27;1.581,00;300
TRIS3;15/06/2023;13:15:00;5,25;5,26;5,25;5,26;34.182,00;6.500
TRIS3;15/06/2023;13:10:00;5,24;5,26;5,24;5,25;15.218,00;2.900
TRIS3;15/06/2023;13:05:00;5,25;5,26;5,24;5,26;16.792,00;3.200
TRIS3;15/06/2023;13:00:00;5,25;5,25;5,25;5,25;525,00;100
TRIS3;15/06/2023;12:55:00;5,26;5,26;5,25;5,25;58.834,00;11.200
TRIS3;15/06/2023;12:50:00;5,27;5,27;5,26;5,26;14.203,00;2.700
TRIS3;15/06/2023;12:45:00;5,27;5,27;5,26;5,26;6.323,00;1.200
TRIS3;15/06/2023;12:40:00;5,26;5,27;5,25;5,27;44.713,00;8.500
TRIS3;15/06/2023;12:35:00;5,23;5,26;5,22;5,26;37.234,00;7.100
TRIS3;15/06/2023;12:30:00;5,23;5,24;5,23;5,23;18.306,00;3.500
TRIS3;15/06/2023;12:25:00;5,21;5,23;5,21;5,23;40.652,00;7.800
TRIS3;15/06/2023;12:20:00;5,22;5,22;5,21;5,21;33.872,00;6.500
TRIS3;15/06/2023;12:15:00;5,21;5,21;5,20;5,21;31.776,00;6.100
TRIS3;15/06/2023;12:10:00;5,20;5,22;5,20;5,22;65.582,00;12.600
TRIS3;15/06/2023;12:05:00;5,19;5,20;5,19;5,19;75.364,00;14.500
TRIS3;15/06/2023;12:00:00;5,22;5,22;5,19;5,19;120.665,00;23.200
TRIS3;15/06/2023;11:55:00;5,21;5,22;5,21;5,21;39.114,00;7.500
TRIS3;15/06/2023;11:50:00;5,23;5,23;5,21;5,21;60.039,00;11.500
TRIS3;15/06/2023;11:45:00;5,26;5,26;5,24;5,24;116.525,00;22.200
TRIS3;15/06/2023;11:40:00;5,23;5,26;5,21;5,26;226.279,00;43.300
TRIS3;15/06/2023;11:35:00;5,27;5,27;5,24;5,24;17.858,00;3.400
TRIS3;15/06/2023;11:30:00;5,28;5,28;5,27;5,27;76.978,00;14.600
TRIS3;15/06/2023;11:25:00;5,28;5,29;5,28;5,29;8.988,00;1.700
TRIS3;15/06/2023;11:20:00;5,30;5,30;5,29;5,29;17.988,00;3.400
TRIS3;15/06/2023;11:15:00;5,30;5,30;5,29;5,29;10.597,00;2.000
TRIS3;15/06/2023;11:10:00;5,30;5,31;5,30;5,31;7.422,00;1.400
TRIS3;15/06/2023;11:05:00;5,31;5,31;5,30;5,31;8.482,00;1.600
TRIS3;15/06/2023;11:00:00;5,30;5,31;5,30;5,31;12.743,00;2.400
TRIS3;15/06/2023;10:55:00;5,30;5,30;5,29;5,29;3.177,00;600
TRIS3;15/06/2023;10:50:00;5,31;5,31;5,29;5,30;27.030,00;5.100
TRIS3;15/06/2023;10:45:00;5,31;5,31;5,30;5,31;4.776,00;900
TRIS3;15/06/2023;10:40:00;5,32;5,32;5,30;5,32;11.134,00;2.100
TRIS3;15/06/2023;10:35:00;5,29;5,32;5,28;5,32;45.046,00;8.500
TRIS3;15/06/2023;10:30:00;5,32;5,32;5,30;5,30;90.808,00;17.100
TRIS3;15/06/2023;10:25:00;5,29;5,32;5,29;5,30;56.763,00;10.700
TRIS3;15/06/2023;10:20:00;5,30;5,30;5,29;5,29;39.165,00;7.400
TRIS3;15/06/2023;10:15:00;5,29;5,29;5,28;5,29;107.846,00;20.400
TRIS3;15/06/2023;10:10:00;5,27;5,30;5,26;5,29;40.661,00;7.700
TRIS3;15/06/2023;10:05:00;5,26;5,27;5,25;5,27;83.563,00;15.900
TRIS3;15/06/2023;10:00:00;5,24;5,26;5,23;5,26;60.702,00;11.600
TRIS3;14/06/2023;17:30:00;5,25;5,28;5,25;5,28;55.788,00;10.600
TRIS3;14/06/2023;16:50:00;5,25;5,25;5,23;5,25;228.830,00;43.600
TRIS3;14/06/2023;16:45:00;5,27;5,27;5,24;5,25;83.469,00;15.900
TRIS3;14/06/2023;16:40:00;5,25;5,27;5,25;5,27;66.893,00;12.700
TRIS3;14/06/2023;16:35:00;5,23;5,28;5,23;5,26;270.455,00;51.500
TRIS3;14/06/2023;16:30:00;5,21;5,23;5,21;5,23;18.255,00;3.500
TRIS3;14/06/2023;16:25:00;5,18;5,24;5,18;5,22;368.495,00;70.700
TRIS3;14/06/2023;16:20:00;5,18;5,18;5,18;5,18;6.216,00;1.200
TRIS3;14/06/2023;16:15:00;5,18;5,18;5,18;5,18;44.030,00;8.500
TRIS3;14/06/2023;16:10:00;5,20;5,20;5,18;5,18;56.068,00;10.800
TRIS3;14/06/2023;16:05:00;5,19;5,20;5,19;5,20;109.044,00;21.000
TRIS3;14/06/2023;16:00:00;5,19;5,19;5,17;5,18;68.889,00;13.300
TRIS3;14/06/2023;15:55:00;5,19;5,21;5,17;5,18;146.661,00;28.300
TRIS3;14/06/2023;15:50:00;5,21;5,21;5,19;5,19;50.439,00;9.700
TRIS3;14/06/2023;15:45:00;5,21;5,21;5,20;5,21;20.318,00;3.900
TRIS3;14/06/2023;15:40:00;5,21;5,22;5,21;5,21;102.669,00;19.700
TRIS3;14/06/2023;15:35:00;5,20;5,22;5,19;5,22;31.711,00;6.100
TRIS3;14/06/2023;15:30:00;5,22;5,22;5,20;5,20;13.016,00;2.500
TRIS3;14/06/2023;15:25:00;5,21;5,21;5,20;5,20;10.418,00;2.000
TRIS3;14/06/2023;15:20:00;5,20;5,21;5,20;5,20;9.882,00;1.900
TRIS3;14/06/2023;15:15:00;5,21;5,21;5,20;5,20;21.881,00;4.200
