Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TTEN3;06/06/2023;11:20:00;12,85;12,85;12,84;12,85;5.138,00;400
TTEN3;06/06/2023;11:15:00;12,90;12,90;12,86;12,88;18.033,00;1.400
TTEN3;06/06/2023;11:10:00;12,90;12,92;12,88;12,89;122.515,00;9.500
TTEN3;06/06/2023;11:05:00;12,87;12,91;12,86;12,91;45.108,00;3.500
TTEN3;06/06/2023;11:00:00;12,90;12,90;12,86;12,87;47.693,00;3.700
TTEN3;06/06/2023;10:55:00;12,87;12,91;12,87;12,89;85.111,00;6.600
TTEN3;06/06/2023;10:50:00;12,87;12,88;12,85;12,85;133.759,00;10.400
TTEN3;06/06/2023;10:45:00;12,78;12,86;12,78;12,86;80.761,00;6.300
TTEN3;06/06/2023;10:40:00;12,78;12,78;12,78;12,78;2.556,00;200
TTEN3;06/06/2023;10:35:00;12,78;12,79;12,75;12,78;34.489,00;2.700
TTEN3;06/06/2023;10:30:00;12,77;12,81;12,74;12,79;63.945,00;5.000
TTEN3;06/06/2023;10:25:00;12,75;12,77;12,74;12,77;10.205,00;800
TTEN3;06/06/2023;10:20:00;12,73;12,74;12,73;12,74;6.369,00;500
TTEN3;06/06/2023;10:15:00;12,75;12,75;12,72;12,75;21.663,00;1.700
TTEN3;06/06/2023;10:10:00;12,83;12,85;12,72;12,72;129.409,00;10.100
TTEN3;06/06/2023;10:05:00;12,68;12,81;12,68;12,81;34.507,00;2.700
TTEN3;05/06/2023;17:30:00;12,77;12,77;12,65;12,65;40.611,00;3.200
TTEN3;05/06/2023;16:50:00;12,72;12,75;12,72;12,72;1.560.830,00;122.700
TTEN3;05/06/2023;16:45:00;12,70;12,73;12,70;12,71;143.722,00;11.300
TTEN3;05/06/2023;16:40:00;12,70;12,73;12,70;12,70;85.198,00;6.700
TTEN3;05/06/2023;16:35:00;12,70;12,72;12,68;12,70;210.931,00;16.600
TTEN3;05/06/2023;16:30:00;12,73;12,76;12,69;12,69;268.426,00;21.100
TTEN3;05/06/2023;16:25:00;12,74;12,76;12,73;12,74;152.914,00;12.000
TTEN3;05/06/2023;16:20:00;12,73;12,75;12,70;12,74;207.379,00;16.300
TTEN3;05/06/2023;16:15:00;12,71;12,73;12,70;12,73;91.565,00;7.200
TTEN3;05/06/2023;16:10:00;12,72;12,72;12,71;12,71;67.389,00;5.300
TTEN3;05/06/2023;16:05:00;12,73;12,75;12,71;12,71;141.352,00;11.100
TTEN3;05/06/2023;16:00:00;12,72;12,75;12,72;12,73;98.060,00;7.700
TTEN3;05/06/2023;15:55:00;12,73;12,76;12,72;12,73;93.005,00;7.300
TTEN3;05/06/2023;15:50:00;12,78;12,78;12,70;12,74;444.447,00;34.900
TTEN3;05/06/2023;15:45:00;12,78;12,79;12,76;12,77;65.155,00;5.100
TTEN3;05/06/2023;15:40:00;12,78;12,80;12,78;12,80;69.079,00;5.400
TTEN3;05/06/2023;15:35:00;12,81;12,84;12,77;12,78;353.495,00;27.600
TTEN3;05/06/2023;15:30:00;12,82;12,82;12,80;12,81;64.063,00;5.000
TTEN3;05/06/2023;15:25:00;12,82;12,84;12,80;12,82;101.267,00;7.900
TTEN3;05/06/2023;15:20:00;12,81;12,84;12,80;12,81;137.178,00;10.700
TTEN3;05/06/2023;15:15:00;12,79;12,82;12,78;12,82;69.111,00;5.400
TTEN3;05/06/2023;15:10:00;12,79;12,80;12,78;12,78;46.041,00;3.600
TTEN3;05/06/2023;15:05:00;12,78;12,80;12,78;12,79;35.820,00;2.800
TTEN3;05/06/2023;15:00:00;12,78;12,81;12,78;12,80;75.501,00;5.900
TTEN3;05/06/2023;14:55:00;12,77;12,79;12,76;12,78;54.945,00;4.300
TTEN3;05/06/2023;14:50:00;12,75;12,77;12,74;12,76;63.767,00;5.000
TTEN3;05/06/2023;14:45:00;12,75;12,76;12,74;12,74;29.332,00;2.300
TTEN3;05/06/2023;14:40:00;12,74;12,78;12,74;12,74;53.590,00;4.200
TTEN3;05/06/2023;14:35:00;12,76;12,77;12,73;12,75;66.275,00;5.200
TTEN3;05/06/2023;14:30:00;12,77;12,77;12,75;12,77;26.803,00;2.100
TTEN3;05/06/2023;14:25:00;12,76;12,77;12,75;12,77;24.245,00;1.900
TTEN3;05/06/2023;14:20:00;12,79;12,81;12,75;12,75;49.819,00;3.900
TTEN3;05/06/2023;14:15:00;12,81;12,81;12,78;12,79;53.745,00;4.200
TTEN3;05/06/2023;14:10:00;12,81;12,82;12,79;12,79;125.484,00;9.800
TTEN3;05/06/2023;14:05:00;12,78;12,82;12,78;12,80;133.151,00;10.400
TTEN3;05/06/2023;14:00:00;12,80;12,81;12,77;12,77;140.680,00;11.000
TTEN3;05/06/2023;13:55:00;12,79;12,81;12,77;12,80;69.082,00;5.400
TTEN3;05/06/2023;13:50:00;12,79;12,80;12,78;12,80;44.782,00;3.500
TTEN3;05/06/2023;13:45:00;12,76;12,80;12,75;12,78;76.655,00;6.000
TTEN3;05/06/2023;13:40:00;12,84;12,85;12,77;12,78;110.238,00;8.600
TTEN3;05/06/2023;13:35:00;12,83;12,86;12,82;12,84;116.856,00;9.100
TTEN3;05/06/2023;13:30:00;12,80;12,85;12,80;12,83;184.640,00;14.400
TTEN3;05/06/2023;13:25:00;12,80;12,82;12,79;12,80;94.739,00;7.400
TTEN3;05/06/2023;13:20:00;12,79;12,80;12,76;12,80;117.571,00;9.200
TTEN3;05/06/2023;13:15:00;12,81;12,82;12,79;12,79;105.025,00;8.200
TTEN3;05/06/2023;13:10:00;12,75;12,82;12,74;12,81;484.453,00;37.900
TTEN3;05/06/2023;13:05:00;12,75;12,76;12,74;12,75;175.950,00;13.800
TTEN3;05/06/2023;13:00:00;12,75;12,76;12,74;12,74;118.565,00;9.300
TTEN3;05/06/2023;12:55:00;12,75;12,76;12,74;12,74;127.499,00;10.000
TTEN3;05/06/2023;12:50:00;12,76;12,76;12,74;12,74;109.653,00;8.600
TTEN3;05/06/2023;12:45:00;12,76;12,76;12,73;12,74;136.391,00;10.700
TTEN3;05/06/2023;12:40:00;12,75;12,76;12,73;12,74;124.913,00;9.800
TTEN3;05/06/2023;12:35:00;12,75;12,76;12,72;12,75;123.625,00;9.700
TTEN3;05/06/2023;12:30:00;12,72;12,76;12,72;12,75;113.395,00;8.900
TTEN3;05/06/2023;12:25:00;12,74;12,75;12,71;12,73;86.572,00;6.800
TTEN3;05/06/2023;12:20:00;12,75;12,75;12,71;12,72;119.680,00;9.400
TTEN3;05/06/2023;12:15:00;12,75;12,76;12,71;12,75;101.900,00;8.000
TTEN3;05/06/2023;12:10:00;12,75;12,76;12,72;12,76;143.983,00;11.300
TTEN3;05/06/2023;12:05:00;12,73;12,76;12,73;12,75;124.911,00;9.800
TTEN3;05/06/2023;12:00:00;12,73;12,75;12,71;12,73;131.131,00;10.300
TTEN3;05/06/2023;11:55:00;12,74;12,75;12,71;12,73;96.760,00;7.600
TTEN3;05/06/2023;11:50:00;12,72;12,75;12,69;12,75;200.943,00;15.800
TTEN3;05/06/2023;11:45:00;12,69;12,72;12,64;12,72;102.683,00;8.100
TTEN3;05/06/2023;11:40:00;12,65;12,70;12,65;12,68;102.660,00;8.100
TTEN3;05/06/2023;11:35:00;12,70;12,70;12,62;12,63;149.348,00;11.800
TTEN3;05/06/2023;11:30:00;12,76;12,78;12,67;12,69;249.216,00;19.600
TTEN3;05/06/2023;11:25:00;12,82;12,83;12,77;12,77;92.166,00;7.200
TTEN3;05/06/2023;11:20:00;12,78;12,83;12,75;12,79;190.550,00;14.900
TTEN3;05/06/2023;11:15:00;12,77;12,82;12,76;12,78;135.534,00;10.600
TTEN3;05/06/2023;11:10:00;12,77;12,80;12,75;12,76;111.086,00;8.700
TTEN3;05/06/2023;11:05:00;12,78;12,80;12,75;12,75;150.635,00;11.800
TTEN3;05/06/2023;11:00:00;12,79;12,82;12,76;12,77;98.555,00;7.700
TTEN3;05/06/2023;10:55:00;12,80;12,82;12,78;12,78;70.367,00;5.500
TTEN3;05/06/2023;10:50:00;12,84;12,84;12,78;12,79;143.350,00;11.200
TTEN3;05/06/2023;10:45:00;12,86;12,86;12,81;12,81;24.396,00;1.900
TTEN3;05/06/2023;10:40:00;12,87;12,87;12,83;12,85;53.973,00;4.200
TTEN3;05/06/2023;10:35:00;12,83;12,91;12,83;12,86;455.043,00;35.300
TTEN3;05/06/2023;10:30:00;12,80;12,89;12,78;12,83;402.074,00;31.300
TTEN3;05/06/2023;10:25:00;12,80;12,82;12,79;12,80;111.369,00;8.700
TTEN3;05/06/2023;10:20:00;12,83;12,84;12,78;12,79;70.452,00;5.500
TTEN3;05/06/2023;10:15:00;12,79;12,84;12,76;12,81;193.356,00;15.100
TTEN3;05/06/2023;10:10:00;12,79;12,85;12,79;12,80;278.166,00;21.700
TTEN3;05/06/2023;10:05:00;12,79;12,80;12,73;12,80;167.277,00;13.100
TTEN3;05/06/2023;10:00:00;12,61;12,79;12,57;12,79;205.403,00;16.200
TTEN3;02/06/2023;17:30:00;12,52;12,52;12,52;12,52;18.780,00;1.500
TTEN3;02/06/2023;16:50:00;12,49;12,55;12,47;12,47;3.986.729,00;319.600
TTEN3;02/06/2023;16:45:00;12,51;12,53;12,49;12,50;260.280,00;20.800
TTEN3;02/06/2023;16:40:00;12,49;12,53;12,48;12,50;176.369,00;14.100
TTEN3;02/06/2023;16:35:00;12,52;12,55;12,49;12,49;345.781,00;27.600
TTEN3;02/06/2023;16:30:00;12,54;12,57;12,50;12,52;254.607,00;20.300
