Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TUPY3;06/06/2023;11:20:00;25,34;25,35;25,30;25,30;53.203,00;2.100
TUPY3;06/06/2023;11:15:00;25,32;25,35;25,32;25,34;32.934,00;1.300
TUPY3;06/06/2023;11:10:00;25,18;25,32;25,18;25,32;234.793,00;9.300
TUPY3;06/06/2023;11:05:00;25,20;25,22;25,17;25,18;264.597,00;10.500
TUPY3;06/06/2023;11:00:00;25,19;25,22;25,18;25,18;83.143,00;3.300
TUPY3;06/06/2023;10:55:00;25,17;25,20;25,17;25,18;30.222,00;1.200
TUPY3;06/06/2023;10:50:00;25,24;25,24;25,16;25,16;35.291,00;1.400
TUPY3;06/06/2023;10:45:00;25,23;25,24;25,21;25,24;70.649,00;2.800
TUPY3;06/06/2023;10:40:00;25,29;25,30;25,23;25,24;60.661,00;2.400
TUPY3;06/06/2023;10:35:00;25,26;25,30;25,25;25,30;48.002,00;1.900
TUPY3;06/06/2023;10:30:00;25,32;25,35;25,27;25,27;222.888,00;8.800
TUPY3;06/06/2023;10:25:00;25,32;25,34;25,28;25,28;45.556,00;1.800
TUPY3;06/06/2023;10:20:00;25,25;25,33;25,23;25,33;70.824,00;2.800
TUPY3;06/06/2023;10:15:00;25,30;25,30;25,28;25,28;48.060,00;1.900
TUPY3;06/06/2023;10:10:00;25,33;25,39;25,30;25,33;398.146,00;15.700
TUPY3;06/06/2023;10:05:00;25,32;25,35;25,27;25,33;65.827,00;2.600
TUPY3;06/06/2023;10:00:00;25,19;25,31;25,09;25,31;775.826,00;30.800
TUPY3;05/06/2023;17:30:00;25,10;25,16;24,94;24,98;367.613,00;14.700
TUPY3;05/06/2023;16:50:00;25,13;25,18;25,12;25,12;1.939.482,00;77.200
TUPY3;05/06/2023;16:45:00;25,12;25,16;25,12;25,14;183.569,00;7.300
TUPY3;05/06/2023;16:40:00;25,13;25,14;25,12;25,13;35.183,00;1.400
TUPY3;05/06/2023;16:35:00;25,13;25,14;25,12;25,13;95.472,00;3.800
TUPY3;05/06/2023;16:30:00;25,14;25,16;25,12;25,12;98.056,00;3.900
TUPY3;05/06/2023;16:25:00;25,11;25,13;25,10;25,13;37.674,00;1.500
TUPY3;05/06/2023;16:20:00;25,06;25,13;25,06;25,10;135.463,00;5.400
TUPY3;05/06/2023;16:15:00;25,06;25,08;25,05;25,06;80.194,00;3.200
TUPY3;05/06/2023;16:10:00;25,05;25,06;25,05;25,06;17.540,00;700
TUPY3;05/06/2023;16:05:00;25,07;25,08;25,03;25,05;250.659,00;10.000
TUPY3;05/06/2023;16:00:00;25,04;25,08;25,03;25,07;140.374,00;5.600
TUPY3;05/06/2023;15:55:00;25,05;25,05;25,04;25,04;12.523,00;500
TUPY3;05/06/2023;15:50:00;25,07;25,07;25,04;25,06;32.578,00;1.300
TUPY3;05/06/2023;15:45:00;25,11;25,11;25,07;25,07;50.183,00;2.000
TUPY3;05/06/2023;15:40:00;25,08;25,11;25,08;25,11;35.129,00;1.400
TUPY3;05/06/2023;15:35:00;25,08;25,08;25,06;25,07;20.060,00;800
TUPY3;05/06/2023;15:30:00;25,10;25,12;25,08;25,08;37.648,00;1.500
TUPY3;05/06/2023;15:25:00;25,09;25,12;25,09;25,10;32.634,00;1.300
TUPY3;05/06/2023;15:20:00;25,06;25,11;25,06;25,11;45.162,00;1.800
TUPY3;05/06/2023;15:15:00;25,08;25,09;25,07;25,09;25.079,00;1.000
TUPY3;05/06/2023;15:10:00;25,10;25,10;25,08;25,09;25.091,00;1.000
TUPY3;05/06/2023;15:05:00;25,13;25,13;25,10;25,11;25.112,00;1.000
TUPY3;05/06/2023;15:00:00;25,12;25,18;25,12;25,14;57.849,00;2.300
TUPY3;05/06/2023;14:55:00;25,14;25,19;25,13;25,13;621.783,00;24.700
TUPY3;05/06/2023;14:50:00;25,12;25,12;25,10;25,12;40.184,00;1.600
TUPY3;05/06/2023;14:45:00;25,13;25,15;25,11;25,13;30.152,00;1.200
TUPY3;05/06/2023;14:40:00;25,02;25,13;25,01;25,12;140.463,00;5.600
TUPY3;05/06/2023;14:35:00;25,04;25,04;25,03;25,03;52.579,00;2.100
TUPY3;05/06/2023;14:30:00;25,04;25,04;25,02;25,02;47.549,00;1.900
TUPY3;05/06/2023;14:25:00;25,03;25,04;25,02;25,04;40.040,00;1.600
TUPY3;05/06/2023;14:20:00;25,03;25,03;25,02;25,03;12.514,00;500
TUPY3;05/06/2023;14:15:00;25,05;25,05;25,03;25,03;25.042,00;1.000
TUPY3;05/06/2023;14:10:00;25,04;25,04;25,03;25,04;27.538,00;1.100
TUPY3;05/06/2023;14:05:00;25,05;25,06;25,03;25,04;35.068,00;1.400
TUPY3;05/06/2023;14:00:00;25,03;25,06;25,02;25,04;52.583,00;2.100
TUPY3;05/06/2023;13:55:00;25,02;25,04;25,02;25,03;32.539,00;1.300
TUPY3;05/06/2023;13:50:00;25,03;25,03;25,00;25,02;32.519,00;1.300
TUPY3;05/06/2023;13:45:00;25,04;25,04;25,03;25,04;20.031,00;800
TUPY3;05/06/2023;13:40:00;25,00;25,03;25,00;25,03;35.017,00;1.400
TUPY3;05/06/2023;13:35:00;25,02;25,02;25,00;25,01;12.505,00;500
TUPY3;05/06/2023;13:30:00;25,03;25,03;24,99;25,01;62.530,00;2.500
TUPY3;05/06/2023;13:25:00;25,05;25,05;25,02;25,05;40.048,00;1.600
TUPY3;05/06/2023;13:20:00;25,04;25,05;25,03;25,04;17.528,00;700
TUPY3;05/06/2023;13:15:00;25,08;25,15;25,04;25,04;368.834,00;14.700
TUPY3;05/06/2023;13:10:00;25,03;25,08;25,03;25,08;42.596,00;1.700
TUPY3;05/06/2023;13:05:00;25,04;25,04;25,03;25,04;65.100,00;2.600
TUPY3;05/06/2023;13:00:00;25,06;25,06;25,00;25,04;75.080,00;3.000
TUPY3;05/06/2023;12:55:00;25,03;25,06;25,03;25,06;15.026,00;600
TUPY3;05/06/2023;12:50:00;25,04;25,06;25,03;25,03;37.570,00;1.500
TUPY3;05/06/2023;12:45:00;25,05;25,05;25,03;25,03;27.551,00;1.100
TUPY3;05/06/2023;12:40:00;25,04;25,05;25,00;25,05;75.068,00;3.000
TUPY3;05/06/2023;12:35:00;25,04;25,07;25,04;25,07;17.537,00;700
TUPY3;05/06/2023;12:30:00;25,07;25,07;25,02;25,04;60.111,00;2.400
TUPY3;05/06/2023;12:25:00;25,08;25,08;25,05;25,08;37.593,00;1.500
TUPY3;05/06/2023;12:20:00;25,08;25,09;25,06;25,08;50.151,00;2.000
TUPY3;05/06/2023;12:15:00;25,09;25,12;25,06;25,10;95.376,00;3.800
TUPY3;05/06/2023;12:10:00;25,02;25,10;25,00;25,08;205.393,00;8.200
TUPY3;05/06/2023;12:05:00;24,99;25,04;24,95;25,01;92.458,00;3.700
TUPY3;05/06/2023;12:00:00;24,93;25,01;24,92;24,99;64.947,00;2.600
TUPY3;05/06/2023;11:55:00;25,00;25,01;24,89;24,92;74.840,00;3.000
TUPY3;05/06/2023;11:50:00;24,90;25,02;24,90;25,01;142.371,00;5.700
TUPY3;05/06/2023;11:45:00;24,93;24,94;24,89;24,91;42.349,00;1.700
TUPY3;05/06/2023;11:40:00;24,81;24,92;24,81;24,92;94.524,00;3.800
TUPY3;05/06/2023;11:35:00;24,88;24,88;24,73;24,81;930.021,00;37.500
TUPY3;05/06/2023;11:30:00;24,89;24,89;24,84;24,84;49.731,00;2.000
TUPY3;05/06/2023;11:25:00;24,89;24,91;24,86;24,88;89.585,00;3.600
TUPY3;05/06/2023;11:20:00;24,86;24,91;24,85;24,86;102.013,00;4.100
TUPY3;05/06/2023;11:15:00;24,88;24,89;24,86;24,86;57.220,00;2.300
TUPY3;05/06/2023;11:10:00;24,96;24,97;24,87;24,90;104.662,00;4.200
TUPY3;05/06/2023;11:05:00;24,98;24,98;24,93;24,95;94.810,00;3.800
TUPY3;05/06/2023;11:00:00;25,03;25,03;24,95;24,96;67.488,00;2.700
TUPY3;05/06/2023;10:55:00;25,09;25,09;25,01;25,01;90.161,00;3.600
TUPY3;05/06/2023;10:50:00;25,12;25,12;25,08;25,09;45.194,00;1.800
TUPY3;05/06/2023;10:45:00;25,10;25,13;25,10;25,11;22.598,00;900
TUPY3;05/06/2023;10:40:00;25,13;25,13;25,06;25,09;87.839,00;3.500
TUPY3;05/06/2023;10:35:00;25,13;25,15;25,08;25,12;153.168,00;6.100
TUPY3;05/06/2023;10:30:00;25,14;25,17;25,11;25,12;80.425,00;3.200
TUPY3;05/06/2023;10:25:00;25,16;25,20;25,13;25,13;62.895,00;2.500
TUPY3;05/06/2023;10:20:00;25,16;25,24;25,16;25,16;70.581,00;2.800
TUPY3;05/06/2023;10:15:00;25,38;25,38;25,14;25,18;232.314,00;9.200
TUPY3;05/06/2023;10:10:00;25,42;25,44;25,36;25,36;139.736,00;5.500
TUPY3;05/06/2023;10:05:00;25,28;25,40;25,28;25,40;131.614,00;5.200
TUPY3;05/06/2023;10:00:00;25,18;25,23;25,16;25,23;118.389,00;4.700
TUPY3;02/06/2023;17:30:00;25,16;25,22;25,11;25,22;273.947,00;10.900
TUPY3;02/06/2023;16:50:00;25,25;25,27;25,17;25,17;2.685.957,00;106.700
TUPY3;02/06/2023;16:45:00;25,25;25,27;25,21;25,26;164.018,00;6.500
TUPY3;02/06/2023;16:40:00;25,27;25,29;25,24;25,25;176.886,00;7.000
TUPY3;02/06/2023;16:35:00;25,26;25,28;25,24;25,27;106.092,00;4.200
TUPY3;02/06/2023;16:30:00;25,26;25,28;25,25;25,27;98.538,00;3.900
TUPY3;02/06/2023;16:25:00;25,20;25,26;25,19;25,26;272.335,00;10.800
TUPY3;02/06/2023;16:20:00;25,16;25,25;25,16;25,21;161.309,00;6.400
TUPY3;02/06/2023;16:15:00;25,20;25,21;25,15;25,16;128.398,00;5.100
TUPY3;02/06/2023;16:10:00;25,26;25,26;25,20;25,21;325.486,00;12.900
TUPY3;02/06/2023;16:05:00;25,27;25,28;25,23;25,24;108.595,00;4.300
TUPY3;02/06/2023;16:00:00;25,26;25,29;25,26;25,29;85.922,00;3.400
TUPY3;02/06/2023;15:55:00;25,25;25,26;25,23;25,25;63.117,00;2.500
TUPY3;02/06/2023;15:50:00;25,26;25,28;25,23;25,24;106.088,00;4.200
TUPY3;02/06/2023;15:45:00;25,27;25,29;25,24;25,29;88.422,00;3.500
TUPY3;02/06/2023;15:40:00;25,30;25,31;25,26;25,28;101.139,00;4.000
TUPY3;02/06/2023;15:35:00;25,31;25,32;25,28;25,28;78.437,00;3.100
TUPY3;02/06/2023;15:30:00;25,26;25,32;25,25;25,30;161.806,00;6.400
TUPY3;02/06/2023;15:25:00;25,31;25,31;25,26;25,26;78.381,00;3.100
TUPY3;02/06/2023;15:20:00;25,31;25,33;25,30;25,31;83.516,00;3.300
TUPY3;02/06/2023;15:15:00;25,30;25,34;25,29;25,30;65.814,00;2.600
TUPY3;02/06/2023;15:10:00;25,22;25,31;25,21;25,31;116.187,00;4.600
TUPY3;02/06/2023;15:05:00;25,25;25,26;25,20;25,20;204.447,00;8.100
TUPY3;02/06/2023;15:00:00;25,32;25,32;25,25;25,26;323.692,00;12.800
TUPY3;02/06/2023;14:55:00;25,36;25,36;25,32;25,33;58.266,00;2.300
TUPY3;02/06/2023;14:50:00;25,32;25,35;25,31;25,34;58.275,00;2.300
TUPY3;02/06/2023;14:45:00;25,29;25,33;25,27;25,32;121.475,00;4.800
TUPY3;02/06/2023;14:40:00;25,30;25,31;25,27;25,29;70.799,00;2.800
TUPY3;02/06/2023;14:35:00;25,31;25,32;25,28;25,29;86.019,00;3.400
TUPY3;02/06/2023;14:30:00;25,28;25,32;25,28;25,29;121.441,00;4.800
TUPY3;02/06/2023;14:25:00;25,29;25,29;25,27;25,29;80.899,00;3.200
TUPY3;02/06/2023;14:20:00;25,29;25,30;25,27;25,29;70.786,00;2.800
TUPY3;02/06/2023;14:15:00;25,27;25,31;25,26;25,29;78.387,00;3.100
TUPY3;02/06/2023;14:10:00;25,26;25,31;25,21;25,28;417.051,00;16.500
TUPY3;02/06/2023;14:05:00;25,37;25,43;25,25;25,26;1.589.991,00;62.800
TUPY3;02/06/2023;14:00:00;25,39;25,42;25,37;25,39;91.414,00;3.600
TUPY3;02/06/2023;13:55:00;25,44;25,45;25,37;25,40;241.278,00;9.500
TUPY3;02/06/2023;13:50:00;25,43;25,47;25,41;25,43;68.668,00;2.700
TUPY3;02/06/2023;13:45:00;25,50;25,51;25,41;25,42;244.655,00;9.600
TUPY3;02/06/2023;13:40:00;25,50;25,53;25,50;25,50;122.432,00;4.800
TUPY3;02/06/2023;13:35:00;25,52;25,53;25,51;25,53;84.218,00;3.300
TUPY3;02/06/2023;13:30:00;25,48;25,55;25,48;25,52;114.825,00;4.500
TUPY3;02/06/2023;13:25:00;25,49;25,50;25,48;25,48;63.726,00;2.500
TUPY3;02/06/2023;13:20:00;25,49;25,53;25,48;25,50;76.512,00;3.000
