Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
UGPA3;06/06/2023;11:20:00;17,94;17,94;17,84;17,85;2.344.789,00;131.000
UGPA3;06/06/2023;11:15:00;17,96;17,98;17,93;17,95;1.180.056,00;65.700
UGPA3;06/06/2023;11:10:00;17,94;17,97;17,92;17,97;1.054.789,00;58.800
UGPA3;06/06/2023;11:05:00;17,89;17,96;17,89;17,95;749.262,00;41.800
UGPA3;06/06/2023;11:00:00;17,92;17,96;17,87;17,88;1.929.419,00;107.700
UGPA3;06/06/2023;10:55:00;17,87;17,94;17,87;17,93;1.357.917,00;75.900
UGPA3;06/06/2023;10:50:00;17,89;17,91;17,86;17,88;409.632,00;22.900
UGPA3;06/06/2023;10:45:00;17,99;17,99;17,90;17,90;5.226.209,00;291.300
UGPA3;06/06/2023;10:40:00;17,98;18,01;17,94;17,99;513.873,00;28.600
UGPA3;06/06/2023;10:35:00;17,89;17,98;17,89;17,98;715.191,00;39.900
UGPA3;06/06/2023;10:30:00;17,84;17,95;17,84;17,89;1.342.746,00;75.000
UGPA3;06/06/2023;10:25:00;17,82;17,85;17,80;17,82;233.524,00;13.100
UGPA3;06/06/2023;10:20:00;17,87;17,87;17,73;17,80;1.583.607,00;89.000
UGPA3;06/06/2023;10:15:00;17,94;17,98;17,85;17,85;645.488,00;36.000
UGPA3;06/06/2023;10:10:00;17,98;18,03;17,94;17,94;538.999,00;30.000
UGPA3;06/06/2023;10:05:00;18,20;18,23;17,95;17,98;1.554.809,00;86.100
UGPA3;06/06/2023;10:00:00;18,14;18,22;18,11;18,20;512.447,00;28.200
UGPA3;05/06/2023;17:30:00;18,03;18,03;17,94;17,96;125.834,00;7.000
UGPA3;05/06/2023;16:50:00;18,03;18,07;17,99;17,99;12.193.007,00;677.500
UGPA3;05/06/2023;16:45:00;18,00;18,03;17,99;18,03;886.201,00;49.200
UGPA3;05/06/2023;16:40:00;18,02;18,02;17,99;18,02;569.123,00;31.600
UGPA3;05/06/2023;16:35:00;18,00;18,02;17,99;18,02;779.521,00;43.300
UGPA3;05/06/2023;16:30:00;18,02;18,06;18,00;18,01;1.035.204,00;57.400
UGPA3;05/06/2023;16:25:00;17,98;18,02;17,97;18,00;734.375,00;40.800
UGPA3;05/06/2023;16:20:00;17,95;17,98;17,95;17,98;481.567,00;26.800
