Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
UNIP6;16/06/2023;17:30:00;76,20;76,20;76,05;76,05;129.374,00;1.700
UNIP6;16/06/2023;16:45:00;75,25;76,05;75,11;76,05;9.859.398,00;129.700
UNIP6;16/06/2023;16:40:00;75,23;75,44;75,18;75,31;730.279,00;9.700
UNIP6;16/06/2023;16:35:00;75,22;75,36;75,09;75,31;330.979,00;4.400
UNIP6;16/06/2023;16:30:00;75,29;75,42;75,22;75,30;421.827,00;5.600
UNIP6;16/06/2023;16:25:00;75,23;75,43;75,20;75,29;466.872,00;6.200
UNIP6;16/06/2023;16:20:00;75,28;75,29;75,08;75,29;436.109,00;5.800
UNIP6;16/06/2023;16:15:00;75,21;75,35;75,04;75,29;488.891,00;6.500
UNIP6;16/06/2023;16:10:00;75,34;75,42;75,11;75,22;451.597,00;6.000
UNIP6;16/06/2023;16:05:00;75,26;75,35;75,18;75,35;406.318,00;5.400
UNIP6;16/06/2023;16:00:00;75,44;75,45;75,20;75,31;451.851,00;6.000
UNIP6;16/06/2023;15:55:00;75,42;75,45;75,25;75,40;610.078,00;8.100
UNIP6;16/06/2023;15:50:00;75,35;75,48;75,30;75,42;128.127,00;1.700
UNIP6;16/06/2023;15:45:00;75,77;75,80;75,28;75,52;950.797,00;12.600
UNIP6;16/06/2023;15:40:00;75,72;75,86;75,72;75,83;113.710,00;1.500
UNIP6;16/06/2023;15:35:00;75,76;75,90;75,76;75,77;288.082,00;3.800
UNIP6;16/06/2023;15:30:00;75,69;75,76;75,65;75,76;204.355,00;2.700
UNIP6;16/06/2023;15:25:00;75,61;75,69;75,55;75,69;196.529,00;2.600
UNIP6;16/06/2023;15:20:00;75,55;75,62;75,54;75,57;234.263,00;3.100
UNIP6;16/06/2023;15:15:00;75,58;75,59;75,52;75,55;120.898,00;1.600
UNIP6;16/06/2023;15:10:00;75,65;75,65;75,60;75,60;143.697,00;1.900
UNIP6;16/06/2023;15:05:00;75,69;75,69;75,60;75,67;219.434,00;2.900
UNIP6;16/06/2023;15:00:00;75,72;75,81;75,63;75,67;257.357,00;3.400
UNIP6;16/06/2023;14:55:00;75,64;75,75;75,59;75,72;408.478,00;5.400
UNIP6;16/06/2023;14:50:00;75,75;75,85;75,72;75,76;189.377,00;2.500
UNIP6;16/06/2023;14:45:00;75,90;76,02;75,69;75,69;318.830,00;4.200
UNIP6;16/06/2023;14:40:00;75,82;76,02;75,76;76,02;333.680,00;4.400
UNIP6;16/06/2023;14:35:00;75,94;75,94;75,83;75,93;30.363,00;400
UNIP6;16/06/2023;14:30:00;75,63;75,96;75,60;75,95;735.153,00;9.700
UNIP6;16/06/2023;14:25:00;75,62;75,67;75,60;75,63;196.670,00;2.600
UNIP6;16/06/2023;14:20:00;75,68;75,68;75,61;75,63;196.669,00;2.600
UNIP6;16/06/2023;14:15:00;75,51;75,72;75,51;75,69;204.129,00;2.700
UNIP6;16/06/2023;14:10:00;75,67;75,67;75,52;75,52;234.355,00;3.100
UNIP6;16/06/2023;14:05:00;75,54;75,74;75,54;75,68;188.938,00;2.500
UNIP6;16/06/2023;14:00:00;75,57;75,65;75,50;75,54;204.013,00;2.700
UNIP6;16/06/2023;13:55:00;75,61;75,61;75,52;75,52;158.720,00;2.100
UNIP6;16/06/2023;13:50:00;75,50;75,51;75,48;75,50;150.973,00;2.000
UNIP6;16/06/2023;13:45:00;75,62;75,66;75,40;75,48;264.345,00;3.500
UNIP6;16/06/2023;13:40:00;75,73;75,73;75,50;75,60;325.169,00;4.300
