Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
USIM3;16/06/2023;17:30:00;7,50;7,52;7,50;7,52;11.270,00;1.500
USIM3;16/06/2023;16:45:00;7,47;7,50;7,47;7,50;176.968,00;23.600
USIM3;16/06/2023;16:40:00;7,49;7,49;7,48;7,48;3.741,00;500
USIM3;16/06/2023;16:35:00;7,47;7,48;7,47;7,48;5.977,00;800
USIM3;16/06/2023;16:30:00;7,47;7,48;7,47;7,48;8.969,00;1.200
USIM3;16/06/2023;16:25:00;7,47;7,47;7,46;7,47;9.707,00;1.300
USIM3;16/06/2023;16:20:00;7,47;7,47;7,46;7,47;11.949,00;1.600
USIM3;16/06/2023;16:15:00;7,46;7,47;7,46;7,47;31.370,00;4.200
USIM3;16/06/2023;16:10:00;7,47;7,47;7,46;7,46;8.212,00;1.100
USIM3;16/06/2023;16:05:00;7,47;7,47;7,47;7,47;3.735,00;500
USIM3;16/06/2023;16:00:00;7,47;7,47;7,46;7,47;11.200,00;1.500
USIM3;16/06/2023;15:55:00;7,47;7,47;7,47;7,47;5.229,00;700
USIM3;16/06/2023;15:50:00;7,47;7,47;7,46;7,47;11.199,00;1.500
USIM3;16/06/2023;15:45:00;7,47;7,47;7,47;7,47;10.458,00;1.400
USIM3;16/06/2023;15:40:00;7,47;7,47;7,46;7,47;20.153,00;2.700
USIM3;16/06/2023;15:35:00;7,46;7,46;7,46;7,46;10.444,00;1.400
USIM3;16/06/2023;15:30:00;7,46;7,46;7,46;7,46;746,00;100
USIM3;16/06/2023;15:25:00;7,46;7,46;7,46;7,46;746,00;100
USIM3;16/06/2023;15:20:00;7,45;7,46;7,45;7,46;16.393,00;2.200
USIM3;16/06/2023;15:15:00;7,45;7,45;7,44;7,45;5.959,00;800
USIM3;16/06/2023;15:10:00;7,45;7,45;7,45;7,45;3.725,00;500
USIM3;16/06/2023;15:05:00;7,46;7,46;7,45;7,45;6.712,00;900
USIM3;16/06/2023;15:00:00;7,46;7,46;7,45;7,46;32.813,00;4.400
USIM3;16/06/2023;14:55:00;7,46;7,46;7,46;7,46;33.570,00;4.500
USIM3;16/06/2023;14:50:00;7,47;7,47;7,47;7,47;2.988,00;400
USIM3;16/06/2023;14:45:00;7,47;7,47;7,47;7,47;5.976,00;800
USIM3;16/06/2023;14:40:00;7,47;7,47;7,47;7,47;747,00;100
USIM3;16/06/2023;14:35:00;7,47;7,47;7,47;7,47;4.482,00;600
USIM3;16/06/2023;14:25:00;7,47;7,47;7,47;7,47;747,00;100
USIM3;16/06/2023;14:20:00;7,46;7,46;7,46;7,46;41.776,00;5.600
USIM3;16/06/2023;14:15:00;7,46;7,47;7,46;7,46;8.210,00;1.100
USIM3;16/06/2023;14:10:00;7,45;7,46;7,45;7,46;57.439,00;7.700
USIM3;16/06/2023;14:05:00;7,45;7,45;7,45;7,45;4.470,00;600
USIM3;16/06/2023;14:00:00;7,44;7,46;7,44;7,45;11.928,00;1.600
USIM3;16/06/2023;13:55:00;7,44;7,45;7,44;7,45;4.468,00;600
USIM3;16/06/2023;13:50:00;7,44;7,45;7,44;7,45;7.447,00;1.000
USIM3;16/06/2023;13:45:00;7,44;7,44;7,43;7,44;17.095,00;2.300
USIM3;16/06/2023;13:40:00;7,44;7,44;7,43;7,44;20.087,00;2.700
USIM3;16/06/2023;13:35:00;7,43;7,44;7,43;7,44;2.975,00;400
USIM3;16/06/2023;13:30:00;7,45;7,45;7,43;7,43;10.414,00;1.400
USIM3;16/06/2023;13:25:00;7,44;7,44;7,43;7,44;16.356,00;2.200
USIM3;16/06/2023;13:20:00;7,45;7,45;7,44;7,45;17.124,00;2.300
USIM3;16/06/2023;13:15:00;7,45;7,46;7,45;7,46;49.181,00;6.600
USIM3;16/06/2023;13:10:00;7,45;7,45;7,45;7,45;745,00;100
USIM3;16/06/2023;13:05:00;7,44;7,44;7,44;7,44;744,00;100
USIM3;16/06/2023;13:00:00;7,44;7,44;7,44;7,44;8.928,00;1.200
USIM3;16/06/2023;12:55:00;7,44;7,44;7,44;7,44;744,00;100
USIM3;16/06/2023;12:45:00;7,42;7,43;7,42;7,43;3.711,00;500
USIM3;16/06/2023;12:40:00;7,43;7,43;7,43;7,43;743,00;100
USIM3;16/06/2023;12:35:00;7,45;7,45;7,45;7,45;745,00;100
USIM3;16/06/2023;12:30:00;7,45;7,45;7,45;7,45;2.980,00;400
USIM3;16/06/2023;12:25:00;7,45;7,45;7,45;7,45;11.175,00;1.500
USIM3;16/06/2023;12:20:00;7,44;7,45;7,44;7,45;4.466,00;600
USIM3;16/06/2023;12:15:00;7,44;7,44;7,44;7,44;744,00;100
USIM3;16/06/2023;12:10:00;7,44;7,44;7,44;7,44;2.976,00;400
USIM3;16/06/2023;12:05:00;7,42;7,45;7,42;7,45;57.921,00;7.800
USIM3;16/06/2023;12:00:00;7,42;7,43;7,42;7,43;6.679,00;900
USIM3;16/06/2023;11:50:00;7,43;7,43;7,43;7,43;1.486,00;200
USIM3;16/06/2023;11:45:00;7,43;7,43;7,43;7,43;743,00;100
USIM3;16/06/2023;11:35:00;7,42;7,42;7,42;7,42;2.226,00;300
USIM3;16/06/2023;11:30:00;7,41;7,42;7,41;7,42;18.526,00;2.500
USIM3;16/06/2023;11:25:00;7,41;7,41;7,41;7,41;1.482,00;200
USIM3;16/06/2023;11:20:00;7,41;7,41;7,41;7,41;1.482,00;200
