Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VALE3;06/06/2023;10:10:00;67,87;67,89;67,73;67,78;26.783.219,00;395.100
VALE3;06/06/2023;10:05:00;67,69;67,92;67,60;67,90;38.042.797,00;561.600
VALE3;06/06/2023;10:00:00;67,80;67,90;67,62;67,70;33.879.876,00;499.700
VALE3;05/06/2023;17:30:00;67,38;67,42;67,36;67,39;3.956.130,00;58.700
VALE3;05/06/2023;16:50:00;67,29;67,38;67,29;67,38;146.118.020,00;2.168.800
VALE3;05/06/2023;16:45:00;67,26;67,32;67,24;67,29;32.739.425,00;486.600
VALE3;05/06/2023;16:40:00;67,25;67,30;67,23;67,26;10.413.828,00;154.800
VALE3;05/06/2023;16:35:00;67,28;67,29;67,21;67,25;18.168.698,00;270.200
VALE3;05/06/2023;16:30:00;67,34;67,38;67,26;67,29;29.110.378,00;432.300
VALE3;05/06/2023;16:25:00;67,24;67,37;67,22;67,36;13.137.765,00;195.200
VALE3;05/06/2023;16:20:00;67,20;67,28;67,20;67,26;19.366.688,00;288.000
VALE3;05/06/2023;16:15:00;67,33;67,33;67,20;67,20;6.375.422,00;94.800
VALE3;05/06/2023;16:10:00;67,24;67,35;67,21;67,33;9.705.681,00;144.300
VALE3;05/06/2023;16:05:00;67,23;67,30;67,21;67,24;6.348.865,00;94.400
VALE3;05/06/2023;16:00:00;67,27;67,32;67,21;67,23;9.526.082,00;141.600
VALE3;05/06/2023;15:55:00;67,27;67,32;67,24;67,28;17.985.514,00;267.300
VALE3;05/06/2023;15:50:00;67,26;67,30;67,19;67,27;30.825.436,00;458.400
VALE3;05/06/2023;15:45:00;67,33;67,33;67,22;67,26;19.906.964,00;295.900
VALE3;05/06/2023;15:40:00;67,36;67,41;67,30;67,32;21.043.367,00;312.500
VALE3;05/06/2023;15:35:00;67,32;67,39;67,32;67,36;7.476.541,00;111.000
VALE3;05/06/2023;15:30:00;67,34;67,38;67,30;67,34;5.629.492,00;83.600
VALE3;05/06/2023;15:25:00;67,27;67,38;67,24;67,34;13.470.817,00;200.100
VALE3;05/06/2023;15:20:00;67,21;67,28;67,20;67,27;4.309.698,00;64.100
