Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VBBR3;06/06/2023;11:20:00;17,15;17,16;17,13;17,15;324.051,00;18.900
VBBR3;06/06/2023;11:15:00;17,19;17,20;17,14;17,15;850.062,00;49.500
VBBR3;06/06/2023;11:10:00;17,18;17,20;17,16;17,19;352.164,00;20.500
VBBR3;06/06/2023;11:05:00;17,13;17,25;17,13;17,17;1.456.468,00;84.700
VBBR3;06/06/2023;11:00:00;17,11;17,16;17,11;17,13;743.853,00;43.400
VBBR3;06/06/2023;10:55:00;17,09;17,12;17,09;17,12;479.044,00;28.000
VBBR3;06/06/2023;10:50:00;17,15;17,16;17,08;17,09;738.905,00;43.200
VBBR3;06/06/2023;10:45:00;17,17;17,17;17,13;17,16;687.571,00;40.100
VBBR3;06/06/2023;10:40:00;17,17;17,18;17,14;17,18;317.335,00;18.500
VBBR3;06/06/2023;10:35:00;17,13;17,19;17,11;17,18;533.390,00;31.100
VBBR3;06/06/2023;10:30:00;17,06;17,18;17,06;17,13;997.058,00;58.200
VBBR3;06/06/2023;10:25:00;17,17;17,20;17,05;17,06;2.923.001,00;170.600
VBBR3;06/06/2023;10:20:00;17,18;17,19;17,14;17,17;767.382,00;44.700
VBBR3;06/06/2023;10:15:00;17,17;17,21;17,14;17,19;767.507,00;44.700
VBBR3;06/06/2023;10:10:00;17,24;17,25;17,16;17,18;493.987,00;28.700
VBBR3;06/06/2023;10:05:00;17,15;17,26;17,15;17,24;687.229,00;39.900
VBBR3;06/06/2023;10:00:00;17,17;17,17;17,10;17,14;332.591,00;19.400
VBBR3;05/06/2023;17:30:00;17,02;17,06;17,00;17,02;120.908,00;7.100
VBBR3;05/06/2023;16:50:00;17,07;17,08;17,02;17,02;80.555.587,00;4.722.200
VBBR3;05/06/2023;16:45:00;17,09;17,10;17,04;17,07;2.995.469,00;175.500
VBBR3;05/06/2023;16:40:00;17,06;17,10;17,03;17,09;4.355.607,00;255.100
VBBR3;05/06/2023;16:35:00;17,07;17,09;17,03;17,07;2.343.740,00;137.400
VBBR3;05/06/2023;16:30:00;17,07;17,12;17,06;17,06;5.489.003,00;321.200
VBBR3;05/06/2023;16:25:00;17,06;17,07;17,03;17,06;2.535.063,00;148.700
VBBR3;05/06/2023;16:20:00;17,03;17,07;17,03;17,06;2.727.346,00;159.900
VBBR3;05/06/2023;16:15:00;17,03;17,05;17,02;17,04;2.109.265,00;123.800
VBBR3;05/06/2023;16:10:00;17,00;17,03;16,98;17,03;2.589.316,00;152.300
VBBR3;05/06/2023;16:05:00;16,95;17,00;16,95;17,00;1.514.430,00;89.200
VBBR3;05/06/2023;16:00:00;16,95;16,98;16,95;16,95;1.391.211,00;82.000
VBBR3;05/06/2023;15:55:00;16,99;17,00;16,95;16,95;1.427.294,00;84.100
VBBR3;05/06/2023;15:50:00;16,98;17,01;16,98;16,99;1.513.841,00;89.100
VBBR3;05/06/2023;15:45:00;16,95;16,99;16,94;16,98;5.003.917,00;294.800
VBBR3;05/06/2023;15:40:00;16,95;16,99;16,95;16,95;1.842.194,00;108.600
VBBR3;05/06/2023;15:35:00;16,97;17,01;16,93;16,96;1.866.880,00;110.000
VBBR3;05/06/2023;15:30:00;17,08;17,08;16,97;16,97;1.124.550,00;66.000
VBBR3;05/06/2023;15:25:00;17,07;17,08;17,05;17,08;1.390.750,00;81.500
VBBR3;05/06/2023;15:20:00;17,07;17,09;17,05;17,07;846.623,00;49.600
VBBR3;05/06/2023;15:15:00;17,07;17,08;17,05;17,08;503.426,00;29.500
VBBR3;05/06/2023;15:10:00;17,07;17,07;17,05;17,06;255.960,00;15.000
VBBR3;05/06/2023;15:05:00;17,09;17,09;17,05;17,07;675.704,00;39.600
VBBR3;05/06/2023;15:00:00;17,10;17,14;17,07;17,09;3.261.278,00;190.600
VBBR3;05/06/2023;14:55:00;17,09;17,13;17,09;17,10;821.041,00;48.000
VBBR3;05/06/2023;14:50:00;17,09;17,12;17,09;17,10;559.197,00;32.700
VBBR3;05/06/2023;14:45:00;17,09;17,10;17,08;17,09;589.776,00;34.500
VBBR3;05/06/2023;14:40:00;17,02;17,09;17,02;17,08;827.229,00;48.500
VBBR3;05/06/2023;14:35:00;17,10;17,11;17,02;17,02;1.252.099,00;73.400
VBBR3;05/06/2023;14:30:00;17,07;17,11;17,07;17,10;458.023,00;26.800
