Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIIA3;05/06/2023;17:30:00;2,25;2,26;2,24;2,26;1.406.456,00;625.000
VIIA3;05/06/2023;16:50:00;2,25;2,26;2,24;2,26;8.229.628,00;3.643.800
VIIA3;05/06/2023;16:45:00;2,25;2,26;2,25;2,26;1.110.428,00;492.300
VIIA3;05/06/2023;16:40:00;2,25;2,26;2,25;2,25;940.018,00;417.600
VIIA3;05/06/2023;16:35:00;2,26;2,26;2,25;2,25;842.822,00;374.500
VIIA3;05/06/2023;16:30:00;2,25;2,26;2,24;2,26;3.891.444,00;1.729.100
VIIA3;05/06/2023;16:25:00;2,25;2,25;2,24;2,25;608.930,00;271.300
VIIA3;05/06/2023;16:20:00;2,24;2,25;2,24;2,24;486.260,00;216.700
VIIA3;05/06/2023;16:15:00;2,24;2,25;2,24;2,25;350.754,00;156.200
VIIA3;05/06/2023;16:10:00;2,25;2,25;2,24;2,25;503.723,00;224.000
VIIA3;05/06/2023;16:05:00;2,25;2,25;2,24;2,24;102.985,00;45.900
VIIA3;05/06/2023;16:00:00;2,24;2,25;2,24;2,25;3.045.820,00;1.353.800
VIIA3;05/06/2023;15:55:00;2,25;2,26;2,24;2,24;892.432,00;396.700
VIIA3;05/06/2023;15:50:00;2,24;2,26;2,24;2,26;2.279.811,00;1.013.300
VIIA3;05/06/2023;15:45:00;2,24;2,25;2,24;2,24;314.280,00;140.200
VIIA3;05/06/2023;15:40:00;2,24;2,25;2,24;2,24;260.406,00;116.000
VIIA3;05/06/2023;15:35:00;2,25;2,25;2,24;2,24;208.451,00;93.000
VIIA3;05/06/2023;15:30:00;2,24;2,25;2,24;2,24;269.694,00;120.300
VIIA3;05/06/2023;15:25:00;2,25;2,25;2,24;2,25;260.938,00;116.300
VIIA3;05/06/2023;15:20:00;2,25;2,25;2,24;2,25;702.984,00;312.600
VIIA3;05/06/2023;15:15:00;2,24;2,25;2,24;2,25;4.092.439,00;1.823.900
VIIA3;05/06/2023;15:10:00;2,25;2,26;2,24;2,24;2.796.026,00;1.243.700
VIIA3;05/06/2023;15:05:00;2,26;2,27;2,25;2,25;1.288.229,00;570.000
