Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIVA3;16/06/2023;16:45:00;27,79;27,88;27,74;27,88;14.930.031,00;535.700
VIVA3;16/06/2023;16:40:00;27,83;27,83;27,74;27,78;2.200.791,00;79.200
VIVA3;16/06/2023;16:35:00;27,76;27,85;27,75;27,83;1.610.010,00;57.900
VIVA3;16/06/2023;16:30:00;27,76;27,88;27,73;27,76;4.128.982,00;148.500
VIVA3;16/06/2023;16:25:00;27,79;27,80;27,72;27,78;1.772.899,00;63.800
VIVA3;16/06/2023;16:20:00;27,78;27,80;27,75;27,79;283.380,00;10.200
VIVA3;16/06/2023;16:15:00;27,85;27,87;27,78;27,78;1.040.548,00;37.400
VIVA3;16/06/2023;16:10:00;27,75;27,89;27,74;27,86;247.704,00;8.900
VIVA3;16/06/2023;16:05:00;27,79;27,80;27,73;27,75;366.521,00;13.200
VIVA3;16/06/2023;16:00:00;27,69;27,80;27,66;27,79;1.348.126,00;48.600
VIVA3;16/06/2023;15:55:00;27,69;27,71;27,67;27,71;238.092,00;8.600
VIVA3;16/06/2023;15:50:00;27,70;27,72;27,67;27,67;227.078,00;8.200
VIVA3;16/06/2023;15:45:00;27,68;27,73;27,68;27,70;240.987,00;8.700
VIVA3;16/06/2023;15:40:00;27,69;27,72;27,67;27,68;204.898,00;7.400
VIVA3;16/06/2023;15:35:00;27,69;27,75;27,68;27,71;629.071,00;22.700
VIVA3;16/06/2023;15:30:00;27,72;27,75;27,68;27,70;246.620,00;8.900
VIVA3;16/06/2023;15:25:00;27,65;27,74;27,65;27,71;346.269,00;12.500
VIVA3;16/06/2023;15:20:00;27,73;27,73;27,65;27,65;509.392,00;18.400
VIVA3;16/06/2023;15:15:00;27,73;27,76;27,71;27,71;346.684,00;12.500
VIVA3;16/06/2023;15:10:00;27,73;27,77;27,72;27,73;618.600,00;22.300
VIVA3;16/06/2023;15:05:00;27,83;27,85;27,71;27,73;527.682,00;19.000
VIVA3;16/06/2023;15:00:00;27,70;27,88;27,70;27,83;1.254.448,00;45.200
VIVA3;16/06/2023;14:55:00;27,72;27,74;27,68;27,71;371.407,00;13.400
VIVA3;16/06/2023;14:50:00;27,77;27,81;27,71;27,71;410.736,00;14.800
VIVA3;16/06/2023;14:45:00;27,76;27,82;27,75;27,77;416.868,00;15.000
VIVA3;16/06/2023;14:40:00;27,80;27,85;27,74;27,75;1.927.145,00;69.300
VIVA3;16/06/2023;14:35:00;27,86;27,86;27,77;27,78;651.185,00;23.400
VIVA3;16/06/2023;14:30:00;27,79;27,86;27,79;27,86;306.023,00;11.000
VIVA3;16/06/2023;14:25:00;27,80;27,83;27,76;27,78;316.818,00;11.400
VIVA3;16/06/2023;14:20:00;27,79;27,82;27,77;27,80;350.190,00;12.600
VIVA3;16/06/2023;14:15:00;27,79;27,83;27,75;27,79;311.249,00;11.200
