Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIVR3;06/06/2023;11:20:00;0,37;0,37;0,37;0,37;32.042,00;86.600
VIVR3;06/06/2023;11:15:00;0,37;0,38;0,37;0,38;38.094,00;102.900
VIVR3;06/06/2023;11:10:00;0,37;0,38;0,37;0,37;6.702,00;18.100
VIVR3;06/06/2023;11:05:00;0,38;0,38;0,38;0,38;3.116,00;8.200
VIVR3;06/06/2023;11:00:00;0,38;0,38;0,37;0,38;42.474,00;114.600
VIVR3;06/06/2023;10:55:00;0,38;0,38;0,37;0,37;21.914,00;59.200
VIVR3;06/06/2023;10:50:00;0,37;0,38;0,37;0,37;13.414,00;35.500
VIVR3;06/06/2023;10:45:00;0,38;0,38;0,37;0,38;24.348,00;64.100
VIVR3;06/06/2023;10:40:00;0,38;0,38;0,37;0,37;28.347,00;76.100
VIVR3;06/06/2023;10:35:00;0,37;0,38;0,37;0,38;15.274,00;40.300
VIVR3;06/06/2023;10:30:00;0,38;0,38;0,37;0,38;13.953,00;37.300
VIVR3;06/06/2023;10:25:00;0,37;0,38;0,37;0,38;39.955,00;107.500
VIVR3;06/06/2023;10:20:00;0,38;0,38;0,37;0,38;94.923,00;254.700
VIVR3;06/06/2023;10:15:00;0,39;0,39;0,37;0,38;690.252,00;1.814.900
VIVR3;06/06/2023;10:10:00;0,37;0,39;0,37;0,39;631.461,00;1.680.100
VIVR3;06/06/2023;10:05:00;0,37;0,38;0,36;0,37;351.857,00;947.600
VIVR3;06/06/2023;10:00:00;0,36;0,37;0,36;0,37;879.659,00;2.424.500
VIVR3;05/06/2023;16:50:00;0,35;0,35;0,35;0,35;57.120,00;163.200
VIVR3;05/06/2023;16:45:00;0,36;0,36;0,35;0,36;96.969,00;276.800
VIVR3;05/06/2023;16:40:00;0,36;0,36;0,35;0,35;16.476,00;46.600
VIVR3;05/06/2023;16:35:00;0,35;0,36;0,34;0,36;28.794,00;82.000
VIVR3;05/06/2023;16:30:00;0,35;0,35;0,34;0,35;12.424,00;35.500
VIVR3;05/06/2023;16:25:00;0,35;0,35;0,34;0,34;1.679,00;4.800
VIVR3;05/06/2023;16:20:00;0,35;0,35;0,35;0,35;16.905,00;48.300
VIVR3;05/06/2023;16:15:00;0,35;0,35;0,35;0,35;127.365,00;363.900
VIVR3;05/06/2023;16:10:00;0,35;0,35;0,35;0,35;1.645,00;4.700
VIVR3;05/06/2023;16:05:00;0,35;0,35;0,35;0,35;3.850,00;11.000
VIVR3;05/06/2023;16:00:00;0,35;0,35;0,35;0,35;10.920,00;31.200
VIVR3;05/06/2023;15:55:00;0,35;0,35;0,35;0,35;2.695,00;7.700
VIVR3;05/06/2023;15:50:00;0,35;0,35;0,35;0,35;6.755,00;19.300
VIVR3;05/06/2023;15:45:00;0,35;0,35;0,34;0,34;11.979,00;34.600
VIVR3;05/06/2023;15:40:00;0,36;0,36;0,35;0,35;51.463,00;146.900
VIVR3;05/06/2023;15:35:00;0,36;0,36;0,36;0,36;3.852,00;10.700
VIVR3;05/06/2023;15:30:00;0,36;0,36;0,35;0,35;25.749,00;72.500
VIVR3;05/06/2023;15:25:00;0,35;0,36;0,35;0,35;43.942,00;125.400
VIVR3;05/06/2023;15:20:00;0,36;0,36;0,35;0,36;8.360,00;23.500
VIVR3;05/06/2023;15:15:00;0,36;0,36;0,35;0,36;9.163,00;25.500
VIVR3;05/06/2023;15:10:00;0,35;0,36;0,35;0,36;3.130,00;8.800
VIVR3;05/06/2023;15:05:00;0,36;0,36;0,35;0,35;3.876,00;10.800
VIVR3;05/06/2023;15:00:00;0,35;0,36;0,35;0,36;65.322,00;186.500
VIVR3;05/06/2023;14:55:00;0,34;0,35;0,34;0,35;8.017,00;23.000
VIVR3;05/06/2023;14:50:00;0,35;0,35;0,35;0,35;3.570,00;10.200
VIVR3;05/06/2023;14:45:00;0,35;0,35;0,35;0,35;3.395,00;9.700
VIVR3;05/06/2023;14:40:00;0,35;0,35;0,35;0,35;47.075,00;134.500
VIVR3;05/06/2023;14:35:00;0,35;0,35;0,34;0,35;37.082,00;106.000
VIVR3;05/06/2023;14:30:00;0,35;0,36;0,35;0,35;571.756,00;1.633.300
VIVR3;05/06/2023;14:25:00;0,35;0,35;0,35;0,35;70,00;200
VIVR3;05/06/2023;14:20:00;0,34;0,35;0,34;0,35;13.722,00;39.400
VIVR3;05/06/2023;14:15:00;0,35;0,35;0,34;0,35;2.514,00;7.200
