Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIVT3;06/06/2023;11:20:00;41,31;41,42;41,30;41,40;1.071.318,00;25.900
VIVT3;06/06/2023;11:15:00;41,44;41,44;41,34;41,35;666.238,00;16.100
VIVT3;06/06/2023;11:10:00;41,49;41,50;41,44;41,48;377.332,00;9.100
VIVT3;06/06/2023;11:05:00;41,31;41,49;41,31;41,47;819.269,00;19.800
VIVT3;06/06/2023;11:00:00;41,26;41,34;41,26;41,31;681.516,00;16.500
VIVT3;06/06/2023;10:55:00;41,28;41,29;41,15;41,25;1.635.288,00;39.700
VIVT3;06/06/2023;10:50:00;41,28;41,32;41,22;41,27;280.666,00;6.800
VIVT3;06/06/2023;10:45:00;41,27;41,31;41,24;41,28;321.883,00;7.800
VIVT3;06/06/2023;10:40:00;41,28;41,30;41,23;41,28;453.929,00;11.000
VIVT3;06/06/2023;10:35:00;41,23;41,33;41,21;41,27;470.462,00;11.400
VIVT3;06/06/2023;10:30:00;41,11;41,29;41,10;41,23;848.841,00;20.600
VIVT3;06/06/2023;10:25:00;41,18;41,28;41,10;41,10;494.287,00;12.000
VIVT3;06/06/2023;10:20:00;41,20;41,23;41,15;41,17;242.924,00;5.900
VIVT3;06/06/2023;10:15:00;41,21;41,24;41,14;41,20;358.287,00;8.700
VIVT3;06/06/2023;10:10:00;41,46;41,46;41,20;41,23;789.011,00;19.100
VIVT3;06/06/2023;10:05:00;41,46;41,57;41,39;41,46;734.048,00;17.700
VIVT3;06/06/2023;10:00:00;41,41;41,46;41,30;41,46;252.572,00;6.100
VIVT3;05/06/2023;17:30:00;41,24;41,38;41,24;41,38;289.306,00;7.000
VIVT3;05/06/2023;16:50:00;41,27;41,30;41,16;41,27;6.801.001,00;164.800
VIVT3;05/06/2023;16:45:00;41,23;41,29;41,19;41,26;548.529,00;13.300
VIVT3;05/06/2023;16:40:00;41,26;41,26;41,20;41,22;428.856,00;10.400
VIVT3;05/06/2023;16:35:00;41,20;41,26;41,17;41,26;1.268.577,00;30.800
VIVT3;05/06/2023;16:30:00;41,30;41,36;41,19;41,20;1.266.765,00;30.700
VIVT3;05/06/2023;16:25:00;41,28;41,30;41,25;41,29;833.936,00;20.200
VIVT3;05/06/2023;16:20:00;41,24;41,29;41,23;41,28;437.415,00;10.600
VIVT3;05/06/2023;16:15:00;41,28;41,30;41,24;41,26;371.327,00;9.000
VIVT3;05/06/2023;16:10:00;41,25;41,31;41,23;41,30;499.255,00;12.100
VIVT3;05/06/2023;16:05:00;41,23;41,28;41,19;41,25;552.655,00;13.400
VIVT3;05/06/2023;16:00:00;41,29;41,33;41,22;41,24;557.159,00;13.500
VIVT3;05/06/2023;15:55:00;41,31;41,33;41,27;41,30;479.020,00;11.600
VIVT3;05/06/2023;15:50:00;41,21;41,31;41,20;41,31;730.087,00;17.700
VIVT3;05/06/2023;15:45:00;41,21;41,22;41,18;41,20;313.142,00;7.600
VIVT3;05/06/2023;15:40:00;41,28;41,31;41,17;41,19;391.711,00;9.500
VIVT3;05/06/2023;15:35:00;41,23;41,32;41,22;41,32;697.372,00;16.900
VIVT3;05/06/2023;15:30:00;41,21;41,25;41,14;41,23;395.527,00;9.600
VIVT3;05/06/2023;15:25:00;41,21;41,23;41,16;41,20;683.799,00;16.600
VIVT3;05/06/2023;15:20:00;41,24;41,24;41,19;41,24;321.457,00;7.800
VIVT3;05/06/2023;15:15:00;41,22;41,25;41,19;41,25;544.181,00;13.200
VIVT3;05/06/2023;15:10:00;41,18;41,23;41,16;41,21;251.231,00;6.100
VIVT3;05/06/2023;15:05:00;41,20;41,20;41,16;41,17;247.024,00;6.000
VIVT3;05/06/2023;15:00:00;41,13;41,26;41,13;41,20;1.132.537,00;27.500
VIVT3;05/06/2023;14:55:00;41,12;41,16;41,10;41,13;834.863,00;20.300
VIVT3;05/06/2023;14:50:00;41,13;41,19;41,10;41,11;1.394.853,00;33.900
VIVT3;05/06/2023;14:45:00;41,20;41,23;41,12;41,13;1.099.214,00;26.700
VIVT3;05/06/2023;14:40:00;41,16;41,21;41,13;41,21;267.640,00;6.500
VIVT3;05/06/2023;14:35:00;41,21;41,21;41,15;41,16;292.323,00;7.100
VIVT3;05/06/2023;14:30:00;41,23;41,23;41,18;41,21;403.811,00;9.800
VIVT3;05/06/2023;14:25:00;41,22;41,23;41,21;41,22;214.335,00;5.200
VIVT3;05/06/2023;14:20:00;41,30;41,31;41,22;41,22;1.010.710,00;24.500
VIVT3;05/06/2023;14:15:00;41,32;41,32;41,30;41,30;408.989,00;9.900
VIVT3;05/06/2023;14:10:00;41,32;41,33;41,31;41,33;297.531,00;7.200
VIVT3;05/06/2023;14:05:00;41,35;41,35;41,30;41,32;347.167,00;8.400
VIVT3;05/06/2023;14:00:00;41,32;41,38;41,32;41,35;690.559,00;16.700
VIVT3;05/06/2023;13:55:00;41,34;41,35;41,30;41,34;747.972,00;18.100
VIVT3;05/06/2023;13:50:00;41,35;41,37;41,31;41,31;735.960,00;17.800
VIVT3;05/06/2023;13:45:00;41,39;41,41;41,34;41,36;591.645,00;14.300
VIVT3;05/06/2023;13:40:00;41,39;41,41;41,39;41,41;235.981,00;5.700
VIVT3;05/06/2023;13:35:00;41,41;41,43;41,38;41,40;782.531,00;18.900
VIVT3;05/06/2023;13:30:00;41,44;41,46;41,38;41,43;728.896,00;17.600
VIVT3;05/06/2023;13:25:00;41,44;41,47;41,43;41,44;451.794,00;10.900
VIVT3;05/06/2023;13:20:00;41,43;41,48;41,43;41,44;816.645,00;19.700
VIVT3;05/06/2023;13:15:00;41,45;41,46;41,42;41,45;501.491,00;12.100
VIVT3;05/06/2023;13:10:00;41,49;41,50;41,43;41,47;481.096,00;11.600
VIVT3;05/06/2023;13:05:00;41,46;41,50;41,46;41,50;319.440,00;7.700
VIVT3;05/06/2023;13:00:00;41,49;41,52;41,46;41,48;423.180,00;10.200
VIVT3;05/06/2023;12:55:00;41,43;41,51;41,43;41,51;435.398,00;10.500
VIVT3;05/06/2023;12:50:00;41,43;41,46;41,42;41,45;302.502,00;7.300
VIVT3;05/06/2023;12:45:00;41,41;41,46;41,41;41,43;269.315,00;6.500
VIVT3;05/06/2023;12:40:00;41,48;41,48;41,41;41,44;377.199,00;9.100
VIVT3;05/06/2023;12:35:00;41,44;41,54;41,44;41,48;746.979,00;18.000
VIVT3;05/06/2023;12:30:00;41,44;41,49;41,43;41,45;418.725,00;10.100
VIVT3;05/06/2023;12:25:00;41,38;41,46;41,38;41,46;352.035,00;8.500
VIVT3;05/06/2023;12:20:00;41,42;41,43;41,38;41,40;277.448,00;6.700
VIVT3;05/06/2023;12:15:00;41,44;41,46;41,40;41,42;256.857,00;6.200
VIVT3;05/06/2023;12:10:00;41,44;41,45;41,42;41,44;203.051,00;4.900
VIVT3;05/06/2023;12:05:00;41,46;41,47;41,44;41,44;290.200,00;7.000
VIVT3;05/06/2023;12:00:00;41,50;41,52;41,45;41,47;278.018,00;6.700
VIVT3;05/06/2023;11:55:00;41,50;41,53;41,48;41,48;967.156,00;23.300
VIVT3;05/06/2023;11:50:00;41,52;41,53;41,48;41,50;369.425,00;8.900
VIVT3;05/06/2023;11:45:00;41,50;41,55;41,46;41,54;336.204,00;8.100
VIVT3;05/06/2023;11:40:00;41,52;41,55;41,47;41,52;1.017.138,00;24.500
VIVT3;05/06/2023;11:35:00;41,49;41,55;41,47;41,52;464.917,00;11.200
VIVT3;05/06/2023;11:30:00;41,45;41,51;41,43;41,51;244.608,00;5.900
VIVT3;05/06/2023;11:25:00;41,40;41,49;41,38;41,45;314.907,00;7.600
