Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VLID3;06/06/2023;11:20:00;15,13;15,13;15,13;15,13;1.513,00;100
VLID3;06/06/2023;11:15:00;15,10;15,12;15,10;15,12;164.618,00;10.900
VLID3;06/06/2023;11:10:00;15,01;15,10;15,01;15,09;39.163,00;2.600
VLID3;06/06/2023;11:05:00;14,94;15,04;14,93;15,04;48.006,00;3.200
VLID3;06/06/2023;11:00:00;14,85;14,93;14,85;14,92;55.058,00;3.700
VLID3;06/06/2023;10:55:00;15,01;15,01;14,85;14,85;519.607,00;34.800
VLID3;06/06/2023;10:50:00;15,07;15,08;15,02;15,02;180.886,00;12.000
VLID3;06/06/2023;10:45:00;15,03;15,07;15,03;15,07;93.324,00;6.200
VLID3;06/06/2023;10:40:00;14,99;15,08;14,99;15,02;536.108,00;35.700
VLID3;06/06/2023;10:35:00;14,89;14,99;14,85;14,99;736.960,00;49.300
VLID3;06/06/2023;10:30:00;14,93;14,95;14,85;14,88;411.127,00;27.600
VLID3;06/06/2023;10:25:00;14,90;14,96;14,90;14,96;26.856,00;1.800
VLID3;06/06/2023;10:20:00;14,79;14,93;14,79;14,90;203.260,00;13.700
VLID3;06/06/2023;10:15:00;14,75;14,81;14,75;14,79;149.391,00;10.100
VLID3;06/06/2023;10:10:00;14,83;14,83;14,83;14,83;2.966,00;200
VLID3;06/06/2023;10:05:00;14,86;14,89;14,80;14,80;60.904,00;4.100
VLID3;06/06/2023;10:00:00;14,78;14,91;14,78;14,91;50.358,00;3.400
VLID3;05/06/2023;16:50:00;14,73;14,75;14,66;14,75;256.568,00;17.400
VLID3;05/06/2023;16:45:00;14,71;14,72;14,71;14,71;7.358,00;500
VLID3;05/06/2023;16:40:00;14,72;14,72;14,72;14,72;10.304,00;700
VLID3;05/06/2023;16:35:00;14,72;14,72;14,70;14,70;69.142,00;4.700
VLID3;05/06/2023;16:30:00;14,75;14,75;14,72;14,72;154.778,00;10.500
VLID3;05/06/2023;16:25:00;14,74;14,75;14,74;14,75;11.796,00;800
VLID3;05/06/2023;16:20:00;14,71;14,75;14,70;14,74;122.322,00;8.300
VLID3;05/06/2023;16:15:00;14,71;14,71;14,71;14,71;8.826,00;600
VLID3;05/06/2023;16:10:00;14,68;14,71;14,68;14,71;44.092,00;3.000
VLID3;05/06/2023;16:05:00;14,68;14,69;14,67;14,69;70.500,00;4.800
VLID3;05/06/2023;16:00:00;14,69;14,69;14,68;14,68;30.847,00;2.100
VLID3;05/06/2023;15:55:00;14,70;14,70;14,68;14,69;14.692,00;1.000
VLID3;05/06/2023;15:50:00;14,69;14,71;14,68;14,68;38.213,00;2.600
VLID3;05/06/2023;15:45:00;14,70;14,70;14,67;14,68;27.901,00;1.900
VLID3;05/06/2023;15:40:00;14,67;14,71;14,67;14,70;52.900,00;3.600
VLID3;05/06/2023;15:35:00;14,69;14,69;14,64;14,65;22.009,00;1.500
VLID3;05/06/2023;15:30:00;14,69;14,69;14,67;14,68;29.363,00;2.000
VLID3;05/06/2023;15:25:00;14,70;14,70;14,68;14,70;26.444,00;1.800
VLID3;05/06/2023;15:20:00;14,71;14,71;14,68;14,69;45.554,00;3.100
VLID3;05/06/2023;15:15:00;14,71;14,71;14,69;14,71;38.219,00;2.600
VLID3;05/06/2023;15:10:00;14,70;14,71;14,70;14,71;16.174,00;1.100
VLID3;05/06/2023;15:05:00;14,71;14,72;14,69;14,69;39.705,00;2.700
VLID3;05/06/2023;15:00:00;14,69;14,72;14,69;14,71;147.022,00;10.000
VLID3;05/06/2023;14:55:00;14,67;14,70;14,66;14,68;82.226,00;5.600
VLID3;05/06/2023;14:50:00;14,64;14,68;14,64;14,67;54.224,00;3.700
VLID3;05/06/2023;14:45:00;14,63;14,64;14,63;14,63;32.201,00;2.200
VLID3;05/06/2023;14:40:00;14,63;14,65;14,62;14,62;23.422,00;1.600
VLID3;05/06/2023;14:35:00;14,62;14,63;14,62;14,62;8.775,00;600
VLID3;05/06/2023;14:30:00;14,62;14,62;14,62;14,62;1.462,00;100
VLID3;05/06/2023;14:25:00;14,64;14,64;14,63;14,63;21.955,00;1.500
VLID3;05/06/2023;14:20:00;14,62;14,63;14,61;14,63;17.546,00;1.200
VLID3;05/06/2023;14:15:00;14,64;14,64;14,60;14,61;43.852,00;3.000
VLID3;05/06/2023;14:10:00;14,66;14,66;14,64;14,65;23.445,00;1.600
VLID3;05/06/2023;14:05:00;14,65;14,66;14,64;14,65;14.650,00;1.000
VLID3;05/06/2023;14:00:00;14,66;14,69;14,66;14,67;58.721,00;4.000
VLID3;05/06/2023;13:55:00;14,59;14,66;14,58;14,64;396.420,00;27.100
VLID3;05/06/2023;13:50:00;14,57;14,60;14,57;14,58;84.575,00;5.800
VLID3;05/06/2023;13:45:00;14,57;14,57;14,57;14,57;2.914,00;200
VLID3;05/06/2023;13:40:00;14,56;14,58;14,56;14,56;23.303,00;1.600
VLID3;05/06/2023;13:35:00;14,51;14,54;14,50;14,54;39.194,00;2.700
VLID3;05/06/2023;13:30:00;14,53;14,53;14,49;14,51;37.734,00;2.600
VLID3;05/06/2023;13:25:00;14,57;14,60;14,54;14,56;129.701,00;8.900
VLID3;05/06/2023;13:20:00;14,51;14,54;14,51;14,53;10.163,00;700
VLID3;05/06/2023;13:15:00;14,48;14,55;14,48;14,52;127.652,00;8.800
VLID3;05/06/2023;13:10:00;14,41;14,46;14,40;14,46;43.237,00;3.000
VLID3;05/06/2023;13:05:00;14,38;14,39;14,38;14,39;7.191,00;500
VLID3;05/06/2023;13:00:00;14,39;14,39;14,38;14,38;11.509,00;800
VLID3;05/06/2023;12:55:00;14,37;14,40;14,37;14,40;28.789,00;2.000
VLID3;05/06/2023;12:50:00;14,36;14,37;14,35;14,36;38.761,00;2.700
VLID3;05/06/2023;12:45:00;14,34;14,36;14,34;14,36;8.612,00;600
VLID3;05/06/2023;12:40:00;14,33;14,35;14,33;14,34;8.603,00;600
VLID3;05/06/2023;12:35:00;14,31;14,32;14,29;14,32;70.101,00;4.900
VLID3;05/06/2023;12:30:00;14,32;14,32;14,32;14,32;5.728,00;400
VLID3;05/06/2023;12:20:00;14,34;14,34;14,30;14,30;28.655,00;2.000
VLID3;05/06/2023;12:15:00;14,35;14,35;14,34;14,35;10.044,00;700
VLID3;05/06/2023;12:05:00;14,36;14,39;14,30;14,31;83.198,00;5.800
VLID3;05/06/2023;12:00:00;14,35;14,37;14,35;14,35;22.972,00;1.600
VLID3;05/06/2023;11:55:00;14,34;14,34;14,34;14,34;1.434,00;100
VLID3;05/06/2023;11:50:00;14,35;14,35;14,34;14,35;4.304,00;300
VLID3;05/06/2023;11:45:00;14,27;14,33;14,27;14,33;24.305,00;1.700
VLID3;05/06/2023;11:40:00;14,26;14,29;14,26;14,27;19.976,00;1.400
VLID3;05/06/2023;11:35:00;14,31;14,31;14,25;14,26;112.897,00;7.900
VLID3;05/06/2023;11:30:00;14,34;14,34;14,31;14,31;22.934,00;1.600
VLID3;05/06/2023;11:20:00;14,33;14,36;14,33;14,35;20.078,00;1.400
VLID3;05/06/2023;11:15:00;14,34;14,34;14,32;14,32;10.035,00;700
VLID3;05/06/2023;11:10:00;14,38;14,40;14,33;14,33;50.306,00;3.500
VLID3;05/06/2023;11:05:00;14,35;14,39;14,35;14,39;20.110,00;1.400
VLID3;05/06/2023;11:00:00;14,36;14,41;14,32;14,37;110.421,00;7.700
VLID3;05/06/2023;10:55:00;14,39;14,40;14,39;14,40;12.952,00;900
VLID3;05/06/2023;10:50:00;14,40;14,40;14,40;14,40;4.320,00;300
VLID3;05/06/2023;10:45:00;14,40;14,50;14,37;14,39;95.277,00;6.600
VLID3;05/06/2023;10:40:00;14,42;14,42;14,38;14,39;28.817,00;2.000
VLID3;05/06/2023;10:35:00;14,41;14,41;14,41;14,41;1.441,00;100
VLID3;05/06/2023;10:30:00;14,35;14,42;14,35;14,42;47.480,00;3.300
VLID3;05/06/2023;10:25:00;14,35;14,35;14,35;14,35;8.610,00;600
VLID3;05/06/2023;10:20:00;14,26;14,35;14,26;14,35;20.017,00;1.400
VLID3;05/06/2023;10:15:00;14,22;14,26;14,21;14,26;29.859,00;2.100
VLID3;05/06/2023;10:10:00;14,23;14,23;14,20;14,23;25.587,00;1.800
