Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VULC3;06/06/2023;11:15:00;16,94;16,94;16,93;16,93;3.387,00;200
VULC3;06/06/2023;11:10:00;16,95;16,95;16,94;16,95;35.586,00;2.100
VULC3;06/06/2023;11:05:00;16,95;16,98;16,93;16,95;72.923,00;4.300
VULC3;06/06/2023;11:00:00;16,94;16,96;16,90;16,93;23.700,00;1.400
VULC3;06/06/2023;10:55:00;16,94;16,98;16,91;16,95;208.354,00;12.300
VULC3;06/06/2023;10:50:00;16,90;16,95;16,90;16,90;826.767,00;48.900
VULC3;06/06/2023;10:45:00;16,91;16,91;16,90;16,90;13.526,00;800
VULC3;06/06/2023;10:40:00;16,91;16,91;16,90;16,91;25.361,00;1.500
VULC3;06/06/2023;10:35:00;16,92;16,92;16,88;16,91;43.951,00;2.600
VULC3;06/06/2023;10:30:00;16,88;16,97;16,88;16,92;81.235,00;4.800
VULC3;06/06/2023;10:25:00;16,86;16,87;16,86;16,87;5.059,00;300
VULC3;06/06/2023;10:15:00;16,81;16,83;16,81;16,83;3.364,00;200
VULC3;06/06/2023;10:10:00;16,89;16,92;16,79;16,81;38.735,00;2.300
VULC3;06/06/2023;10:05:00;16,86;16,88;16,81;16,88;20.217,00;1.200
VULC3;06/06/2023;10:00:00;16,75;16,86;16,75;16,86;21.813,00;1.300
VULC3;05/06/2023;17:30:00;16,69;16,69;16,69;16,69;1.669,00;100
VULC3;05/06/2023;16:50:00;16,68;16,71;16,67;16,69;367.159,00;22.000
VULC3;05/06/2023;16:45:00;16,70;16,71;16,67;16,69;153.609,00;9.200
VULC3;05/06/2023;16:40:00;16,69;16,71;16,68;16,71;98.502,00;5.900
VULC3;05/06/2023;16:35:00;16,67;16,71;16,67;16,71;113.541,00;6.800
VULC3;05/06/2023;16:30:00;16,70;16,72;16,66;16,67;195.277,00;11.700
VULC3;05/06/2023;16:25:00;16,70;16,72;16,68;16,69;100.188,00;6.000
VULC3;05/06/2023;16:20:00;16,68;16,71;16,67;16,71;90.149,00;5.400
VULC3;05/06/2023;16:15:00;16,68;16,70;16,68;16,68;55.067,00;3.300
VULC3;05/06/2023;16:10:00;16,68;16,69;16,67;16,67;30.015,00;1.800
VULC3;05/06/2023;16:05:00;16,68;16,69;16,67;16,68;43.380,00;2.600
VULC3;05/06/2023;16:00:00;16,67;16,70;16,67;16,68;213.537,00;12.800
VULC3;05/06/2023;15:55:00;16,69;16,70;16,67;16,68;215.225,00;12.900
VULC3;05/06/2023;15:50:00;16,65;16,73;16,64;16,71;767.624,00;46.000
VULC3;05/06/2023;15:45:00;16,65;16,67;16,64;16,65;46.633,00;2.800
VULC3;05/06/2023;15:40:00;16,66;16,69;16,65;16,66;88.325,00;5.300
VULC3;05/06/2023;15:35:00;16,68;16,68;16,64;16,64;51.664,00;3.100
VULC3;05/06/2023;15:30:00;16,66;16,68;16,65;16,67;76.645,00;4.600
VULC3;05/06/2023;15:25:00;16,66;16,69;16,66;16,67;70.049,00;4.200
VULC3;05/06/2023;15:20:00;16,64;16,69;16,64;16,68;54.997,00;3.300
VULC3;05/06/2023;15:15:00;16,65;16,68;16,63;16,64;49.951,00;3.000
VULC3;05/06/2023;15:10:00;16,67;16,68;16,65;16,65;31.666,00;1.900
VULC3;05/06/2023;15:05:00;16,68;16,70;16,66;16,67;31.675,00;1.900
VULC3;05/06/2023;15:00:00;16,68;16,71;16,67;16,70;110.173,00;6.600
VULC3;05/06/2023;14:55:00;16,66;16,69;16,66;16,68;41.683,00;2.500
VULC3;05/06/2023;14:50:00;16,66;16,69;16,65;16,66;46.667,00;2.800
VULC3;05/06/2023;14:45:00;16,64;16,68;16,64;16,66;33.321,00;2.000
VULC3;05/06/2023;14:40:00;16,64;16,66;16,64;16,64;24.964,00;1.500
VULC3;05/06/2023;14:35:00;16,64;16,66;16,63;16,64;68.253,00;4.100
VULC3;05/06/2023;14:30:00;16,65;16,67;16,63;16,66;49.942,00;3.000
VULC3;05/06/2023;14:25:00;16,64;16,66;16,63;16,64;49.941,00;3.000
VULC3;05/06/2023;14:20:00;16,63;16,68;16,63;16,64;43.294,00;2.600
VULC3;05/06/2023;14:15:00;16,64;16,67;16,63;16,64;41.621,00;2.500
VULC3;05/06/2023;14:10:00;16,64;16,66;16,63;16,64;33.287,00;2.000
VULC3;05/06/2023;14:05:00;16,67;16,68;16,64;16,64;33.309,00;2.000
VULC3;05/06/2023;14:00:00;16,68;16,69;16,66;16,67;55.023,00;3.300
VULC3;05/06/2023;13:55:00;16,66;16,70;16,66;16,70;36.689,00;2.200
VULC3;05/06/2023;13:50:00;16,66;16,70;16,66;16,66;85.087,00;5.100
VULC3;05/06/2023;13:45:00;16,66;16,71;16,66;16,67;98.414,00;5.900
VULC3;05/06/2023;13:40:00;16,65;16,70;16,64;16,66;108.341,00;6.500
VULC3;05/06/2023;13:35:00;16,64;16,67;16,64;16,64;63.283,00;3.800
VULC3;05/06/2023;13:30:00;16,63;16,67;16,63;16,64;51.610,00;3.100
VULC3;05/06/2023;13:25:00;16,65;16,68;16,60;16,65;58.258,00;3.500
VULC3;05/06/2023;13:20:00;16,67;16,69;16,62;16,65;66.655,00;4.000
VULC3;05/06/2023;13:15:00;16,66;16,70;16,66;16,67;45.024,00;2.700
VULC3;05/06/2023;13:10:00;16,67;16,69;16,66;16,66;40.027,00;2.400
VULC3;05/06/2023;13:05:00;16,66;16,69;16,66;16,67;28.350,00;1.700
VULC3;05/06/2023;13:00:00;16,70;16,72;16,66;16,66;26.683,00;1.600
VULC3;05/06/2023;12:55:00;16,68;16,71;16,67;16,69;35.063,00;2.100
VULC3;05/06/2023;12:50:00;16,67;16,70;16,67;16,68;26.685,00;1.600
VULC3;05/06/2023;12:45:00;16,66;16,70;16,63;16,66;93.246,00;5.600
VULC3;05/06/2023;12:40:00;16,69;16,69;16,56;16,67;406.558,00;24.400
VULC3;05/06/2023;12:35:00;16,69;16,71;16,69;16,69;40.070,00;2.400
VULC3;05/06/2023;12:30:00;16,69;16,72;16,69;16,71;76.816,00;4.600
VULC3;05/06/2023;12:25:00;16,70;16,71;16,69;16,71;33.397,00;2.000
VULC3;05/06/2023;12:20:00;16,71;16,72;16,69;16,71;41.749,00;2.500
VULC3;05/06/2023;12:15:00;16,72;16,73;16,70;16,72;58.493,00;3.500
VULC3;05/06/2023;12:10:00;16,71;16,74;16,71;16,73;48.490,00;2.900
VULC3;05/06/2023;12:05:00;16,67;16,76;16,66;16,71;61.800,00;3.700
VULC3;05/06/2023;12:00:00;16,70;16,70;16,66;16,66;48.378,00;2.900
