Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;05/06/2023;15:40:00;4.948,000;4.949,000;4.946,000;4.946,000;435.740.860,00;8.808
WDOFUT;05/06/2023;15:35:00;4.947,000;4.949,000;4.945,000;4.948,500;1.072.613.665,00;21.681
WDOFUT;05/06/2023;15:30:00;4.944,000;4.947,000;4.943,500;4.947,000;1.083.031.455,00;21.899
WDOFUT;05/06/2023;15:25:00;4.945,000;4.947,000;4.944,000;4.944,000;1.162.323.430,00;23.501
WDOFUT;05/06/2023;15:20:00;4.943,000;4.946,000;4.941,000;4.945,000;1.116.488.565,00;22.583
WDOFUT;05/06/2023;15:15:00;4.943,000;4.944,000;4.942,000;4.943,000;564.681.715,00;11.424
WDOFUT;05/06/2023;15:10:00;4.943,500;4.944,500;4.942,000;4.943,000;702.455.465,00;14.210
WDOFUT;05/06/2023;15:05:00;4.940,500;4.944,500;4.940,000;4.944,000;1.295.935.290,00;26.218
WDOFUT;05/06/2023;15:00:00;4.938,500;4.941,000;4.936,500;4.940,500;1.091.122.395,00;22.094
WDOFUT;05/06/2023;14:55:00;4.941,500;4.941,500;4.936,500;4.939,000;1.360.370.555,00;27.547
WDOFUT;05/06/2023;14:50:00;4.940,000;4.941,500;4.939,500;4.941,500;497.962.030,00;10.079
WDOFUT;05/06/2023;14:45:00;4.941,000;4.941,500;4.939,000;4.940,500;541.134.165,00;10.954
WDOFUT;05/06/2023;14:40:00;4.941,500;4.943,000;4.939,500;4.940,500;627.363.000,00;12.697
WDOFUT;05/06/2023;14:35:00;4.943,500;4.945,000;4.941,000;4.941,000;692.836.110,00;14.017
WDOFUT;05/06/2023;14:30:00;4.943,500;4.945,000;4.943,000;4.944,000;344.148.765,00;6.961
WDOFUT;05/06/2023;14:25:00;4.944,500;4.945,000;4.943,000;4.944,000;401.771.475,00;8.126
WDOFUT;05/06/2023;14:20:00;4.943,500;4.944,500;4.942,500;4.944,000;336.517.015,00;6.807
WDOFUT;05/06/2023;14:15:00;4.944,000;4.945,000;4.943,000;4.943,000;296.590.090,00;5.999
WDOFUT;05/06/2023;14:10:00;4.944,000;4.944,500;4.942,500;4.944,000;418.383.815,00;8.463
WDOFUT;05/06/2023;14:05:00;4.942,000;4.945,500;4.942,000;4.944,000;855.370.295,00;17.300
WDOFUT;05/06/2023;14:00:00;4.941,000;4.942,500;4.940,500;4.942,500;441.971.880,00;8.944
WDOFUT;05/06/2023;13:55:00;4.940,500;4.941,500;4.938,500;4.941,000;797.335.745,00;16.141
WDOFUT;05/06/2023;13:50:00;4.943,000;4.944,000;4.939,500;4.940,000;671.980.450,00;13.599
WDOFUT;05/06/2023;13:45:00;4.944,000;4.944,500;4.943,000;4.943,000;263.093.690,00;5.322
WDOFUT;05/06/2023;13:40:00;4.944,000;4.944,500;4.943,000;4.944,000;280.965.530,00;5.683
WDOFUT;05/06/2023;13:35:00;4.945,000;4.946,000;4.943,500;4.944,000;469.565.475,00;9.496
WDOFUT;05/06/2023;13:30:00;4.943,500;4.945,000;4.942,500;4.944,500;364.867.815,00;7.380
WDOFUT;05/06/2023;13:25:00;4.942,500;4.944,000;4.942,500;4.944,000;183.999.925,00;3.722
WDOFUT;05/06/2023;13:20:00;4.944,000;4.945,000;4.942,500;4.943,000;404.149.875,00;8.175
WDOFUT;05/06/2023;13:15:00;4.942,500;4.944,000;4.941,500;4.944,000;270.615.720,00;5.475
WDOFUT;05/06/2023;13:10:00;4.942,500;4.944,500;4.941,000;4.942,500;610.009.835,00;12.342
WDOFUT;05/06/2023;13:05:00;4.938,000;4.943,500;4.937,000;4.942,500;2.169.528.260,00;43.916
WDOFUT;05/06/2023;13:00:00;4.941,500;4.943,000;4.937,000;4.938,000;1.964.339.190,00;39.759
WDOFUT;05/06/2023;12:55:00;4.944,500;4.945,000;4.941,000;4.941,000;706.471.265,00;14.292
WDOFUT;05/06/2023;12:50:00;4.945,500;4.947,000;4.943,000;4.944,500;913.901.955,00;18.480
WDOFUT;05/06/2023;12:45:00;4.943,500;4.946,500;4.943,000;4.945,500;848.188.940,00;17.152
WDOFUT;05/06/2023;12:40:00;4.944,000;4.946,000;4.940,500;4.943,000;871.727.880,00;17.636
WDOFUT;05/06/2023;12:35:00;4.942,500;4.946,500;4.942,500;4.944,500;1.029.862.460,00;20.827
WDOFUT;05/06/2023;12:30:00;4.942,500;4.943,500;4.941,000;4.942,500;531.108.135,00;10.746
WDOFUT;05/06/2023;12:25:00;4.943,000;4.944,000;4.940,500;4.942,000;1.015.622.635,00;20.548
WDOFUT;05/06/2023;12:20:00;4.941,000;4.943,500;4.940,500;4.943,000;929.879.670,00;18.816
WDOFUT;05/06/2023;12:15:00;4.944,000;4.944,000;4.938,500;4.940,500;1.645.972.475,00;33.317
WDOFUT;05/06/2023;12:10:00;4.945,500;4.945,500;4.942,000;4.944,000;1.024.445.670,00;20.723
WDOFUT;05/06/2023;12:05:00;4.944,000;4.947,000;4.940,000;4.945,000;3.185.868.020,00;64.448
WDOFUT;05/06/2023;12:00:00;4.948,500;4.950,500;4.943,000;4.943,500;2.307.678.075,00;46.657
WDOFUT;05/06/2023;11:55:00;4.949,000;4.951,500;4.946,500;4.949,000;1.536.026.220,00;31.037
WDOFUT;05/06/2023;11:50:00;4.949,500;4.952,500;4.946,500;4.949,000;1.609.606.145,00;32.522
WDOFUT;05/06/2023;11:45:00;4.955,000;4.955,500;4.948,000;4.949,500;2.070.191.335,00;41.812
WDOFUT;05/06/2023;11:40:00;4.955,500;4.957,000;4.954,000;4.955,000;690.715.710,00;13.937
WDOFUT;05/06/2023;11:35:00;4.955,000;4.958,000;4.953,000;4.955,500;1.033.263.995,00;20.852
WDOFUT;05/06/2023;11:30:00;4.957,500;4.959,500;4.955,000;4.955,000;1.173.013.050,00;23.660
WDOFUT;05/06/2023;11:25:00;4.954,500;4.958,500;4.950,000;4.958,000;2.332.627.160,00;47.085
WDOFUT;05/06/2023;11:20:00;4.959,000;4.960,000;4.953,500;4.954,500;2.027.080.690,00;40.892
WDOFUT;05/06/2023;11:15:00;4.953,500;4.960,000;4.952,500;4.958,500;2.557.122.260,00;51.589
WDOFUT;05/06/2023;11:10:00;4.950,000;4.954,500;4.949,500;4.953,000;2.157.386.585,00;43.567
WDOFUT;05/06/2023;11:05:00;4.944,500;4.950,500;4.941,500;4.950,500;4.541.182.905,00;91.816
WDOFUT;05/06/2023;11:00:00;4.965,000;4.965,500;4.943,500;4.944,000;6.772.706.715,00;136.821
WDOFUT;05/06/2023;10:55:00;4.964,000;4.965,500;4.960,500;4.965,000;1.250.071.470,00;25.186
WDOFUT;05/06/2023;10:50:00;4.959,000;4.964,500;4.958,500;4.964,000;1.701.593.940,00;34.298
WDOFUT;05/06/2023;10:45:00;4.966,000;4.966,000;4.955,500;4.959,500;2.477.399.735,00;49.951
WDOFUT;05/06/2023;10:40:00;4.964,000;4.966,500;4.963,000;4.966,000;711.047.755,00;14.321
WDOFUT;05/06/2023;10:35:00;4.961,000;4.965,500;4.960,500;4.964,500;1.419.416.800,00;28.601
WDOFUT;05/06/2023;10:30:00;4.964,500;4.967,000;4.960,500;4.961,000;1.756.482.980,00;35.386
WDOFUT;05/06/2023;10:25:00;4.966,500;4.969,000;4.964,000;4.964,500;1.016.862.530,00;20.475
WDOFUT;05/06/2023;10:20:00;4.967,500;4.970,000;4.966,000;4.966,500;1.165.370.105,00;23.457
WDOFUT;05/06/2023;10:15:00;4.966,500;4.969,500;4.965,000;4.967,500;1.539.598.485,00;30.994
WDOFUT;05/06/2023;10:10:00;4.965,000;4.966,500;4.962,500;4.966,500;1.220.070.780,00;24.574
WDOFUT;05/06/2023;10:05:00;4.962,500;4.967,000;4.958,000;4.964,500;3.465.690.170,00;69.833
WDOFUT;05/06/2023;10:00:00;4.963,500;4.965,500;4.961,000;4.962,500;2.707.441.665,00;54.550
WDOFUT;05/06/2023;09:55:00;4.968,500;4.971,000;4.963,500;4.963,500;1.460.721.915,00;29.408
WDOFUT;05/06/2023;09:50:00;4.969,500;4.973,000;4.966,500;4.968,000;1.597.274.975,00;32.141
WDOFUT;05/06/2023;09:45:00;4.971,500;4.973,000;4.968,000;4.969,500;1.326.857.060,00;26.699
WDOFUT;05/06/2023;09:40:00;4.969,500;4.974,500;4.969,000;4.971,500;1.752.224.560,00;35.238
WDOFUT;05/06/2023;09:35:00;4.965,500;4.973,000;4.964,500;4.969,500;3.118.739.870,00;62.752
WDOFUT;05/06/2023;09:30:00;4.967,000;4.970,000;4.963,500;4.965,000;1.804.182.460,00;36.322
WDOFUT;05/06/2023;09:25:00;4.961,500;4.968,000;4.961,000;4.967,000;1.812.030.470,00;36.494
WDOFUT;05/06/2023;09:20:00;4.967,500;4.971,500;4.961,000;4.961,000;3.552.123.870,00;71.536
WDOFUT;05/06/2023;09:15:00;4.971,500;4.979,500;4.964,500;4.967,500;4.817.391.860,00;96.887
WDOFUT;05/06/2023;09:10:00;4.978,500;4.981,000;4.968,500;4.971,000;4.280.576.210,00;86.049
WDOFUT;05/06/2023;09:05:00;4.988,500;4.990,000;4.978,000;4.979,000;2.636.960.050,00;52.905
WDOFUT;05/06/2023;09:00:00;5.000,000;5.001,000;4.988,000;4.988,000;2.282.671.395,00;45.714
WDOFUT;02/06/2023;17:55:00;4.983,500;4.985,500;4.981,500;4.985,000;463.038.635,00;9.291
WDOFUT;02/06/2023;17:50:00;4.980,500;4.984,000;4.980,000;4.984,000;389.939.905,00;7.827
WDOFUT;02/06/2023;17:45:00;4.980,000;4.981,500;4.978,000;4.980,500;548.258.585,00;11.010
WDOFUT;02/06/2023;17:40:00;4.979,000;4.980,500;4.979,000;4.979,500;388.852.415,00;7.809
WDOFUT;02/06/2023;17:35:00;4.979,000;4.980,500;4.978,500;4.979,500;200.566.440,00;4.028
WDOFUT;02/06/2023;17:30:00;4.979,000;4.980,500;4.978,500;4.979,000;258.680.520,00;5.195
WDOFUT;02/06/2023;17:25:00;4.980,000;4.980,500;4.978,500;4.979,000;324.964.685,00;6.526
WDOFUT;02/06/2023;17:20:00;4.979,500;4.981,000;4.979,000;4.979,500;343.859.870,00;6.905
WDOFUT;02/06/2023;17:15:00;4.978,000;4.980,000;4.977,500;4.979,000;458.580.445,00;9.210
WDOFUT;02/06/2023;17:10:00;4.978,500;4.979,000;4.977,000;4.978,000;288.766.615,00;5.801
WDOFUT;02/06/2023;17:05:00;4.978,500;4.979,500;4.977,500;4.978,500;221.934.260,00;4.458
WDOFUT;02/06/2023;17:00:00;4.980,000;4.980,500;4.977,000;4.978,000;756.376.540,00;15.194
WDOFUT;02/06/2023;16:55:00;4.979,500;4.980,500;4.978,000;4.980,000;425.640.475,00;8.548
WDOFUT;02/06/2023;16:50:00;4.980,500;4.981,500;4.979,000;4.979,500;524.583.450,00;10.533
WDOFUT;02/06/2023;16:45:00;4.980,000;4.981,500;4.979,500;4.980,000;570.121.390,00;11.447
WDOFUT;02/06/2023;16:40:00;4.981,000;4.981,500;4.980,000;4.980,500;425.534.840,00;8.544
WDOFUT;02/06/2023;16:35:00;4.983,000;4.983,500;4.980,500;4.981,500;527.420.465,00;10.587
WDOFUT;02/06/2023;16:30:00;4.983,500;4.985,500;4.982,000;4.982,500;750.485.665,00;15.059
WDOFUT;02/06/2023;16:25:00;4.983,000;4.985,000;4.983,000;4.984,000;561.245.635,00;11.261
WDOFUT;02/06/2023;16:20:00;4.982,500;4.983,500;4.982,000;4.983,500;266.676.215,00;5.352
WDOFUT;02/06/2023;16:15:00;4.983,500;4.983,500;4.981,500;4.982,000;394.012.060,00;7.908
WDOFUT;02/06/2023;16:10:00;4.984,500;4.985,500;4.981,000;4.983,500;1.419.342.240,00;28.486
WDOFUT;02/06/2023;16:05:00;4.985,500;4.986,500;4.984,000;4.984,000;941.435.800,00;18.885
WDOFUT;02/06/2023;16:00:00;4.989,000;4.989,000;4.985,500;4.986,000;702.623.230,00;14.089
WDOFUT;02/06/2023;15:55:00;4.988,000;4.991,000;4.988,000;4.988,500;749.732.080,00;15.026
WDOFUT;02/06/2023;15:50:00;4.987,000;4.990,000;4.987,000;4.988,500;543.282.170,00;10.890
WDOFUT;02/06/2023;15:45:00;4.987,000;4.988,500;4.986,000;4.987,500;397.132.495,00;7.963
WDOFUT;02/06/2023;15:40:00;4.986,500;4.987,500;4.985,500;4.987,000;687.646.310,00;13.790
WDOFUT;02/06/2023;15:35:00;4.988,000;4.990,000;4.986,500;4.986,500;467.139.805,00;9.364
WDOFUT;02/06/2023;15:30:00;4.987,500;4.989,000;4.986,500;4.988,000;314.722.575,00;6.310
WDOFUT;02/06/2023;15:25:00;4.988,000;4.989,500;4.987,000;4.987,000;225.166.840,00;4.514
WDOFUT;02/06/2023;15:20:00;4.988,000;4.989,500;4.986,500;4.988,000;579.352.850,00;11.616
