Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WEST3;16/06/2023;16:45:00;1,24;1,24;1,23;1,23;11.815,00;9.600
WEST3;16/06/2023;16:25:00;1,24;1,25;1,24;1,25;35.740,00;28.800
WEST3;16/06/2023;16:15:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;16:10:00;1,24;1,25;1,24;1,25;14.408,00;11.600
WEST3;16/06/2023;16:05:00;1,24;1,24;1,24;1,24;11.036,00;8.900
WEST3;16/06/2023;16:00:00;1,25;1,25;1,24;1,24;24.356,00;19.500
WEST3;16/06/2023;15:55:00;1,24;1,24;1,24;1,24;1.364,00;1.100
WEST3;16/06/2023;15:50:00;1,25;1,25;1,24;1,24;6.860,00;5.500
WEST3;16/06/2023;15:45:00;1,24;1,25;1,24;1,24;15.391,00;12.400
WEST3;16/06/2023;15:35:00;1,23;1,23;1,23;1,23;123,00;100
WEST3;16/06/2023;15:20:00;1,23;1,23;1,23;1,23;123,00;100
WEST3;16/06/2023;15:15:00;1,24;1,24;1,23;1,23;1.363,00;1.100
WEST3;16/06/2023;15:05:00;1,23;1,23;1,23;1,23;246,00;200
WEST3;16/06/2023;14:40:00;1,23;1,23;1,23;1,23;2.583,00;2.100
WEST3;16/06/2023;14:35:00;1,24;1,24;1,24;1,24;372,00;300
WEST3;16/06/2023;14:30:00;1,24;1,25;1,23;1,25;17.487,00;14.100
WEST3;16/06/2023;14:25:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;14:10:00;1,25;1,25;1,22;1,22;30.153,00;24.500
WEST3;16/06/2023;14:05:00;1,24;1,24;1,24;1,24;11.532,00;9.300
WEST3;16/06/2023;14:00:00;1,24;1,24;1,23;1,23;7.682,00;6.200
WEST3;16/06/2023;13:25:00;1,24;1,24;1,24;1,24;620,00;500
WEST3;16/06/2023;13:00:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;12:55:00;1,24;1,24;1,23;1,23;2.599,00;2.100
WEST3;16/06/2023;12:50:00;1,23;1,24;1,23;1,24;10.835,00;8.800
WEST3;16/06/2023;12:35:00;1,23;1,23;1,23;1,23;1.230,00;1.000
WEST3;16/06/2023;12:25:00;1,24;1,24;1,24;1,24;744,00;600
WEST3;16/06/2023;12:10:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;12:05:00;1,24;1,24;1,23;1,23;987,00;800
WEST3;16/06/2023;11:55:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;11:45:00;1,24;1,24;1,24;1,24;124,00;100
WEST3;16/06/2023;11:35:00;1,23;1,23;1,23;1,23;123,00;100
WEST3;16/06/2023;11:25:00;1,23;1,23;1,23;1,23;123,00;100
WEST3;16/06/2023;11:20:00;1,24;1,24;1,23;1,23;7.385,00;6.000
WEST3;16/06/2023;11:10:00;1,24;1,24;1,24;1,24;248,00;200
WEST3;16/06/2023;10:45:00;1,25;1,25;1,23;1,23;22.291,00;18.100
WEST3;16/06/2023;10:40:00;1,25;1,26;1,25;1,25;29.838,00;23.800
WEST3;16/06/2023;10:35:00;1,23;1,24;1,23;1,24;71.154,00;57.800
WEST3;16/06/2023;10:20:00;1,23;1,23;1,23;1,23;246,00;200
WEST3;16/06/2023;10:15:00;1,25;1,25;1,24;1,24;141.857,00;114.400
WEST3;15/06/2023;17:30:00;1,25;1,25;1,22;1,22;1.345,00;1.100
WEST3;15/06/2023;16:50:00;1,24;1,24;1,22;1,24;22.262,00;18.000
WEST3;15/06/2023;16:45:00;1,22;1,23;1,22;1,22;5.882,00;4.800
WEST3;15/06/2023;16:40:00;1,23;1,23;1,22;1,22;1.715,00;1.400
WEST3;15/06/2023;16:35:00;1,22;1,22;1,22;1,22;488,00;400
WEST3;15/06/2023;16:30:00;1,22;1,22;1,22;1,22;122,00;100
WEST3;15/06/2023;16:25:00;1,22;1,22;1,22;1,22;244,00;200
WEST3;15/06/2023;16:20:00;1,22;1,22;1,22;1,22;610,00;500
