Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WIZS3;08/02/2023;17:50:00;7,17;7,19;7,16;7,16;348.781,00;48.700
WIZS3;08/02/2023;17:45:00;7,18;7,18;7,17;7,17;5.742,00;800
WIZS3;08/02/2023;17:40:00;7,18;7,20;7,17;7,18;79.738,00;11.100
WIZS3;08/02/2023;17:35:00;7,16;7,17;7,15;7,17;41.549,00;5.800
WIZS3;08/02/2023;17:30:00;7,15;7,16;7,14;7,16;27.172,00;3.800
WIZS3;08/02/2023;17:25:00;7,15;7,16;7,14;7,16;7.865,00;1.100
WIZS3;08/02/2023;17:20:00;7,15;7,16;7,15;7,15;37.939,00;5.300
WIZS3;08/02/2023;17:15:00;7,15;7,17;7,15;7,15;7.872,00;1.100
WIZS3;08/02/2023;17:10:00;7,15;7,15;7,14;7,15;15.009,00;2.100
WIZS3;08/02/2023;17:05:00;7,14;7,16;7,14;7,15;12.155,00;1.700
WIZS3;08/02/2023;17:00:00;7,15;7,17;7,15;7,15;39.372,00;5.500
WIZS3;08/02/2023;16:55:00;7,14;7,17;7,14;7,15;17.164,00;2.400
WIZS3;08/02/2023;16:50:00;7,16;7,16;7,15;7,15;17.176,00;2.400
WIZS3;08/02/2023;16:45:00;7,15;7,16;7,14;7,15;23.595,00;3.300
WIZS3;08/02/2023;16:40:00;7,17;7,17;7,16;7,16;40.860,00;5.700
WIZS3;08/02/2023;16:35:00;7,18;7,18;7,17;7,18;50.254,00;7.000
WIZS3;08/02/2023;16:30:00;7,18;7,18;7,17;7,18;16.510,00;2.300
WIZS3;08/02/2023;16:25:00;7,18;7,18;7,17;7,18;7.897,00;1.100
WIZS3;08/02/2023;16:20:00;7,19;7,19;7,18;7,19;36.655,00;5.100
WIZS3;08/02/2023;16:15:00;7,17;7,19;7,17;7,18;33.027,00;4.600
WIZS3;08/02/2023;16:10:00;7,16;7,17;7,16;7,17;22.197,00;3.100
WIZS3;08/02/2023;16:05:00;7,17;7,17;7,15;7,16;22.930,00;3.200
WIZS3;08/02/2023;16:00:00;7,16;7,16;7,15;7,16;15.035,00;2.100
WIZS3;08/02/2023;15:55:00;7,16;7,17;7,16;7,16;10.741,00;1.500
WIZS3;08/02/2023;15:50:00;7,17;7,17;7,16;7,17;6.448,00;900
WIZS3;08/02/2023;15:45:00;7,17;7,17;7,16;7,17;28.679,00;4.000
WIZS3;08/02/2023;15:40:00;7,17;7,17;7,17;7,17;18.642,00;2.600
WIZS3;08/02/2023;15:35:00;7,16;7,17;7,15;7,17;22.921,00;3.200
WIZS3;08/02/2023;15:30:00;7,18;7,19;7,17;7,17;53.126,00;7.400
WIZS3;08/02/2023;15:25:00;7,19;7,19;7,19;7,19;19.413,00;2.700
WIZS3;08/02/2023;15:20:00;7,16;7,19;7,16;7,19;98.397,00;13.700
WIZS3;08/02/2023;15:15:00;7,16;7,16;7,16;7,16;2.148,00;300
WIZS3;08/02/2023;15:10:00;7,17;7,17;7,16;7,16;7.880,00;1.100
WIZS3;08/02/2023;15:05:00;7,18;7,18;7,17;7,17;25.824,00;3.600
WIZS3;08/02/2023;15:00:00;7,16;7,18;7,16;7,18;27.962,00;3.900
WIZS3;08/02/2023;14:55:00;7,16;7,16;7,16;7,16;4.296,00;600
WIZS3;08/02/2023;14:50:00;7,16;7,16;7,16;7,16;3.580,00;500
WIZS3;08/02/2023;14:45:00;7,14;7,16;7,14;7,16;41.462,00;5.800
WIZS3;08/02/2023;14:40:00;7,15;7,15;7,14;7,14;27.849,00;3.900
WIZS3;08/02/2023;14:35:00;7,14;7,17;7,14;7,15;136.576,00;19.100
WIZS3;08/02/2023;14:30:00;7,15;7,15;7,14;7,15;10.715,00;1.500
WIZS3;08/02/2023;14:25:00;7,13;7,15;7,13;7,14;44.995,00;6.300
WIZS3;08/02/2023;14:20:00;7,14;7,14;7,13;7,13;4.992,00;700
WIZS3;08/02/2023;14:15:00;7,13;7,13;7,12;7,12;11.406,00;1.600
WIZS3;08/02/2023;14:10:00;7,12;7,13;7,12;7,13;45.587,00;6.400
WIZS3;08/02/2023;14:05:00;7,13;7,13;7,11;7,11;32.772,00;4.600
WIZS3;08/02/2023;14:00:00;7,15;7,15;7,14;7,14;29.287,00;4.100
WIZS3;08/02/2023;13:55:00;7,15;7,15;7,14;7,14;14.283,00;2.000
WIZS3;08/02/2023;13:50:00;7,15;7,15;7,14;7,14;30.007,00;4.200
WIZS3;08/02/2023;13:45:00;7,14;7,16;7,14;7,16;40.068,00;5.600
WIZS3;08/02/2023;13:40:00;7,13;7,14;7,13;7,14;42.815,00;6.000
WIZS3;08/02/2023;13:35:00;7,11;7,12;7,11;7,12;14.949,00;2.100
WIZS3;08/02/2023;13:30:00;7,12;7,12;7,11;7,11;24.178,00;3.400
WIZS3;08/02/2023;13:25:00;7,12;7,12;7,10;7,12;18.479,00;2.600
WIZS3;08/02/2023;13:20:00;7,13;7,13;7,11;7,12;19.213,00;2.700
