Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
XPBR31;16/06/2023;17:30:00;107,45;107,48;107,33;107,33;337.022,22;3.138
XPBR31;16/06/2023;16:45:00;107,44;107,76;107,14;107,76;8.285.554,32;76.949
XPBR31;16/06/2023;16:40:00;107,40;107,51;107,15;107,44;2.288.594,97;21.321
XPBR31;16/06/2023;16:35:00;107,79;107,83;107,32;107,44;2.082.012,63;19.365
XPBR31;16/06/2023;16:30:00;107,81;107,88;107,57;107,79;2.145.612,34;19.914
XPBR31;16/06/2023;16:25:00;108,00;108,01;107,76;107,81;829.599,94;7.689
XPBR31;16/06/2023;16:20:00;108,08;108,18;107,95;108,00;1.157.317,10;10.713
XPBR31;16/06/2023;16:15:00;108,44;108,56;108,09;108,16;1.379.099,72;12.723
XPBR31;16/06/2023;16:10:00;108,36;108,67;108,36;108,49;2.904.852,05;26.765
XPBR31;16/06/2023;16:05:00;108,35;108,49;108,24;108,39;2.421.752,82;22.351
XPBR31;16/06/2023;16:00:00;108,65;108,69;108,30;108,33;2.958.555,18;27.256
XPBR31;16/06/2023;15:55:00;108,65;108,79;108,57;108,64;1.819.465,67;16.744
XPBR31;16/06/2023;15:50:00;108,62;108,77;108,58;108,64;1.557.103,25;14.327
XPBR31;16/06/2023;15:45:00;108,67;108,90;108,62;108,62;1.737.769,34;15.979
XPBR31;16/06/2023;15:40:00;108,87;108,96;108,60;108,68;1.674.317,33;15.387
XPBR31;16/06/2023;15:35:00;108,76;108,90;108,71;108,87;1.511.130,50;13.885
XPBR31;16/06/2023;15:30:00;108,52;108,91;108,48;108,71;1.725.666,37;15.883
XPBR31;16/06/2023;15:25:00;108,28;108,60;108,25;108,57;2.132.632,03;19.676
XPBR31;16/06/2023;15:20:00;108,65;108,70;108,25;108,34;2.739.268,08;25.243
XPBR31;16/06/2023;15:15:00;108,58;108,87;108,49;108,60;6.001.912,42;55.253
XPBR31;16/06/2023;15:10:00;108,03;108,96;107,85;108,76;7.865.018,86;72.602
XPBR31;16/06/2023;15:05:00;108,11;108,23;107,97;108,00;2.743.772,16;25.390
XPBR31;16/06/2023;15:00:00;108,27;108,27;107,90;108,07;2.198.907,46;20.354
XPBR31;16/06/2023;14:55:00;108,16;108,41;108,09;108,24;4.815.932,84;44.497
XPBR31;16/06/2023;14:50:00;108,17;108,19;107,98;108,12;1.658.910,64;15.352
XPBR31;16/06/2023;14:45:00;108,16;108,33;108,01;108,18;1.507.527,50;13.933
XPBR31;16/06/2023;14:40:00;107,97;108,16;107,93;108,16;1.282.161,11;11.868
XPBR31;16/06/2023;14:35:00;107,83;107,99;107,77;107,96;1.000.026,98;9.267
XPBR31;16/06/2023;14:30:00;107,53;107,92;107,51;107,80;2.284.307,36;21.214
XPBR31;16/06/2023;14:25:00;107,58;107,71;107,52;107,59;1.029.757,43;9.567
XPBR31;16/06/2023;14:20:00;107,43;107,59;107,24;107,58;1.140.111,75;10.612
XPBR31;16/06/2023;14:15:00;107,35;107,50;107,30;107,37;1.197.776,27;11.153
XPBR31;16/06/2023;14:10:00;107,27;107,45;106,96;107,37;1.290.843,22;12.051
XPBR31;16/06/2023;14:05:00;107,39;107,42;107,14;107,32;711.309,99;6.628
XPBR31;16/06/2023;14:00:00;107,37;107,45;107,18;107,40;4.113.678,77;38.324
XPBR31;16/06/2023;13:55:00;107,38;107,51;107,36;107,40;725.560,79;6.753
XPBR31;16/06/2023;13:50:00;107,28;107,40;107,19;107,39;711.331,13;6.628
XPBR31;16/06/2023;13:45:00;107,22;107,33;107,21;107,29;731.155,11;6.816
XPBR31;16/06/2023;13:40:00;106,98;107,23;106,98;107,22;1.039.811,58;9.710
XPBR31;16/06/2023;13:35:00;106,88;106,94;106,70;106,93;4.205.330,38;39.369
XPBR31;16/06/2023;13:30:00;106,71;106,87;106,66;106,87;1.007.107,78;9.433
XPBR31;16/06/2023;13:25:00;106,88;106,94;106,56;106,72;1.574.181,44;14.757
XPBR31;16/06/2023;13:20:00;106,85;106,89;106,79;106,88;439.284,69;4.111
XPBR31;16/06/2023;13:15:00;106,72;106,89;106,71;106,85;564.273,07;5.284
XPBR31;16/06/2023;13:10:00;106,65;106,79;106,61;106,72;521.638,79;4.889
XPBR31;16/06/2023;13:05:00;106,60;106,71;106,55;106,69;868.442,65;8.144
XPBR31;16/06/2023;13:00:00;106,50;106,65;106,49;106,61;677.423,59;6.354
XPBR31;16/06/2023;12:55:00;106,38;106,65;106,38;106,60;684.327,24;6.423
XPBR31;16/06/2023;12:50:00;106,30;106,45;106,24;106,38;840.112,74;7.899
XPBR31;16/06/2023;12:45:00;105,89;106,29;105,89;106,29;2.172.890,93;20.474
XPBR31;16/06/2023;12:40:00;105,80;105,92;105,71;105,92;655.088,44;6.194
XPBR31;16/06/2023;12:35:00;105,90;105,97;105,69;105,81;449.905,89;4.250
XPBR31;16/06/2023;12:30:00;106,00;106,10;105,86;105,91;1.058.722,81;9.990
XPBR31;16/06/2023;12:25:00;105,52;106,05;105,51;106,02;2.446.851,00;23.139
XPBR31;16/06/2023;12:20:00;105,49;105,70;105,42;105,49;492.390,82;4.663
XPBR31;16/06/2023;12:15:00;105,33;105,59;105,26;105,52;742.456,70;7.040
XPBR31;16/06/2023;12:10:00;105,19;105,40;105,14;105,34;4.166.136,10;39.593
XPBR31;16/06/2023;12:05:00;105,10;105,21;105,02;105,19;926.107,35;8.808
XPBR31;16/06/2023;12:00:00;105,08;105,24;104,93;105,07;731.085,67;6.954
XPBR31;16/06/2023;11:55:00;105,19;105,24;104,98;105,08;889.157,09;8.455
XPBR31;16/06/2023;11:50:00;105,09;105,14;105,04;105,13;804.163,47;7.651
XPBR31;16/06/2023;11:45:00;105,01;105,15;104,95;105,10;1.104.361,98;10.513
XPBR31;16/06/2023;11:40:00;105,08;105,29;104,89;105,00;810.531,90;7.711
XPBR31;16/06/2023;11:35:00;105,62;105,69;105,05;105,05;995.326,61;9.443
XPBR31;16/06/2023;11:30:00;105,22;105,64;105,15;105,64;679.185,15;6.441
XPBR31;16/06/2023;11:25:00;104,69;105,27;104,65;105,24;844.916,07;8.052
XPBR31;16/06/2023;11:20:00;104,83;104,84;104,54;104,68;789.931,02;7.545
XPBR31;16/06/2023;11:15:00;105,26;105,41;104,79;104,84;775.501,75;7.386
XPBR31;16/06/2023;11:10:00;105,12;105,60;105,12;105,32;444.483,37;4.216
XPBR31;16/06/2023;11:05:00;104,98;105,38;104,95;105,10;493.035,60;4.689
XPBR31;16/06/2023;11:00:00;105,34;105,37;104,86;104,98;1.629.674,12;15.514
XPBR31;16/06/2023;10:55:00;105,10;105,39;104,83;105,39;2.050.017,37;19.507
XPBR31;16/06/2023;10:50:00;104,86;105,14;104,78;105,11;1.412.013,17;13.448
XPBR31;16/06/2023;10:45:00;105,06;105,15;104,75;104,85;947.009,95;9.024
XPBR31;16/06/2023;10:40:00;105,11;105,69;104,99;105,05;1.036.054,79;9.832
XPBR31;16/06/2023;10:35:00;105,05;105,12;104,90;105,11;381.753,94;3.635
XPBR31;16/06/2023;10:30:00;104,39;105,17;104,20;105,05;1.922.050,55;18.358
XPBR31;16/06/2023;10:25:00;104,62;104,63;104,21;104,25;441.786,98;4.231
XPBR31;16/06/2023;10:20:00;104,51;104,63;104,41;104,63;544.396,17;5.211
XPBR31;16/06/2023;10:15:00;104,60;104,71;104,41;104,42;276.009,37;2.637
XPBR31;16/06/2023;10:10:00;104,53;104,80;104,40;104,41;1.131.042,08;10.815
XPBR31;16/06/2023;10:05:00;104,97;104,98;104,37;104,68;942.198,07;9.000
XPBR31;16/06/2023;10:00:00;104,55;105,04;104,03;105,02;472.527,51;4.514
XPBR31;15/06/2023;17:30:00;104,70;105,20;104,70;105,20;347.176,61;3.304
XPBR31;15/06/2023;16:50:00;105,01;105,01;104,70;104,70;3.936.363,58;37.583
XPBR31;15/06/2023;16:45:00;104,79;105,02;104,69;105,02;1.197.154,64;11.419
XPBR31;15/06/2023;16:40:00;104,60;104,78;104,55;104,78;1.274.250,06;12.179
XPBR31;15/06/2023;16:35:00;104,82;104,85;104,44;104,56;935.594,60;8.940
XPBR31;15/06/2023;16:30:00;104,85;104,85;104,53;104,85;2.313.570,97;22.090
XPBR31;15/06/2023;16:25:00;104,84;104,85;104,76;104,85;857.651,83;8.183
XPBR31;15/06/2023;16:20:00;104,91;104,99;104,78;104,84;1.104.349,01;10.534
XPBR31;15/06/2023;16:15:00;104,81;104,99;104,77;104,91;610.025,60;5.816
XPBR31;15/06/2023;16:10:00;104,40;104,88;104,39;104,81;1.013.186,17;9.681
XPBR31;15/06/2023;16:05:00;104,40;104,40;104,34;104,40;1.028.718,66;9.854
XPBR31;15/06/2023;16:00:00;104,50;104,61;104,39;104,40;1.360.168,21;13.026
XPBR31;15/06/2023;15:55:00;104,70;104,75;104,50;104,55;665.029,03;6.353
XPBR31;15/06/2023;15:50:00;104,52;104,72;104,44;104,70;152.782,00;1.460
XPBR31;15/06/2023;15:45:00;104,48;104,65;104,45;104,52;550.062,81;5.261
XPBR31;15/06/2023;15:40:00;104,58;104,60;104,29;104,49;379.750,38;3.637
XPBR31;15/06/2023;15:35:00;104,32;104,60;104,27;104,60;679.181,97;6.505
XPBR31;15/06/2023;15:30:00;104,35;104,39;104,25;104,32;877.237,62;8.408
XPBR31;15/06/2023;15:25:00;104,38;104,42;104,31;104,35;491.259,49;4.708
XPBR31;15/06/2023;15:20:00;104,24;104,39;104,17;104,38;260.395,16;2.498
XPBR31;15/06/2023;15:15:00;104,34;104,39;104,19;104,23;315.732,02;3.027
XPBR31;15/06/2023;15:10:00;104,47;104,50;104,26;104,32;643.187,99;6.156
XPBR31;15/06/2023;15:05:00;104,11;104,48;104,10;104,48;798.919,45;7.658
XPBR31;15/06/2023;15:00:00;104,21;104,27;103,99;104,18;2.599.540,38;24.961
XPBR31;15/06/2023;14:55:00;104,18;104,32;104,12;104,21;1.848.653,22;17.738
XPBR31;15/06/2023;14:50:00;104,40;104,43;104,10;104,19;2.580.813,94;24.757
XPBR31;15/06/2023;14:45:00;103,86;104,40;103,81;104,40;2.633.330,17;25.301
XPBR31;15/06/2023;14:40:00;103,63;103,89;103,63;103,89;2.424.290,30;23.364
XPBR31;15/06/2023;14:35:00;103,05;103,63;103,03;103,62;1.642.121,65;15.887
XPBR31;15/06/2023;14:30:00;103,08;103,14;102,99;103,06;772.662,94;7.498
XPBR31;15/06/2023;14:25:00;103,08;103,17;103,01;103,08;806.090,54;7.820
XPBR31;15/06/2023;14:20:00;103,18;103,28;103,07;103,08;1.265.221,85;12.262
XPBR31;15/06/2023;14:15:00;103,11;103,20;103,06;103,19;1.461.772,76;14.172
XPBR31;15/06/2023;14:10:00;103,15;103,21;103,00;103,13;876.574,41;8.502
XPBR31;15/06/2023;14:05:00;103,16;103,26;103,05;103,19;857.571,53;8.313
XPBR31;15/06/2023;14:00:00;103,27;103,31;103,16;103,21;577.213,98;5.591
XPBR31;15/06/2023;13:55:00;103,36;103,54;103,26;103,28;902.757,13;8.727
XPBR31;15/06/2023;13:50:00;103,26;103,40;103,25;103,36;1.146.430,35;11.096
XPBR31;15/06/2023;13:45:00;102,94;103,29;102,93;103,25;682.587,49;6.623
XPBR31;15/06/2023;13:40:00;102,51;102,98;102,48;102,94;301.586,51;2.936
XPBR31;15/06/2023;13:35:00;102,58;102,68;102,43;102,53;1.091.758,78;10.642
XPBR31;15/06/2023;13:30:00;102,43;102,62;102,43;102,57;389.473,86;3.798
XPBR31;15/06/2023;13:25:00;102,38;102,63;102,34;102,43;646.554,18;6.311
XPBR31;15/06/2023;13:20:00;102,76;102,84;102,32;102,38;1.123.021,97;10.943
XPBR31;15/06/2023;13:15:00;102,89;102,90;102,63;102,76;270.857,29;2.635
XPBR31;15/06/2023;13:10:00;103,10;103,13;102,79;102,90;298.699,16;2.901
XPBR31;15/06/2023;13:05:00;102,80;103,11;102,80;103,11;155.687,99;1.512
XPBR31;15/06/2023;13:00:00;102,62;102,88;102,61;102,88;340.100,47;3.310
XPBR31;15/06/2023;12:55:00;102,55;102,63;102,55;102,63;193.825,25;1.889
XPBR31;15/06/2023;12:50:00;102,58;102,63;102,49;102,63;341.188,83;3.326
XPBR31;15/06/2023;12:45:00;102,58;102,76;102,58;102,63;224.909,96;2.191
XPBR31;15/06/2023;12:40:00;102,81;102,89;102,63;102,67;406.505,97;3.957
XPBR31;15/06/2023;12:35:00;102,93;102,98;102,76;102,90;199.093,35;1.935
XPBR31;15/06/2023;12:30:00;102,89;102,98;102,70;102,98;523.212,90;5.087
XPBR31;15/06/2023;12:25:00;102,76;102,89;102,69;102,89;119.047,03;1.158
XPBR31;15/06/2023;12:20:00;102,69;102,83;102,66;102,76;235.838,53;2.295
XPBR31;15/06/2023;12:15:00;102,82;102,95;102,61;102,69;1.983.425,65;19.304
XPBR31;15/06/2023;12:10:00;102,99;102,99;102,69;102,85;681.362,98;6.627
XPBR31;15/06/2023;12:05:00;103,03;103,24;102,86;103,03;3.150.154,82;30.584
XPBR31;15/06/2023;12:00:00;103,09;103,19;102,91;103,11;620.549,60;6.023
XPBR31;15/06/2023;11:55:00;103,19;103,30;103,03;103,10;408.901,39;3.964
XPBR31;15/06/2023;11:50:00;103,26;103,30;103,08;103,23;395.003,39;3.827
XPBR31;15/06/2023;11:45:00;103,21;103,34;103,21;103,27;128.252,39;1.242
XPBR31;15/06/2023;11:40:00;103,35;103,49;103,25;103,27;502.552,21;4.861
XPBR31;15/06/2023;11:35:00;103,37;103,50;103,31;103,40;391.862,88;3.788
XPBR31;15/06/2023;11:30:00;103,30;103,41;103,19;103,41;675.666,02;6.543
XPBR31;15/06/2023;11:25:00;103,32;103,40;103,17;103,31;623.504,72;6.037
XPBR31;15/06/2023;11:20:00;103,18;103,46;103,14;103,35;583.337,28;5.651
XPBR31;15/06/2023;11:15:00;103,44;103,55;103,22;103,27;1.542.564,48;14.918
XPBR31;15/06/2023;11:10:00;103,38;103,46;103,30;103,36;552.277,92;5.342
XPBR31;15/06/2023;11:05:00;103,32;103,85;103,27;103,46;5.149.770,68;49.711
XPBR31;15/06/2023;11:00:00;102,75;103,48;102,75;103,34;6.841.676,36;66.234
XPBR31;15/06/2023;10:55:00;102,75;102,77;102,62;102,73;2.263.216,73;22.037
XPBR31;15/06/2023;10:50:00;102,67;102,91;102,67;102,77;3.817.454,78;37.154
XPBR31;15/06/2023;10:45:00;102,42;102,72;102,41;102,60;1.176.437,26;11.468
XPBR31;15/06/2023;10:40:00;102,97;103,03;102,35;102,39;244.973,93;2.387
XPBR31;15/06/2023;10:35:00;102,71;103,08;102,63;102,97;613.722,45;5.965
XPBR31;15/06/2023;10:30:00;102,07;102,80;101,89;102,79;1.639.925,05;16.001
XPBR31;15/06/2023;10:25:00;102,31;102,31;101,99;102,05;170.397,63;1.669
XPBR31;15/06/2023;10:20:00;101,90;102,40;101,84;102,40;279.531,53;2.736
XPBR31;15/06/2023;10:15:00;101,80;102,10;101,77;101,90;56.916,38;558
XPBR31;15/06/2023;10:10:00;101,85;102,10;101,79;101,79;515.538,48;5.056
XPBR31;15/06/2023;10:05:00;101,69;102,10;101,52;101,83;590.886,07;5.798
XPBR31;15/06/2023;10:00:00;101,80;101,80;101,68;101,68;130.200,38;1.279
XPBR31;14/06/2023;17:30:00;101,77;101,77;101,21;101,72;50.487,58;497
XPBR31;14/06/2023;16:50:00;101,47;101,77;101,46;101,77;5.002.714,81;49.181
XPBR31;14/06/2023;16:45:00;101,36;101,47;101,14;101,42;1.691.647,52;16.689
XPBR31;14/06/2023;16:40:00;101,40;101,41;101,20;101,28;770.405,44;7.605
XPBR31;14/06/2023;16:35:00;101,20;101,40;101,20;101,40;966.365,57;9.537
XPBR31;14/06/2023;16:30:00;100,52;101,23;100,45;101,22;1.738.177,38;17.226
