Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
YDUQ3;16/06/2023;17:30:00;18,61;18,71;18,61;18,71;373.310,00;20.000
YDUQ3;16/06/2023;16:45:00;18,60;18,63;18,58;18,61;12.561.007,00;675.000
YDUQ3;16/06/2023;16:40:00;18,58;18,61;18,57;18,60;788.062,00;42.400
YDUQ3;16/06/2023;16:35:00;18,56;18,62;18,54;18,58;683.427,00;36.800
YDUQ3;16/06/2023;16:30:00;18,54;18,61;18,52;18,57;890.921,00;48.000
YDUQ3;16/06/2023;16:25:00;18,63;18,63;18,53;18,54;903.301,00;48.600
YDUQ3;16/06/2023;16:20:00;18,62;18,63;18,59;18,62;792.803,00;42.600
YDUQ3;16/06/2023;16:15:00;18,63;18,65;18,61;18,62;726.752,00;39.000
YDUQ3;16/06/2023;16:10:00;18,64;18,65;18,61;18,64;620.405,00;33.300
YDUQ3;16/06/2023;16:05:00;18,66;18,67;18,63;18,64;703.066,00;37.700
YDUQ3;16/06/2023;16:00:00;18,71;18,71;18,64;18,66;881.027,00;47.200
YDUQ3;16/06/2023;15:55:00;18,71;18,72;18,69;18,70;989.343,00;52.900
YDUQ3;16/06/2023;15:50:00;18,71;18,72;18,69;18,70;574.269,00;30.700
YDUQ3;16/06/2023;15:45:00;18,72;18,73;18,69;18,70;512.592,00;27.400
YDUQ3;16/06/2023;15:40:00;18,70;18,74;18,70;18,72;752.494,00;40.200
YDUQ3;16/06/2023;15:35:00;18,65;18,77;18,64;18,70;2.930.447,00;156.500
YDUQ3;16/06/2023;15:30:00;18,63;18,65;18,61;18,65;700.766,00;37.600
YDUQ3;16/06/2023;15:25:00;18,62;18,65;18,59;18,63;956.833,00;51.400
YDUQ3;16/06/2023;15:20:00;18,55;18,62;18,54;18,61;1.041.196,00;56.000
YDUQ3;16/06/2023;15:15:00;18,55;18,59;18,52;18,54;508.472,00;27.400
YDUQ3;16/06/2023;15:10:00;18,55;18,56;18,53;18,55;580.314,00;31.300
YDUQ3;16/06/2023;15:05:00;18,50;18,54;18,50;18,54;923.475,00;49.900
YDUQ3;16/06/2023;15:00:00;18,54;18,54;18,50;18,51;470.288,00;25.400
YDUQ3;16/06/2023;14:55:00;18,53;18,56;18,52;18,54;654.564,00;35.300
YDUQ3;16/06/2023;14:50:00;18,53;18,54;18,50;18,52;748.484,00;40.400
YDUQ3;16/06/2023;14:45:00;18,52;18,54;18,51;18,53;355.653,00;19.200
YDUQ3;16/06/2023;14:40:00;18,47;18,52;18,42;18,52;1.121.481,00;60.700
YDUQ3;16/06/2023;14:35:00;18,38;18,50;18,38;18,46;1.047.927,00;56.800
YDUQ3;16/06/2023;14:30:00;18,38;18,40;18,36;18,38;330.828,00;18.000
YDUQ3;16/06/2023;14:25:00;18,37;18,38;18,36;18,38;288.425,00;15.700
YDUQ3;16/06/2023;14:20:00;18,42;18,42;18,37;18,38;667.999,00;36.300
YDUQ3;16/06/2023;14:15:00;18,42;18,46;18,42;18,42;709.369,00;38.500
YDUQ3;16/06/2023;14:10:00;18,41;18,44;18,40;18,42;379.458,00;20.600
YDUQ3;16/06/2023;14:05:00;18,49;18,49;18,41;18,42;374.573,00;20.300
YDUQ3;16/06/2023;14:00:00;18,52;18,54;18,49;18,50;603.655,00;32.600
YDUQ3;16/06/2023;13:55:00;18,46;18,56;18,45;18,51;620.475,00;33.500
YDUQ3;16/06/2023;13:50:00;18,46;18,47;18,44;18,45;361.690,00;19.600
YDUQ3;16/06/2023;13:45:00;18,52;18,52;18,45;18,47;393.454,00;21.300
YDUQ3;16/06/2023;13:40:00;18,47;18,51;18,45;18,51;774.547,00;41.900
YDUQ3;16/06/2023;13:35:00;18,55;18,55;18,46;18,47;930.802,00;50.300
YDUQ3;16/06/2023;13:30:00;18,58;18,58;18,53;18,56;504.534,00;27.200
YDUQ3;16/06/2023;13:25:00;18,64;18,64;18,58;18,58;437.435,00;23.500
YDUQ3;16/06/2023;13:20:00;18,67;18,68;18,64;18,65;459.144,00;24.600
YDUQ3;16/06/2023;13:15:00;18,69;18,70;18,66;18,66;636.581,00;34.100
YDUQ3;16/06/2023;13:10:00;18,72;18,73;18,68;18,68;287.951,00;15.400
YDUQ3;16/06/2023;13:05:00;18,71;18,74;18,71;18,72;393.170,00;21.000
YDUQ3;16/06/2023;13:00:00;18,76;18,77;18,68;18,71;565.511,00;30.200
YDUQ3;16/06/2023;12:55:00;18,77;18,81;18,77;18,77;313.692,00;16.700
YDUQ3;16/06/2023;12:50:00;18,80;18,81;18,74;18,78;1.968.424,00;104.800
YDUQ3;16/06/2023;12:45:00;18,80;18,81;18,79;18,80;406.084,00;21.600
YDUQ3;16/06/2023;12:40:00;18,81;18,82;18,79;18,80;456.928,00;24.300
YDUQ3;16/06/2023;12:35:00;18,83;18,83;18,79;18,80;558.483,00;29.700
YDUQ3;16/06/2023;12:30:00;18,84;18,84;18,81;18,84;290.055,00;15.400
YDUQ3;16/06/2023;12:25:00;18,81;18,84;18,77;18,84;2.965.001,00;157.700
YDUQ3;16/06/2023;12:20:00;18,82;18,82;18,77;18,79;1.280.093,00;68.100
YDUQ3;16/06/2023;12:15:00;18,78;18,82;18,77;18,82;2.189.981,00;116.500
YDUQ3;16/06/2023;12:10:00;18,77;18,78;18,76;18,78;461.770,00;24.600
YDUQ3;16/06/2023;12:05:00;18,75;18,81;18,75;18,77;563.419,00;30.000
YDUQ3;16/06/2023;12:00:00;18,68;18,79;18,66;18,75;1.126.365,00;60.100
YDUQ3;16/06/2023;11:55:00;18,73;18,73;18,66;18,68;828.408,00;44.300
YDUQ3;16/06/2023;11:50:00;18,58;18,76;18,57;18,73;1.564.159,00;83.800
YDUQ3;16/06/2023;11:45:00;18,62;18,64;18,59;18,59;606.802,00;32.600
YDUQ3;16/06/2023;11:40:00;18,60;18,63;18,59;18,62;716.474,00;38.500
YDUQ3;16/06/2023;11:35:00;18,59;18,60;18,58;18,60;282.541,00;15.200
YDUQ3;16/06/2023;11:30:00;18,56;18,61;18,55;18,61;1.655.670,00;89.100
YDUQ3;16/06/2023;11:25:00;18,56;18,58;18,55;18,57;1.120.723,00;60.400
YDUQ3;16/06/2023;11:20:00;18,52;18,59;18,51;18,55;419.114,00;22.600
YDUQ3;16/06/2023;11:15:00;18,63;18,64;18,52;18,52;739.654,00;39.800
YDUQ3;16/06/2023;11:10:00;18,68;18,69;18,62;18,62;337.854,00;18.100
YDUQ3;16/06/2023;11:05:00;18,71;18,75;18,64;18,71;938.477,00;50.200
YDUQ3;16/06/2023;11:00:00;18,69;18,79;18,64;18,71;2.759.487,00;147.500
YDUQ3;16/06/2023;10:55:00;18,66;18,70;18,59;18,68;1.553.641,00;83.300
YDUQ3;16/06/2023;10:50:00;18,58;18,69;18,56;18,66;1.079.962,00;57.900
