Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ZAMP3;06/06/2023;11:20:00;4,30;4,33;4,28;4,33;80.621,00;18.700
ZAMP3;06/06/2023;11:15:00;4,35;4,37;4,29;4,29;506.114,00;117.400
ZAMP3;06/06/2023;11:10:00;4,38;4,38;4,35;4,35;4.799,00;1.100
ZAMP3;06/06/2023;11:05:00;4,35;4,38;4,35;4,38;95.511,00;21.900
ZAMP3;06/06/2023;11:00:00;4,33;4,35;4,32;4,35;194.253,00;44.700
ZAMP3;06/06/2023;10:55:00;4,33;4,34;4,32;4,34;23.422,00;5.400
ZAMP3;06/06/2023;10:50:00;4,30;4,33;4,30;4,32;31.566,00;7.300
ZAMP3;06/06/2023;10:45:00;4,30;4,30;4,30;4,30;9.030,00;2.100
ZAMP3;06/06/2023;10:40:00;4,32;4,33;4,29;4,30;66.803,00;15.500
ZAMP3;06/06/2023;10:35:00;4,29;4,33;4,28;4,30;70.791,00;16.400
ZAMP3;06/06/2023;10:30:00;4,31;4,33;4,29;4,29;101.341,00;23.500
ZAMP3;06/06/2023;10:25:00;4,32;4,37;4,31;4,31;144.451,00;33.200
ZAMP3;06/06/2023;10:20:00;4,24;4,35;4,22;4,35;312.546,00;72.900
ZAMP3;06/06/2023;10:15:00;4,24;4,28;4,22;4,24;296.719,00;69.500
ZAMP3;06/06/2023;10:10:00;4,28;4,31;4,24;4,24;126.852,00;29.600
ZAMP3;06/06/2023;10:05:00;4,22;4,28;4,22;4,27;93.372,00;21.900
ZAMP3;06/06/2023;10:00:00;4,22;4,27;4,21;4,21;84.780,00;20.000
ZAMP3;05/06/2023;17:30:00;4,20;4,20;4,20;4,20;420,00;100
ZAMP3;05/06/2023;16:50:00;4,21;4,23;4,18;4,18;728.920,00;174.200
ZAMP3;05/06/2023;16:45:00;4,22;4,23;4,21;4,21;65.293,00;15.500
ZAMP3;05/06/2023;16:40:00;4,21;4,23;4,21;4,22;70.041,00;16.600
ZAMP3;05/06/2023;16:35:00;4,21;4,24;4,20;4,21;136.551,00;32.400
ZAMP3;05/06/2023;16:30:00;4,18;4,22;4,18;4,21;113.936,00;27.100
ZAMP3;05/06/2023;16:25:00;4,19;4,19;4,17;4,17;227.891,00;54.600
ZAMP3;05/06/2023;16:20:00;4,16;4,19;4,16;4,18;158.920,00;38.100
ZAMP3;05/06/2023;16:15:00;4,18;4,19;4,16;4,16;121.153,00;29.000
ZAMP3;05/06/2023;16:10:00;4,20;4,21;4,18;4,18;132.485,00;31.600
ZAMP3;05/06/2023;16:05:00;4,22;4,22;4,18;4,20;224.153,00;53.300
ZAMP3;05/06/2023;16:00:00;4,25;4,25;4,22;4,22;123.152,00;29.100
ZAMP3;05/06/2023;15:55:00;4,27;4,31;4,24;4,24;273.838,00;63.900
ZAMP3;05/06/2023;15:50:00;4,25;4,29;4,24;4,28;194.873,00;45.600
ZAMP3;05/06/2023;15:45:00;4,28;4,31;4,25;4,25;215.941,00;50.300
ZAMP3;05/06/2023;15:40:00;4,30;4,31;4,28;4,28;194.355,00;45.200
ZAMP3;05/06/2023;15:35:00;4,29;4,30;4,28;4,30;91.830,00;21.400
ZAMP3;05/06/2023;15:30:00;4,27;4,30;4,27;4,29;313.983,00;73.200
ZAMP3;05/06/2023;15:25:00;4,27;4,27;4,24;4,27;170.677,00;40.100
ZAMP3;05/06/2023;15:20:00;4,29;4,31;4,27;4,28;207.318,00;48.300
ZAMP3;05/06/2023;15:15:00;4,25;4,31;4,25;4,29;447.628,00;104.700
ZAMP3;05/06/2023;15:10:00;4,18;4,25;4,18;4,24;361.644,00;85.400
ZAMP3;05/06/2023;15:05:00;4,17;4,19;4,17;4,19;68.120,00;16.300
ZAMP3;05/06/2023;15:00:00;4,16;4,20;4,16;4,17;171.392,00;41.000
ZAMP3;05/06/2023;14:55:00;4,14;4,17;4,13;4,16;220.591,00;53.100
ZAMP3;05/06/2023;14:50:00;4,14;4,15;4,14;4,14;50.166,00;12.100
ZAMP3;05/06/2023;14:45:00;4,13;4,15;4,13;4,14;72.086,00;17.400
ZAMP3;05/06/2023;14:40:00;4,10;4,14;4,10;4,13;81.194,00;19.700
ZAMP3;05/06/2023;14:35:00;4,11;4,11;4,10;4,10;29.143,00;7.100
ZAMP3;05/06/2023;14:30:00;4,11;4,11;4,10;4,11;32.467,00;7.900
ZAMP3;05/06/2023;14:25:00;4,10;4,13;4,10;4,11;118.494,00;28.800
ZAMP3;05/06/2023;14:20:00;4,10;4,11;4,10;4,10;56.585,00;13.800
ZAMP3;05/06/2023;14:15:00;4,10;4,10;4,09;4,10;22.548,00;5.500
ZAMP3;05/06/2023;14:10:00;4,11;4,13;4,10;4,10;95.922,00;23.300
ZAMP3;05/06/2023;14:05:00;4,10;4,11;4,09;4,11;40.596,00;9.900
ZAMP3;05/06/2023;14:00:00;4,10;4,11;4,10;4,10;38.173,00;9.300
ZAMP3;05/06/2023;13:55:00;4,08;4,11;4,08;4,09;43.397,00;10.600
ZAMP3;05/06/2023;13:50:00;4,08;4,10;4,08;4,09;47.832,00;11.700
ZAMP3;05/06/2023;13:45:00;4,07;4,08;4,05;4,08;81.790,00;20.100
ZAMP3;05/06/2023;13:40:00;4,04;4,08;4,04;4,07;130.889,00;32.200
ZAMP3;05/06/2023;13:35:00;4,03;4,05;4,03;4,05;45.278,00;11.200
ZAMP3;05/06/2023;13:30:00;4,03;4,04;4,02;4,03;72.646,00;18.000
ZAMP3;05/06/2023;13:25:00;4,02;4,04;4,01;4,03;57.108,00;14.200
ZAMP3;05/06/2023;13:20:00;4,03;4,04;4,02;4,02;25.769,00;6.400
ZAMP3;05/06/2023;13:15:00;4,02;4,04;4,02;4,02;28.208,00;7.000
ZAMP3;05/06/2023;13:10:00;4,02;4,03;4,00;4,02;317.116,00;78.800
ZAMP3;05/06/2023;13:05:00;4,00;4,03;4,00;4,03;68.957,00;17.200
ZAMP3;05/06/2023;13:00:00;4,00;4,02;3,99;4,00;221.836,00;55.400
ZAMP3;05/06/2023;12:55:00;4,00;4,00;3,99;4,00;45.988,00;11.500
ZAMP3;05/06/2023;12:50:00;4,00;4,00;3,99;4,00;30.387,00;7.600
ZAMP3;05/06/2023;12:45:00;3,99;4,00;3,99;4,00;25.564,00;6.400
ZAMP3;05/06/2023;12:40:00;3,99;4,00;3,99;4,00;37.176,00;9.300
ZAMP3;05/06/2023;12:35:00;4,00;4,01;3,99;3,99;18.400,00;4.600
ZAMP3;05/06/2023;12:30:00;4,00;4,01;3,99;4,00;31.216,00;7.800
ZAMP3;05/06/2023;12:25:00;4,00;4,01;4,00;4,00;38.802,00;9.700
ZAMP3;05/06/2023;12:20:00;4,01;4,02;4,00;4,00;19.235,00;4.800
ZAMP3;05/06/2023;12:15:00;4,01;4,02;4,00;4,01;54.165,00;13.500
ZAMP3;05/06/2023;12:10:00;4,01;4,02;4,01;4,01;18.849,00;4.700
ZAMP3;05/06/2023;12:05:00;4,02;4,03;4,00;4,01;55.815,00;13.900
ZAMP3;05/06/2023;12:00:00;4,01;4,03;4,00;4,02;84.811,00;21.100
ZAMP3;05/06/2023;11:55:00;4,01;4,02;4,00;4,00;26.457,00;6.600
ZAMP3;05/06/2023;11:50:00;4,00;4,02;4,00;4,01;67.792,00;16.900
ZAMP3;05/06/2023;11:45:00;4,00;4,02;4,00;4,01;101.746,00;25.400
ZAMP3;05/06/2023;11:40:00;3,99;4,00;3,99;4,00;44.350,00;11.100
ZAMP3;05/06/2023;11:35:00;3,99;4,00;3,99;3,99;73.099,00;18.300
ZAMP3;05/06/2023;11:30:00;3,99;4,00;3,98;3,99;34.351,00;8.600
ZAMP3;05/06/2023;11:25:00;3,98;4,00;3,97;3,99;181.914,00;45.600
ZAMP3;05/06/2023;11:20:00;3,99;4,01;3,98;3,98;157.747,00;39.500
ZAMP3;05/06/2023;11:15:00;4,01;4,02;3,98;3,99;229.887,00;57.400
ZAMP3;05/06/2023;11:10:00;4,03;4,03;4,01;4,01;80.005,00;19.900
ZAMP3;05/06/2023;11:05:00;4,05;4,08;4,03;4,03;168.858,00;41.700
ZAMP3;05/06/2023;11:00:00;4,08;4,10;4,06;4,06;64.908,00;15.900
ZAMP3;05/06/2023;10:55:00;4,10;4,11;4,07;4,07;24.557,00;6.000
ZAMP3;05/06/2023;10:50:00;4,13;4,15;4,10;4,11;27.674,00;6.700
ZAMP3;05/06/2023;10:45:00;4,13;4,15;4,12;4,13;14.477,00;3.500
ZAMP3;05/06/2023;10:40:00;4,12;4,16;4,12;4,16;9.114,00;2.200
ZAMP3;05/06/2023;10:35:00;4,11;4,15;4,10;4,15;23.895,00;5.800
ZAMP3;05/06/2023;10:30:00;4,05;4,11;4,05;4,11;29.020,00;7.100
ZAMP3;05/06/2023;10:25:00;4,06;4,07;4,05;4,05;32.860,00;8.100
ZAMP3;05/06/2023;10:20:00;4,05;4,08;4,05;4,06;15.824,00;3.900
ZAMP3;05/06/2023;10:15:00;4,09;4,11;4,05;4,05;38.869,00;9.500
ZAMP3;05/06/2023;10:10:00;4,15;4,16;4,08;4,08;63.841,00;15.500
ZAMP3;05/06/2023;10:05:00;4,17;4,17;4,16;4,16;24.970,00;6.000
ZAMP3;05/06/2023;10:00:00;4,11;4,13;4,11;4,13;2.063,00;500
ZAMP3;02/06/2023;17:30:00;4,11;4,11;4,11;4,11;1.233,00;300
ZAMP3;02/06/2023;16:50:00;4,10;4,11;4,09;4,11;331.597,00;80.800
ZAMP3;02/06/2023;16:45:00;4,10;4,11;4,08;4,10;169.560,00;41.400
ZAMP3;02/06/2023;16:40:00;4,10;4,11;4,09;4,10;107.414,00;26.200
ZAMP3;02/06/2023;16:35:00;4,09;4,12;4,08;4,10;119.253,00;29.100
