ativo,data,hora,abertura,maximo,minimo,fechamento,volume,quantidade
PETR4,2022-09-30,1900-01-01 16:00:00,23.22,23.41,23.21,23.38,31861347.0,1068900.0
PETR4,2022-09-30,1900-01-01 17:30:00,23.38,23.46,23.32,23.35,16077741.0,538800.0
PETR4,2022-09-30,1900-01-01 16:50:00,23.46,23.48,23.33,23.33,350662189.0,11760900.0
PETR4,2022-09-30,1900-01-01 16:45:00,23.46,23.48,23.4,23.45,26630327.0,889200.0
PETR4,2022-09-30,1900-01-01 16:40:00,23.42,23.46,23.41,23.44,26118333.0,872500.0
PETR4,2022-09-30,1900-01-01 16:35:00,23.42,23.44,23.38,23.42,27171386.0,908700.0
PETR4,2022-09-30,1900-01-01 16:05:00,23.38,23.46,23.34,23.35,22449454.0,751200.0
PETR4,2022-09-30,1900-01-01 16:25:00,23.44,23.48,23.39,23.47,34367160.0,1148100.0
PETR4,2022-09-30,1900-01-01 16:20:00,23.35,23.46,23.35,23.44,15120624.0,505800.0
PETR4,2022-09-30,1900-01-01 16:15:00,23.33,23.42,23.31,23.35,24243153.0,812400.0
PETR4,2022-09-30,1900-01-01 16:10:00,23.35,23.35,23.31,23.34,14726478.0,494100.0
PETR4,2022-09-30,1900-01-01 16:30:00,23.47,23.48,23.4,23.42,24472124.0,817400.0
PETR4,2022-10-03,1900-01-01 17:30:00,25.19,25.29,25.03,25.26,68093455.0,2115100.0
PETR4,2022-10-03,1900-01-01 16:50:00,25.23,25.25,25.19,25.19,302534582.0,9399700.0
PETR4,2022-10-03,1900-01-01 16:45:00,25.23,25.24,25.18,25.23,52873772.0,1641600.0
PETR4,2022-10-03,1900-01-01 16:40:00,25.24,25.29,25.21,25.23,41280082.0,1279900.0
PETR4,2022-10-03,1900-01-01 16:35:00,25.2,25.26,25.18,25.24,39313051.0,1220400.0
PETR4,2022-10-03,1900-01-01 16:30:00,25.19,25.21,25.17,25.19,37257167.0,1158200.0
PETR4,2022-10-03,1900-01-01 16:25:00,25.15,25.23,25.13,25.19,48537587.0,1508300.0
PETR4,2022-10-03,1900-01-01 16:20:00,25.08,25.18,25.08,25.15,50430918.0,1570200.0
PETR4,2022-10-03,1900-01-01 16:15:00,25.02,25.08,25.0,25.07,32790402.0,1024900.0
PETR4,2022-10-03,1900-01-01 16:10:00,25.0,25.02,24.97,25.01,44580362.0,1396000.0
PETR4,2022-10-03,1900-01-01 16:05:00,25.01,25.02,24.97,24.99,134853149.0,4223300.0
PETR4,2022-10-03,1900-01-01 16:00:00,25.05,25.08,25.01,25.01,40678753.0,1271500.0
PETR4,2022-10-04,1900-01-01 17:30:00,24.57,24.63,24.51,24.56,15082618.0,480000.0
PETR4,2022-10-04,1900-01-01 16:50:00,24.4,24.56,24.4,24.56,311931781.0,9954000.0
PETR4,2022-10-04,1900-01-01 16:45:00,24.37,24.44,24.36,24.41,62649763.0,2009200.0
PETR4,2022-10-04,1900-01-01 16:40:00,24.42,24.43,24.36,24.38,37221695.0,1195000.0
PETR4,2022-10-04,1900-01-01 16:35:00,24.39,24.43,24.35,24.42,45226798.0,1452100.0
PETR4,2022-10-04,1900-01-01 16:00:00,24.68,24.69,24.44,24.56,117206197.0,3738900.0
PETR4,2022-10-04,1900-01-01 16:25:00,24.4,24.44,24.34,24.37,71709868.0,2301800.0
PETR4,2022-10-04,1900-01-01 16:20:00,24.43,24.44,24.36,24.4,111297602.0,3571400.0
PETR4,2022-10-04,1900-01-01 16:15:00,24.47,24.48,24.4,24.43,41232792.0,1320000.0
PETR4,2022-10-04,1900-01-01 16:10:00,24.48,24.5,24.4,24.47,377315652.0,12094300.0
PETR4,2022-10-04,1900-01-01 16:05:00,24.55,24.58,24.45,24.47,43386259.0,1385800.0
PETR4,2022-10-04,1900-01-01 16:30:00,24.36,24.4,24.32,24.4,53586307.0,1722400.0
PETR4,2022-10-05,1900-01-01 16:40:00,25.47,25.51,25.45,25.5,15804992.0,485800.0
PETR4,2022-10-05,1900-01-01 17:30:00,25.48,25.69,25.48,25.61,30158099.0,921900.0
PETR4,2022-10-05,1900-01-01 16:50:00,25.47,25.48,25.38,25.48,190132734.0,5845100.0
PETR4,2022-10-05,1900-01-01 16:45:00,25.5,25.51,25.44,25.47,35563334.0,1093200.0
PETR4,2022-10-05,1900-01-01 16:35:00,25.5,25.52,25.42,25.47,41381683.0,1272400.0
PETR4,2022-10-05,1900-01-01 16:00:00,25.58,25.59,25.55,25.56,17701994.0,541900.0
PETR4,2022-10-05,1900-01-01 16:25:00,25.49,25.51,25.42,25.43,27317324.0,839800.0
PETR4,2022-10-05,1900-01-01 16:20:00,25.45,25.5,25.41,25.49,25931003.0,797800.0
PETR4,2022-10-05,1900-01-01 16:15:00,25.52,25.56,25.45,25.46,31289080.0,960600.0
PETR4,2022-10-05,1900-01-01 16:10:00,25.51,25.54,25.51,25.53,12188218.0,373900.0
PETR4,2022-10-05,1900-01-01 16:05:00,25.56,25.58,25.51,25.52,17459663.0,535200.0
PETR4,2022-10-05,1900-01-01 16:30:00,25.43,25.51,25.42,25.5,30515865.0,938600.0
PETR4,2022-10-06,1900-01-01 17:30:00,26.35,26.35,26.15,26.23,20554175.0,613100.0
PETR4,2022-10-06,1900-01-01 16:50:00,26.38,26.45,26.35,26.35,293318216.0,8707500.0
PETR4,2022-10-06,1900-01-01 16:45:00,26.27,26.38,26.26,26.38,92190554.0,2742100.0
PETR4,2022-10-06,1900-01-01 16:40:00,26.22,26.28,26.2,26.27,35839929.0,1069200.0
