Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;22/05/2023;15:05:00;4.964,500;4.965,000;4.963,000;4.965,000;249.455.085,00;5.025
WDOFUT;22/05/2023;15:00:00;4.966,500;4.967,000;4.964,000;4.964,000;598.512.775,00;12.053
WDOFUT;22/05/2023;14:55:00;4.965,000;4.966,500;4.963,500;4.966,500;726.144.845,00;14.625
WDOFUT;22/05/2023;14:50:00;4.968,500;4.968,500;4.963,000;4.965,000;2.254.265.195,00;45.399
WDOFUT;22/05/2023;14:45:00;4.970,500;4.971,000;4.967,000;4.968,500;849.611.065,00;17.099
WDOFUT;22/05/2023;14:40:00;4.971,000;4.972,500;4.968,500;4.971,000;1.165.958.495,00;23.458
WDOFUT;22/05/2023;14:35:00;4.971,000;4.972,000;4.970,000;4.971,500;748.098.560,00;15.050
WDOFUT;22/05/2023;14:30:00;4.973,000;4.973,500;4.970,000;4.971,000;588.856.765,00;11.844
WDOFUT;22/05/2023;14:25:00;4.974,500;4.975,500;4.972,000;4.973,000;538.112.595,00;10.820
WDOFUT;22/05/2023;14:20:00;4.974,500;4.975,500;4.973,000;4.975,000;697.424.940,00;14.021
WDOFUT;22/05/2023;14:15:00;4.977,000;4.979,500;4.973,500;4.974,000;1.223.570.310,00;24.585
WDOFUT;22/05/2023;14:10:00;4.975,000;4.978,000;4.973,000;4.977,500;1.242.876.000,00;24.981
WDOFUT;22/05/2023;14:05:00;4.975,000;4.976,500;4.974,500;4.975,000;236.779.730,00;4.759
WDOFUT;22/05/2023;14:00:00;4.976,500;4.977,000;4.975,000;4.975,000;389.562.770,00;7.829
WDOFUT;22/05/2023;13:55:00;4.976,000;4.976,500;4.975,000;4.976,500;259.797.510,00;5.221
WDOFUT;22/05/2023;13:50:00;4.975,500;4.976,000;4.974,000;4.976,000;400.768.800,00;8.056
WDOFUT;22/05/2023;13:45:00;4.974,500;4.976,500;4.974,500;4.975,500;283.017.115,00;5.688
WDOFUT;22/05/2023;13:40:00;4.976,000;4.976,000;4.974,000;4.975,000;406.006.310,00;8.161
WDOFUT;22/05/2023;13:35:00;4.976,500;4.977,000;4.975,000;4.976,000;400.826.795,00;8.055
WDOFUT;22/05/2023;13:30:00;4.973,500;4.977,000;4.972,500;4.976,500;654.172.760,00;13.149
WDOFUT;22/05/2023;13:25:00;4.974,500;4.974,500;4.972,000;4.973,500;456.382.670,00;9.177
WDOFUT;22/05/2023;13:20:00;4.974,000;4.975,500;4.973,500;4.974,500;302.742.180,00;6.086
WDOFUT;22/05/2023;13:15:00;4.973,000;4.975,000;4.973,000;4.974,500;248.816.875,00;5.002
WDOFUT;22/05/2023;13:10:00;4.976,000;4.976,000;4.972,000;4.973,000;668.912.335,00;13.449
WDOFUT;22/05/2023;13:05:00;4.974,500;4.977,000;4.973,500;4.976,000;787.157.460,00;15.820
WDOFUT;22/05/2023;13:00:00;4.972,500;4.974,500;4.971,500;4.974,500;782.469.555,00;15.734
WDOFUT;22/05/2023;12:55:00;4.973,000;4.973,500;4.971,500;4.972,500;273.800.250,00;5.506
WDOFUT;22/05/2023;12:50:00;4.973,500;4.973,500;4.971,500;4.973,500;560.515.170,00;11.273
WDOFUT;22/05/2023;12:45:00;4.974,000;4.975,500;4.973,000;4.973,500;661.953.505,00;13.308
WDOFUT;22/05/2023;12:40:00;4.973,000;4.974,500;4.971,500;4.973,500;450.941.875,00;9.068
WDOFUT;22/05/2023;12:35:00;4.974,000;4.974,500;4.972,000;4.973,000;413.422.360,00;8.313
WDOFUT;22/05/2023;12:30:00;4.972,500;4.974,500;4.971,500;4.974,000;670.726.555,00;13.486
WDOFUT;22/05/2023;12:25:00;4.972,000;4.972,500;4.970,000;4.972,500;707.201.290,00;14.226
WDOFUT;22/05/2023;12:20:00;4.974,500;4.974,500;4.972,000;4.972,000;689.546.050,00;13.865
WDOFUT;22/05/2023;12:15:00;4.972,500;4.976,500;4.972,000;4.974,000;1.512.357.725,00;30.403
WDOFUT;22/05/2023;12:10:00;4.972,500;4.972,500;4.970,500;4.972,000;652.374.355,00;13.122
WDOFUT;22/05/2023;12:05:00;4.970,000;4.973,000;4.969,000;4.972,500;1.047.408.435,00;21.070
WDOFUT;22/05/2023;12:00:00;4.974,000;4.975,000;4.968,500;4.970,000;2.406.209.100,00;48.406
WDOFUT;22/05/2023;11:55:00;4.974,000;4.976,500;4.973,500;4.974,000;910.914.290,00;18.310
WDOFUT;22/05/2023;11:50:00;4.975,000;4.977,000;4.972,500;4.973,500;1.272.579.300,00;25.582
WDOFUT;22/05/2023;11:45:00;4.976,500;4.978,000;4.974,000;4.975,000;997.766.460,00;20.052
WDOFUT;22/05/2023;11:40:00;4.978,500;4.980,000;4.976,000;4.977,000;887.446.955,00;17.828
WDOFUT;22/05/2023;11:35:00;4.975,500;4.979,000;4.973,500;4.978,000;1.062.270.465,00;21.346
WDOFUT;22/05/2023;11:30:00;4.979,000;4.979,500;4.975,000;4.975,000;1.413.348.665,00;28.399
WDOFUT;22/05/2023;11:25:00;4.980,000;4.982,000;4.975,000;4.979,000;2.108.570.905,00;42.353
WDOFUT;22/05/2023;11:20:00;4.980,500;4.983,000;4.979,000;4.980,500;978.920.720,00;19.653
WDOFUT;22/05/2023;11:15:00;4.982,000;4.983,000;4.976,000;4.980,500;2.130.169.610,00;42.786
WDOFUT;22/05/2023;11:10:00;4.985,500;4.988,000;4.980,500;4.982,500;2.835.884.255,00;56.893
WDOFUT;22/05/2023;11:05:00;4.980,000;4.986,000;4.977,500;4.985,000;2.993.184.430,00;60.091
WDOFUT;22/05/2023;11:00:00;4.978,500;4.981,000;4.977,500;4.980,500;1.762.174.225,00;35.389
WDOFUT;22/05/2023;10:55:00;4.974,000;4.979,000;4.972,500;4.978,500;2.531.966.015,00;50.878
WDOFUT;22/05/2023;10:50:00;4.971,500;4.974,500;4.970,500;4.973,500;1.631.770.955,00;32.817
WDOFUT;22/05/2023;10:45:00;4.976,500;4.978,500;4.970,500;4.972,000;3.683.470.815,00;74.049
WDOFUT;22/05/2023;10:40:00;4.980,000;4.980,500;4.975,000;4.976,500;2.368.860.670,00;47.591
WDOFUT;22/05/2023;10:35:00;4.982,000;4.982,500;4.977,000;4.980,500;3.198.724.345,00;64.235
WDOFUT;22/05/2023;10:30:00;4.983,500;4.987,500;4.981,000;4.982,500;2.452.799.365,00;49.212
WDOFUT;22/05/2023;10:25:00;4.989,500;4.993,000;4.983,000;4.983,500;2.272.710.560,00;45.564
WDOFUT;22/05/2023;10:20:00;4.990,500;4.991,000;4.986,000;4.989,500;1.045.610.305,00;20.961
WDOFUT;22/05/2023;10:15:00;4.987,000;4.991,500;4.985,000;4.990,500;1.443.649.275,00;28.936
WDOFUT;22/05/2023;10:10:00;4.988,500;4.990,000;4.986,000;4.987,000;1.177.218.410,00;23.602
WDOFUT;22/05/2023;10:05:00;4.988,500;4.991,000;4.985,000;4.988,500;1.951.491.100,00;39.125
WDOFUT;22/05/2023;10:00:00;4.993,000;4.994,500;4.986,000;4.988,500;2.998.761.785,00;60.102
WDOFUT;22/05/2023;09:55:00;4.990,000;4.996,500;4.990,000;4.993,500;1.771.348.155,00;35.473
WDOFUT;22/05/2023;09:50:00;4.993,000;4.993,000;4.988,500;4.990,500;1.268.914.530,00;25.427
WDOFUT;22/05/2023;09:45:00;4.993,500;4.996,500;4.991,000;4.993,500;1.694.995.635,00;33.937
WDOFUT;22/05/2023;09:40:00;4.994,000;4.995,000;4.990,000;4.994,000;1.476.396.895,00;29.571
WDOFUT;22/05/2023;09:35:00;4.990,000;4.994,500;4.988,000;4.994,000;1.296.605.480,00;25.974
WDOFUT;22/05/2023;09:30:00;4.994,500;4.997,000;4.987,500;4.990,000;2.460.509.445,00;49.301
WDOFUT;22/05/2023;09:25:00;4.994,500;4.997,500;4.992,500;4.994,000;1.683.478.455,00;33.703
WDOFUT;22/05/2023;09:20:00;4.998,000;4.999,500;4.992,000;4.994,500;2.892.524.040,00;57.900
WDOFUT;22/05/2023;09:15:00;5.014,000;5.015,000;4.998,000;4.998,000;3.534.231.380,00;70.612
