Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WSPFUT;22/05/2023;15:05:00;4.210,00;4.210,00;4.210,00;4.210,00;31.575,03;3
WSPFUT;22/05/2023;15:00:00;4.209,25;4.210,25;4.209,00;4.210,25;578.776,28;55
WSPFUT;22/05/2023;14:55:00;4.209,50;4.212,00;4.209,50;4.209,50;242.083,78;23
WSPFUT;22/05/2023;14:50:00;4.211,75;4.211,75;4.209,75;4.211,00;73.686,27;7
WSPFUT;22/05/2023;14:45:00;4.212,00;4.212,25;4.211,00;4.212,25;631.744,39;60
WSPFUT;22/05/2023;14:40:00;4.211,50;4.212,50;4.211,00;4.211,50;147.411,25;14
WSPFUT;22/05/2023;14:35:00;4.210,25;4.212,00;4.210,25;4.211,50;768.565,62;73
WSPFUT;22/05/2023;14:30:00;4.209,00;4.210,50;4.208,75;4.210,25;421.005,61;40
WSPFUT;22/05/2023;14:25:00;4.209,50;4.210,50;4.208,50;4.208,50;957.644,99;91
WSPFUT;22/05/2023;14:20:00;4.207,25;4.210,50;4.207,25;4.209,75;2.199.359,98;209
WSPFUT;22/05/2023;14:15:00;4.203,75;4.208,00;4.200,50;4.208,00;2.365.453,75;225
WSPFUT;22/05/2023;14:10:00;4.211,50;4.211,50;4.203,00;4.204,50;4.744.040,64;451
WSPFUT;22/05/2023;14:05:00;4.208,50;4.212,25;4.208,50;4.210,00;178.953,13;17
WSPFUT;22/05/2023;14:00:00;4.208,50;4.211,75;4.208,50;4.210,50;1.263.138,76;120
WSPFUT;22/05/2023;13:55:00;4.207,00;4.209,00;4.207,00;4.208,75;189.363,14;18
WSPFUT;22/05/2023;13:50:00;4.206,25;4.206,25;4.206,25;4.206,25;31.546,88;3
WSPFUT;22/05/2023;13:45:00;4.206,75;4.207,75;4.205,75;4.205,75;84.135,00;8
WSPFUT;22/05/2023;13:40:00;4.206,00;4.207,75;4.205,75;4.207,25;262.901,25;25
WSPFUT;22/05/2023;13:35:00;4.207,00;4.207,75;4.206,25;4.206,25;262.967,50;25
WSPFUT;22/05/2023;13:30:00;4.206,25;4.207,25;4.206,25;4.206,75;262.919,38;25
WSPFUT;22/05/2023;13:25:00;4.206,00;4.208,75;4.206,00;4.207,25;389.186,88;37
WSPFUT;22/05/2023;13:20:00;4.210,25;4.211,00;4.205,50;4.206,25;673.146,88;64
WSPFUT;22/05/2023;13:15:00;4.210,50;4.210,50;4.209,00;4.209,00;210.483,75;20
WSPFUT;22/05/2023;13:10:00;4.211,00;4.212,00;4.210,75;4.211,25;1.158.134,38;110
WSPFUT;22/05/2023;13:05:00;4.211,00;4.211,25;4.210,25;4.210,25;73.687,50;7
WSPFUT;22/05/2023;13:00:00;4.211,00;4.212,50;4.211,00;4.212,50;547.537,50;52
WSPFUT;22/05/2023;12:55:00;4.211,50;4.212,75;4.209,50;4.210,50;947.625,00;90
WSPFUT;22/05/2023;12:50:00;4.209,25;4.209,25;4.208,75;4.208,75;105.226,88;10
WSPFUT;22/05/2023;12:45:00;4.207,50;4.207,50;4.204,50;4.207,50;273.405,63;26
WSPFUT;22/05/2023;12:40:00;4.209,00;4.209,00;4.207,75;4.207,75;389.242,50;37
WSPFUT;22/05/2023;12:35:00;4.211,25;4.211,25;4.208,00;4.208,50;178.904,38;17
WSPFUT;22/05/2023;12:30:00;4.211,00;4.212,50;4.210,50;4.210,75;810.723,13;77
WSPFUT;22/05/2023;12:25:00;4.212,00;4.212,00;4.210,25;4.211,50;252.690,00;24
WSPFUT;22/05/2023;12:20:00;4.210,25;4.211,75;4.209,00;4.211,50;852.592,50;81
WSPFUT;22/05/2023;12:15:00;4.210,00;4.211,00;4.209,25;4.211,00;421.051,88;40
WSPFUT;22/05/2023;12:10:00;4.209,75;4.210,00;4.208,50;4.209,50;305.184,38;29
WSPFUT;22/05/2023;12:05:00;4.208,75;4.211,75;4.208,75;4.209,75;3.820.956,88;363
WSPFUT;22/05/2023;12:00:00;4.206,25;4.209,25;4.205,75;4.209,00;3.986.616,88;379
WSPFUT;22/05/2023;11:55:00;4.201,75;4.206,00;4.198,50;4.206,00;3.509.408,75;334
WSPFUT;22/05/2023;11:50:00;4.202,50;4.204,25;4.200,50;4.201,75;1.649.294,38;157
WSPFUT;22/05/2023;11:45:00;4.205,00;4.205,25;4.202,00;4.203,00;5.400.833,75;514
WSPFUT;22/05/2023;11:40:00;4.208,00;4.208,50;4.204,25;4.204,50;1.797.897,50;171
WSPFUT;22/05/2023;11:35:00;4.208,75;4.210,75;4.208,00;4.208,50;357.868,13;34
WSPFUT;22/05/2023;11:30:00;4.210,00;4.211,50;4.207,75;4.209,00;715.637,50;68
WSPFUT;22/05/2023;11:25:00;4.210,50;4.211,75;4.207,50;4.211,75;3.725.010,00;354
WSPFUT;22/05/2023;11:20:00;4.210,00;4.212,00;4.206,00;4.210,50;1.746.708,13;166
WSPFUT;22/05/2023;11:15:00;4.207,25;4.210,25;4.205,50;4.209,75;1.599.495,63;152
WSPFUT;22/05/2023;11:10:00;4.194,00;4.207,25;4.194,00;4.206,50;10.747.016,25;1.023
WSPFUT;22/05/2023;11:05:00;4.206,00;4.206,75;4.191,50;4.194,50;4.175.623,13;398
WSPFUT;22/05/2023;11:00:00;4.208,25;4.208,50;4.204,00;4.205,25;2.829.160,00;269
WSPFUT;22/05/2023;10:55:00;4.212,50;4.213,50;4.207,25;4.208,50;2.431.144,38;231
WSPFUT;22/05/2023;10:50:00;4.215,00;4.216,00;4.212,50;4.212,50;3.782.147,50;359
WSPFUT;22/05/2023;10:45:00;4.215,00;4.215,75;4.211,25;4.214,25;3.666.495,63;348
WSPFUT;22/05/2023;10:40:00;4.219,25;4.221,50;4.214,75;4.214,75;4.335.265,00;411
WSPFUT;22/05/2023;10:35:00;4.214,00;4.220,50;4.213,00;4.218,50;2.002.984,38;190
WSPFUT;22/05/2023;10:30:00;4.205,00;4.214,50;4.205,00;4.213,25;4.494.061,25;427
WSPFUT;22/05/2023;10:25:00;4.204,75;4.204,75;4.204,25;4.204,50;483.516,25;46
WSPFUT;22/05/2023;10:20:00;4.204,50;4.205,75;4.204,50;4.205,00;357.441,88;34
WSPFUT;22/05/2023;10:15:00;4.205,25;4.206,50;4.204,25;4.204,50;557.251,88;53
WSPFUT;22/05/2023;10:10:00;4.207,00;4.207,00;4.205,50;4.205,50;1.019.921,88;97
WSPFUT;22/05/2023;10:05:00;4.207,00;4.207,75;4.206,00;4.207,50;294.495,63;28
WSPFUT;22/05/2023;10:00:00;4.206,25;4.208,00;4.206,25;4.207,00;1.388.263,75;132
WSPFUT;22/05/2023;09:55:00;4.207,50;4.207,50;4.206,50;4.207,25;136.725,63;13
WSPFUT;22/05/2023;09:50:00;4.206,00;4.207,00;4.205,50;4.206,75;714.995,63;68
WSPFUT;22/05/2023;09:45:00;4.207,50;4.207,50;4.206,00;4.206,00;315.490,63;30
WSPFUT;22/05/2023;09:40:00;4.209,50;4.210,25;4.207,00;4.207,50;620.740,63;59
WSPFUT;22/05/2023;09:35:00;4.208,75;4.209,00;4.208,00;4.209,00;63.127,50;6
WSPFUT;22/05/2023;09:30:00;4.208,75;4.209,00;4.208,00;4.208,25;294.586,88;28
WSPFUT;22/05/2023;09:25:00;4.209,00;4.209,50;4.209,00;4.209,00;147.319,38;14
WSPFUT;22/05/2023;09:20:00;4.207,75;4.210,00;4.207,75;4.209,50;799.788,13;76
WSPFUT;22/05/2023;09:15:00;4.206,75;4.207,75;4.206,75;4.207,50;252.435,00;24
WSPFUT;22/05/2023;09:10:00;4.206,25;4.206,25;4.206,00;4.206,25;504.748,75;48
WSPFUT;22/05/2023;09:05:00;4.208,00;4.208,00;4.206,50;4.206,50;599.546,25;57
WSPFUT;22/05/2023;09:00:00;4.205,00;4.208,50;4.205,00;4.207,25;1.682.630,63;160
WSPFUT;19/05/2023;17:50:00;4.196,50;4.199,50;4.196,00;4.199,50;388.206,25;37
WSPFUT;19/05/2023;17:45:00;4.197,25;4.197,50;4.196,75;4.197,25;241.340,63;23
WSPFUT;19/05/2023;17:40:00;4.198,00;4.198,25;4.197,25;4.197,25;241.375,63;23
WSPFUT;19/05/2023;17:35:00;4.197,50;4.198,00;4.197,00;4.198,00;136.421,25;13
WSPFUT;19/05/2023;17:30:00;4.197,25;4.198,00;4.196,75;4.197,25;2.350.652,50;224
WSPFUT;19/05/2023;17:25:00;4.199,50;4.199,50;4.197,75;4.197,75;209.926,25;20
WSPFUT;19/05/2023;17:20:00;4.200,00;4.200,50;4.199,50;4.200,25;5.565.320,00;530
WSPFUT;19/05/2023;17:15:00;4.201,25;4.201,25;4.199,25;4.200,50;3.107.981,88;296
WSPFUT;19/05/2023;17:10:00;4.203,50;4.203,75;4.201,25;4.201,25;787.973,13;75
WSPFUT;19/05/2023;17:05:00;4.203,75;4.204,00;4.203,25;4.204,00;126.107,50;12
WSPFUT;19/05/2023;17:00:00;4.205,00;4.205,75;4.204,25;4.204,75;1.745.185,00;166
